"medication_definition_id"|"medication"|"problem_definition_id"|"problem"|"patient_link_frequency"|"link_ratio"
"19841"|"Spironolactone 50 MG Oral Tablet"|"63217"|"Congestive Heart Failure"|"5"|"0.263158"
"19841"|"Spironolactone 50 MG Oral Tablet"|"63467"|"Hypertension"|"8"|"0.137931"
"19841"|"Spironolactone 50 MG Oral Tablet"|"63468"|"Essential Hypertension"|"4"|"0.2"
"19841"|"Spironolactone 50 MG Oral Tablet"|"69194"|"Endocrine Disorder"|"9"|"0.9"
"19841"|"Spironolactone 50 MG Oral Tablet"|"69549"|"Polycystic Ovarian Syndrome"|"40"|"0.740741"
"19841"|"Spironolactone 50 MG Oral Tablet"|"69606"|"Acne"|"4"|"0.5"
"19841"|"Spironolactone 50 MG Oral Tablet"|"69607"|"Acne Vulgaris"|"2"|"1"
"19841"|"Spironolactone 50 MG Oral Tablet"|"138023"|"Alopecia"|"6"|"0.857143"
"19841"|"Spironolactone 50 MG Oral Tablet"|"278396"|"Hirsutism"|"4"|"0.5"
"19846"|"Tretinoin 0.05 % External Cream"|"69606"|"Acne"|"3"|"0.6"
"19847"|"Tretinoin 0.1 % External Cream"|"69606"|"Acne"|"3"|"0.6"
"19892"|"Tessalon Perles 100 MG Oral Capsule"|"60869"|"Cough"|"4"|"0.363636"
"19909"|"Phenex-2 Oral Powder"|"75807"|"Phenylketonuria"|"5"|"1"
"19935"|"Potassium Chloride 20 MEQ/15ML (10%) Oral Liquid"|"63470"|"Benign Essential
Hypertension"|"2"|"0.666667"
"19935"|"Potassium Chloride 20 MEQ/15ML (10%) Oral Liquid"|"68089"|"Hypokalemia"|"2"|"0.666667"
"19945"|"Povidone-Iodine 10 % External Solution"|"62588"|"Chronic Ethmoidal Sinusitis"|"2"|"0.5"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70455"|"Rheumatoid Arthritis"|"38"|"0.808511"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70472"|"Systemic Lupus Erythematosus"|"18"|"0.666667"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70475"|"Scleroderma"|"2"|"0.666667"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70478"|"Sjogren's Syndrome"|"2"|"0.222222"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70500"|"Polymyalgia Rheumatica"|"31"|"0.815789"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70550"|"Relapsing Polychondritis"|"3"|"0.75"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70598"|"Polymyositis / Dermatomyositis:"|"3"|"0.75"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70600"|"Typical Dermatomyositis (Type II)"|"3"|"0.6"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70620"|"Sarcoidosis"|"3"|"0.75"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70638"|"Temporal Arteritis"|"3"|"0.75"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70703"|"Asymmetrical Polyarticular Inflammation"|"3"|"1"
"19960"|"PredniSONE 1 MG Oral Tablet"|"70704"|"Symmetric Polyarticular Inflammation"|"4"|"0.571429"
"19960"|"PredniSONE 1 MG Oral Tablet"|"75812"|"Myalgia And Myositis"|"2"|"0.666667"
"19961"|"PredniSONE 20 MG Oral Tablet"|"60863"|"Difficulty Breathing (Dyspnea)"|"4"|"0.133333"
"19961"|"PredniSONE 20 MG Oral Tablet"|"60869"|"Cough"|"12"|"0.166667"
"19961"|"PredniSONE 20 MG Oral Tablet"|"60874"|"Wheezing"|"3"|"0.333333"
"19961"|"PredniSONE 20 MG Oral Tablet"|"61040"|"Convulsions"|"2"|"0.5"
"19961"|"PredniSONE 20 MG Oral Tablet"|"62578"|"Acute Sinusitis"|"7"|"0.21875"
"19961"|"PredniSONE 20 MG Oral Tablet"|"64118"|"Acute Bronchitis"|"11"|"0.244444"
"19961"|"PredniSONE 20 MG Oral Tablet"|"64180"|"Reactive Airway Disease"|"2"|"0.222222"
"19961"|"PredniSONE 20 MG Oral Tablet"|"64181"|"Asthma"|"47"|"0.288344"
"19961"|"PredniSONE 20 MG Oral Tablet"|"64184"|"Moderate Persistent Asthma"|"2"|"0.333333"
"19961"|"PredniSONE 20 MG Oral Tablet"|"64205"|"Chronic Obstructive Pulmonary Disease"|"13"|"0.309524"
"19961"|"PredniSONE 20 MG Oral Tablet"|"64223"|"Bronchiectasis"|"3"|"0.6"
"19961"|"PredniSONE 20 MG Oral Tablet"|"64294"|"Pulmonary Fibrosis"|"4"|"0.363636"
"19961"|"PredniSONE 20 MG Oral Tablet"|"64980"|"Crohn's Disease"|"3"|"0.375"
"19961"|"PredniSONE 20 MG Oral Tablet"|"65041"|"Ulcerative Colitis"|"2"|"0.4"
"19961"|"PredniSONE 20 MG Oral Tablet"|"65674"|"Nephrotic Syndrome"|"6"|"0.4"
"19961"|"PredniSONE 20 MG Oral Tablet"|"65675"|"Nephrotic Syndrome Due To Minimal Change
Glomerulonephritis"|"3"|"0.6"
"19961"|"PredniSONE 20 MG Oral Tablet"|"69710"|"Contact Dermatitis"|"10"|"0.47619"
"19961"|"PredniSONE 20 MG Oral Tablet"|"69731"|"Chronic Lupus Erythematosus"|"2"|"1"
file:///I|/AMIAJNL/000852/Preedit/1/amiajnl-2012-000852-20120418010342/suppl_data/Online%20Only%20Data%20Supplement.txt[4/23/2012 8:40:20 PM]

"19961"|"PredniSONE 20 MG Oral Tablet"|"69941"|"Urticaria"|"3"|"0.375"
"19961"|"PredniSONE 20 MG Oral Tablet"|"69942"|"Allergic Urticaria"|"8"|"0.5"
"19961"|"PredniSONE 20 MG Oral Tablet"|"69948"|"Idiopathic Urticaria"|"3"|"0.75"
"19961"|"PredniSONE 20 MG Oral Tablet"|"69950"|"Heat Urticaria"|"2"|"1"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70112"|"Atopic Dermatitis"|"3"|"0.166667"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70384"|"Gout"|"10"|"0.384615"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70386"|"Acute Gout"|"3"|"0.428571"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70387"|"Chronic Gout"|"2"|"0.4"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70472"|"Systemic Lupus Erythematosus"|"13"|"0.351351"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70475"|"Scleroderma"|"2"|"0.333333"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70477"|"Scleroderma With Pulmonary Involvement"|"2"|"0.666667"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70478"|"Sjogren's Syndrome"|"3"|"0.25"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70598"|"Polymyositis / Dermatomyositis:"|"6"|"0.75"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70599"|"Typical Polymyositis (Type I)"|"2"|"1"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70602"|"Childhood Dermatomyositis (Type IV)"|"2"|"1"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70620"|"Sarcoidosis"|"11"|"0.458333"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70637"|"Vasculitides"|"3"|"0.3"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70638"|"Temporal Arteritis"|"5"|"1"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70640"|"Wegener's Granulomatosis"|"2"|"0.666667"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70642"|"Microscopic Polyarteritis Nodosa"|"2"|"0.666667"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70645"|"Henoch-Schonlein Purpura"|"2"|"0.666667"
"19961"|"PredniSONE 20 MG Oral Tablet"|"70648"|"Behcet's Syndrome"|"3"|"1"
"19961"|"PredniSONE 20 MG Oral Tablet"|"74640"|"Meningeal Sarcoidosis"|"4"|"0.666667"
"19961"|"PredniSONE 20 MG Oral Tablet"|"75124"|"Demyelinating Disorders"|"3"|"0.3"
"19961"|"PredniSONE 20 MG Oral Tablet"|"75500"|"Bell's Palsy"|"8"|"0.8"
"19961"|"PredniSONE 20 MG Oral Tablet"|"75617"|"Chronic Inflammatory Demyelinating
Polyneuropathy"|"2"|"0.285714"
"19961"|"PredniSONE 20 MG Oral Tablet"|"75728"|"Sciatica"|"2"|"0.25"
"19961"|"PredniSONE 20 MG Oral Tablet"|"75733"|"Myasthenia Gravis"|"2"|"0.333333"
"19961"|"PredniSONE 20 MG Oral Tablet"|"76794"|"Herpes Zoster (Shingles)"|"3"|"0.3"
"19961"|"PredniSONE 20 MG Oral Tablet"|"87060"|"Hoarseness"|"2"|"0.25"
"19961"|"PredniSONE 20 MG Oral Tablet"|"88375"|"Skin: A Rash"|"6"|"0.315789"
"19961"|"PredniSONE 20 MG Oral Tablet"|"90952"|"Joint Pain, Localized In The Left Shoulder"|"2"|"0.4"
"19961"|"PredniSONE 20 MG Oral Tablet"|"91089"|"Lower Back Pain"|"3"|"0.107143"
"19961"|"PredniSONE 20 MG Oral Tablet"|"93705"|"Dermatitis"|"4"|"0.363636"
"19961"|"PredniSONE 20 MG Oral Tablet"|"166748"|"Asthma With Acute Exacerbation"|"17"|"0.447368"
"19961"|"PredniSONE 20 MG Oral Tablet"|"173419"|"Cervical Radiculopathy"|"4"|"0.666667"
"19961"|"PredniSONE 20 MG Oral Tablet"|"247012"|"Shortness Of Breath"|"4"|"0.16"
"19961"|"PredniSONE 20 MG Oral Tablet"|"258010"|"Allergic Reaction"|"8"|"0.666667"
"19961"|"PredniSONE 20 MG Oral Tablet"|"258835"|"Bronchitis"|"3"|"0.125"
"19961"|"PredniSONE 20 MG Oral Tablet"|"274575"|"Glomerulonephritis"|"2"|"1"
"19961"|"PredniSONE 20 MG Oral Tablet"|"274611"|"Nephritis Due To SLE"|"5"|"0.333333"
"19961"|"PredniSONE 20 MG Oral Tablet"|"277913"|"Chronic Interstitial Lung Disease"|"2"|"0.222222"
"19961"|"PredniSONE 20 MG Oral Tablet"|"278317"|"Dermatitis Due To Contact With Poison Ivy"|"7"|"0.875"
"19961"|"PredniSONE 20 MG Oral Tablet"|"288804"|"Encephalitis"|"3"|"0.6"
"19962"|"PredniSONE 50 MG Oral Tablet"|"64181"|"Asthma"|"2"|"0.285714"
"19962"|"PredniSONE 50 MG Oral Tablet"|"75125"|"Multiple Sclerosis"|"14"|"0.777778"
"19965"|"Premarin 1.25 MG Oral Tablet"|"69214"|"Hypopituitarism"|"3"|"1"
"20054"|"Proctofoam HC 1-1 % Rectal Foam"|"65128"|"Hemorrhoids"|"7"|"0.4375"
"20054"|"Proctofoam HC 1-1 % Rectal Foam"|"65134"|"Internal Hemorrhoids"|"5"|"1"
"20054"|"Proctofoam HC 1-1 % Rectal Foam"|"65141"|"External Hemorrhoids"|"8"|"0.8"
"20054"|"Proctofoam HC 1-1 % Rectal Foam"|"65142"|"Thrombosed External Hemorrhoids"|"2"|"1"
"20054"|"Proctofoam HC 1-1 % Rectal Foam"|"65150"|"Anal Fissure"|"8"|"0.727273"
"20059"|"Progesterone 50 MG/ML Intramuscular Oil"|"66274"|"Female Infertility"|"2"|"0.666667"
file:///I|/AMIAJNL/000852/Preedit/1/amiajnl-2012-000852-20120418010342/suppl_data/Online%20Only%20Data%20Supplement.txt[4/23/2012 8:40:20 PM]

"20059"|"Progesterone 50 MG/ML Intramuscular Oil"|"69549"|"Polycystic Ovarian Syndrome"|"2"|"0.5"
"20070"|"Carafate 1 GM/10ML Oral Suspension"|"64688"|"Esophageal Reflux"|"4"|"0.266667"
"20092"|"RisperDAL 3 MG Oral Tablet"|"76238"|"Paranoid Schizophrenia, Stable"|"2"|"1"
"20093"|"RisperDAL 4 MG Oral Tablet"|"76234"|"Paranoid Schizophrenia, Chronic"|"2"|"1"
"20095"|"Pulmozyme 1 MG/ML Inhalation Solution"|"32925"|"Chronic Respiratory Failure"|"3"|"0.428571"
"20095"|"Pulmozyme 1 MG/ML Inhalation Solution"|"67695"|"Cystic Fibrosis"|"10"|"0.625"
"20095"|"Pulmozyme 1 MG/ML Inhalation Solution"|"277913"|"Chronic Interstitial Lung Disease"|"2"|"0.666667"
"20113"|"Potassium Chloride CR 10 MEQ Oral Tablet Extended Release"|"63217"|"Congestive Heart
Failure"|"4"|"0.333333"
"20113"|"Potassium Chloride CR 10 MEQ Oral Tablet Extended Release"|"63467"|"Hypertension"|"4"|"0.137931"
"20113"|"Potassium Chloride CR 10 MEQ Oral Tablet Extended Release"|"63470"|"Benign Essential
Hypertension"|"5"|"0.294118"
"20113"|"Potassium Chloride CR 10 MEQ Oral Tablet Extended Release"|"68089"|"Hypokalemia"|"5"|"0.5"
"20118"|"Tussionex Pennkinetic ER 10-8 MG/5ML Oral Liquid Extended Release"|"60869"|"Cough"|"7"|"0.35"
"20118"|"Tussionex Pennkinetic ER 10-8 MG/5ML Oral Liquid Extended Release"|"77890"|"Upper Respiratory
Infection"|"4"|"0.285714"
"20208"|"Promethazine HCl 12.5 MG Oral Tablet"|"60894"|"Nausea (Symptom)"|"25"|"0.694444"
"20208"|"Promethazine HCl 12.5 MG Oral Tablet"|"60895"|"Vomiting (Symptom)"|"3"|"0.6"
"20208"|"Promethazine HCl 12.5 MG Oral Tablet"|"64579"|"Gastroenteritis"|"5"|"0.263158"
"20208"|"Promethazine HCl 12.5 MG Oral Tablet"|"64610"|"Viral Gastroenteritis"|"5"|"0.454545"
"20208"|"Promethazine HCl 12.5 MG Oral Tablet"|"64621"|"Infectious Gastroenteritis"|"2"|"1"
"20208"|"Promethazine HCl 12.5 MG Oral Tablet"|"70477"|"Scleroderma With Pulmonary Involvement"|"2"|"1"
"20208"|"Promethazine HCl 12.5 MG Oral Tablet"|"87702"|"Nausea With Vomiting"|"23"|"0.676471"
"20208"|"Promethazine HCl 12.5 MG Oral Tablet"|"252601"|"Vertigo"|"4"|"0.4"
"20208"|"Promethazine HCl 12.5 MG Oral Tablet"|"274406"|"Pregnancy Test Positive"|"2"|"0.666667"
"20208"|"Promethazine HCl 12.5 MG Oral Tablet"|"282704"|"Acute Gastritis"|"3"|"0.6"
"20211"|"Promethazine-Codeine 6.25-10 MG/5ML Oral Syrup"|"60869"|"Cough"|"3"|"0.333333"
"20211"|"Promethazine-Codeine 6.25-10 MG/5ML Oral Syrup"|"64118"|"Acute Bronchitis"|"2"|"0.333333"
"20211"|"Promethazine-Codeine 6.25-10 MG/5ML Oral Syrup"|"77891"|"Acute Upper Respiratory
Infection"|"3"|"0.272727"
"20211"|"Promethazine-Codeine 6.25-10 MG/5ML Oral Syrup"|"277914"|"Acute Bronchitis With
Bronchospasm"|"2"|"0.666667"
"20226"|"Propranolol HCl 20 MG Oral Tablet"|"60828"|"Headache"|"2"|"0.5"
"20226"|"Propranolol HCl 20 MG Oral Tablet"|"63467"|"Hypertension"|"4"|"0.108108"
"20226"|"Propranolol HCl 20 MG Oral Tablet"|"63468"|"Essential Hypertension"|"2"|"0.333333"
"20226"|"Propranolol HCl 20 MG Oral Tablet"|"63470"|"Benign Essential Hypertension"|"2"|"0.2"
"20226"|"Propranolol HCl 20 MG Oral Tablet"|"69231"|"Hyperthyroidism"|"6"|"0.6"
"20226"|"Propranolol HCl 20 MG Oral Tablet"|"69234"|"Graves' Disease"|"8"|"0.727273"
"20226"|"Propranolol HCl 20 MG Oral Tablet"|"74533"|"Migraine Headache"|"3"|"0.272727"
"20226"|"Propranolol HCl 20 MG Oral Tablet"|"75104"|"Familial (Benign Essential) Tremor"|"5"|"0.625"
"20226"|"Propranolol HCl 20 MG Oral Tablet"|"250579"|"Blood Pressure Isolated Elevated"|"2"|"0.4"
"20227"|"Propranolol HCl 60 MG Oral Tablet"|"63468"|"Essential Hypertension"|"2"|"0.5"
"20263"|"Pyridoxine HCl 25 MG Oral Tablet"|"77403"|"Latent Tuberculosis"|"2"|"0.666667"
"20263"|"Pyridoxine HCl 25 MG Oral Tablet"|"87702"|"Nausea With Vomiting"|"3"|"0.6"
"20263"|"Pyridoxine HCl 25 MG Oral Tablet"|"200624"|"Tuberculin PPD Induration Positive Interpretation"|"8"|"0.8"
"20264"|"Pyridoxine HCl 50 MG Oral Tablet"|"77403"|"Latent Tuberculosis"|"9"|"0.692308"
"20264"|"Pyridoxine HCl 50 MG Oral Tablet"|"94415"|"Exposed To Tuberculosis"|"2"|"0.666667"
"20264"|"Pyridoxine HCl 50 MG Oral Tablet"|"200624"|"Tuberculin PPD Induration Positive
Interpretation"|"5"|"0.625"
"20304"|"DiphenhydrAMINE HCl 12.5 MG/5ML Oral Liquid"|"61029"|"Itching (Pruritus)"|"3"|"1"
"20304"|"DiphenhydrAMINE HCl 12.5 MG/5ML Oral Liquid"|"62598"|"Allergic Rhinitis"|"10"|"0.294118"
"20304"|"DiphenhydrAMINE HCl 12.5 MG/5ML Oral Liquid"|"64565"|"Upper Respiratory Tract Disorders"|"3"|"0.3"
"20304"|"DiphenhydrAMINE HCl 12.5 MG/5ML Oral Liquid"|"70112"|"Atopic Dermatitis"|"8"|"0.32"
"20304"|"DiphenhydrAMINE HCl 12.5 MG/5ML Oral Liquid"|"77704"|"Scabies"|"4"|"0.571429"
file:///I|/AMIAJNL/000852/Preedit/1/amiajnl-2012-000852-20120418010342/suppl_data/Online%20Only%20Data%20Supplement.txt[4/23/2012 8:40:20 PM]

"20304"|"DiphenhydrAMINE HCl 12.5 MG/5ML Oral Liquid"|"81335"|"Multiple Nonvenomous Insect
Bites"|"3"|"0.5"
"20304"|"DiphenhydrAMINE HCl 12.5 MG/5ML Oral Liquid"|"83137"|"Nonvenomous Insect Bite"|"2"|"0.5"
"20304"|"DiphenhydrAMINE HCl 12.5 MG/5ML Oral Liquid"|"278350"|"Eczema"|"7"|"0.269231"
"20314"|"Ipratropium Bromide 0.02 % Inhalation Solution"|"60869"|"Cough"|"2"|"0.222222"
"20314"|"Ipratropium Bromide 0.02 % Inhalation Solution"|"64181"|"Asthma"|"6"|"0.375"
"20314"|"Ipratropium Bromide 0.02 % Inhalation Solution"|"64205"|"Chronic Obstructive Pulmonary
Disease"|"14"|"0.7"
"20314"|"Ipratropium Bromide 0.02 % Inhalation Solution"|"64210"|"Diffuse Obstructive Chronic
Bronchitis"|"3"|"0.75"
"20314"|"Ipratropium Bromide 0.02 % Inhalation Solution"|"64212"|"Emphysema"|"3"|"0.6"
"20468"|"Retrovir 10 MG/ML Intravenous Solution"|"76835"|"HIV Infection"|"2"|"0.285714"
"20468"|"Retrovir 10 MG/ML Intravenous Solution"|"94386"|"Exposed To HIV Infection"|"2"|"0.222222"
"20490"|"Ritalin 10 MG Oral Tablet"|"75819"|"ADHD, Predominantly Inattentive Type"|"2"|"0.666667"
"20490"|"Ritalin 10 MG Oral Tablet"|"275486"|"ADHD, Combined Type"|"2"|"0.666667"
"20490"|"Ritalin 10 MG Oral Tablet"|"275492"|"ADHD, Predominantly Hyperactive - Impulsive"|"2"|"1"
"20491"|"Ritalin 5 MG Oral Tablet"|"75818"|"Attention-deficit Hyperactivity Disorder"|"6"|"0.666667"
"20598"|"Saline Nasal Spray 0.65 % Nasal Solution"|"62577"|"Sinusitis"|"4"|"0.571429"
"20598"|"Saline Nasal Spray 0.65 % Nasal Solution"|"62598"|"Allergic Rhinitis"|"16"|"0.516129"
"20598"|"Saline Nasal Spray 0.65 % Nasal Solution"|"62611"|"Chronic Rhinitis"|"2"|"0.666667"
"20598"|"Saline Nasal Spray 0.65 % Nasal Solution"|"62616"|"Epistaxis"|"2"|"0.5"
"20598"|"Saline Nasal Spray 0.65 % Nasal Solution"|"64565"|"Upper Respiratory Tract Disorders"|"4"|"0.2"
"20598"|"Saline Nasal Spray 0.65 % Nasal Solution"|"77890"|"Upper Respiratory Infection"|"4"|"0.4"
"20598"|"Saline Nasal Spray 0.65 % Nasal Solution"|"87028"|"Nasal Passage Blockage (Stuffiness)"|"5"|"0.384615"
"20618"|"Milk of Magnesia 400 MG/5ML Oral Suspension"|"65055"|"Chronic Constipation"|"3"|"0.75"
"20618"|"Milk of Magnesia 400 MG/5ML Oral Suspension"|"166777"|"Constipation"|"6"|"0.666667"
"20638"|"Naproxen Sodium 220 MG Oral Tablet"|"257996"|"Arthritis"|"2"|"0.666667"
"20638"|"Naproxen Sodium 220 MG Oral Tablet"|"278685"|"Arthralgias In Multiple Sites"|"2"|"0.666667"
"20691"|"Senokot 8.6 MG Oral Tablet"|"166777"|"Constipation"|"2"|"0.666667"
"20911"|"Simethicone 125 MG Oral Tablet Chewable"|"60905"|"Flatus"|"2"|"0.666667"
"20964"|"Sodium Chloride 1 GM Oral Tablet"|"68085"|"Hyponatremia"|"3"|"0.6"
"20984"|"Catapres-TTS-1 0.1 MG/24HR Transdermal Patch Weekly"|"63467"|"Hypertension"|"2"|"0.4"
"20986"|"Diflucan 150 MG Oral Tablet"|"66214"|"Candida Albicans Vaginitis"|"2"|"1"
"20994"|"Bisacodyl EC 5 MG Oral Tablet Delayed Release"|"166777"|"Constipation"|"10"|"0.5"
"21069"|"Riboflavin 100 MG Oral Capsule"|"257912"|"Disorder Of Mitochondrial Metabolism"|"20"|"0.833333"
"21160"|"OneTouch Test In Vitro Strip"|"69380"|"Diabetes Mellitus"|"10"|"0.25641"
"21160"|"OneTouch Test In Vitro Strip"|"69381"|"Type II Diabetes Mellitus"|"8"|"0.296296"
"21160"|"OneTouch Test In Vitro Strip"|"69382"|"Type II Diabetes Mellitus - Uncomplicated,
Uncontrolled"|"2"|"0.285714"
"21160"|"OneTouch Test In Vitro Strip"|"69387"|"Type I Diabetes Mellitus"|"3"|"0.5"
"21160"|"OneTouch Test In Vitro Strip"|"69388"|"Type I Diabetes Mellitus - Uncontrolled"|"8"|"0.8"
"21160"|"OneTouch Test In Vitro Strip"|"69402"|"Diabetes Mellitus Poorly Controlled"|"27"|"0.75"
"21189"|"Levoxyl 100 MCG Oral Tablet"|"69258"|"Hypothyroidism"|"33"|"0.673469"
"21190"|"Levoxyl 150 MCG Oral Tablet"|"69258"|"Hypothyroidism"|"23"|"0.821429"
"21191"|"Levoxyl 200 MCG Oral Tablet"|"69258"|"Hypothyroidism"|"3"|"0.6"
"21192"|"Levoxyl 88 MCG Oral Tablet"|"69258"|"Hypothyroidism"|"8"|"0.296296"
"21192"|"Levoxyl 88 MCG Oral Tablet"|"69266"|"Congenital Hypothyroidism"|"2"|"1"
"21192"|"Levoxyl 88 MCG Oral Tablet"|"69283"|"Hashimoto's Thyroiditis"|"3"|"1"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"60828"|"Headache"|"10"|"0.263158"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"60844"|"Tooth Pain"|"2"|"0.666667"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"60869"|"Cough"|"12"|"0.324324"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"60899"|"Abdominal Pain"|"5"|"0.151515"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"62586"|"Chronic Maxillary Sinusitis"|"3"|"0.25"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"62587"|"Chronic Frontal Sinusitis"|"4"|"0.5"
file:///I|/AMIAJNL/000852/Preedit/1/amiajnl-2012-000852-20120418010342/suppl_data/Online%20Only%20Data%20Supplement.txt[4/23/2012 8:40:20 PM]

"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"62588"|"Chronic Ethmoidal Sinusitis"|"6"|"0.75"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"64118"|"Acute Bronchitis"|"5"|"0.15625"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"64119"|"Influenza"|"2"|"0.333333"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"70146"|"Osteoarthritis"|"3"|"0.166667"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"70386"|"Acute Gout"|"3"|"1"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"70455"|"Rheumatoid Arthritis"|"4"|"0.4"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"73666"|"Backache"|"4"|"0.222222"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"74530"|"Tension-type Headache"|"3"|"0.375"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"74535"|"Classic Migraine (With Aura) With
Intractable Migraine"|"2"|"0.666667"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"74538"|"Common Migraine (Without Aura) With
Intractable Migraine"|"2"|"0.4"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"75588"|"Cervical Spine Stenosis"|"2"|"0.666667"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"76794"|"Herpes Zoster (Shingles)"|"3"|"0.428571"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"77891"|"Acute Upper Respiratory
Infection"|"6"|"0.157895"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"78008"|"Sickle Cell Hb-SC Disease"|"2"|"1"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"78035"|"Sickle Cell Hb-SS Disease"|"4"|"0.8"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"78371"|"Benign Nasal Cavity Neoplasm"|"2"|"1"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"85614"|"Joint Pain, Localized In The Hip"|"2"|"0.2"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"85623"|"Joint Pain, Localized In The
Knee"|"4"|"0.173913"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"85701"|"Joint Pain, Localized In The
Shoulder"|"5"|"0.333333"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"91089"|"Lower Back Pain"|"11"|"0.314286"
"21235"|"Acetaminophen-Codeine #3 300-30 MG Oral Tablet"|"259187"|"Internal Derangement Of Knee"|"3"|"0.75"
"21259"|"Aspirin EC 81 MG Oral Tablet Delayed Release"|"63217"|"Congestive Heart Failure"|"2"|"0.25"
"21297"|"Spironolactone Powder"|"32925"|"Chronic Respiratory Failure"|"4"|"0.444444"
"21297"|"Spironolactone Powder"|"63484"|"Pulmonary Hypertension"|"5"|"0.25"
"21297"|"Spironolactone Powder"|"63526"|"Hypoplastic Left Heart Syndrome"|"3"|"0.5"
"21297"|"Spironolactone Powder"|"63598"|"Ventricular Septal Defect"|"2"|"0.222222"
"21297"|"Spironolactone Powder"|"67885"|"Bronchopulmonary Dysplasia Of Fetus Or Newborn"|"3"|"0.428571"
"21297"|"Spironolactone Powder"|"278128"|"Chronic Lung Disease Of Newborn"|"4"|"0.4"
"21298"|"Spironolactone-HCTZ 25-25 MG Oral Tablet"|"63468"|"Essential Hypertension"|"4"|"0.666667"
"21526"|"Sinemet CR 50-200 MG Oral Tablet Extended Release"|"75080"|"Parkinson's Disease"|"2"|"0.285714"
"21593"|"Terazosin HCl 2 MG Oral Capsule"|"62975"|"Coronary Artery Disease"|"2"|"0.222222"
"21593"|"Terazosin HCl 2 MG Oral Capsule"|"63467"|"Hypertension"|"6"|"0.461538"
"21593"|"Terazosin HCl 2 MG Oral Capsule"|"63468"|"Essential Hypertension"|"3"|"0.375"
"21593"|"Terazosin HCl 2 MG Oral Capsule"|"63470"|"Benign Essential Hypertension"|"3"|"0.6"
"21593"|"Terazosin HCl 2 MG Oral Capsule"|"289131"|"Benign Prostatic Hypertrophy"|"2"|"0.333333"
