medication_definition_id	medication	indications
16018	Methotrexate Sodium 25 MG/ML Injection Solution	6
17781	Silver Sulfadiazine 1 % External Cream	6
31137	Actos 45 MG Oral Tablet	5
128711	Mupirocin Powder	5
30962	Xopenex 1.25 MG/3ML Inhalation Nebulization Solution	5
135892	Pataday 0.2 % Ophthalmic Solution	5
130701	Desmopressin Acetate 0.2 MG Oral Tablet	5
130744	CefTRIAXone Sodium 250 MG Injection Solution Reconstituted	5
21593	Terazosin HCl 2 MG Oral Capsule	5
21636	Indomethacin CR 75 MG Oral Capsule Extended Release	5
130450	LevOCARNitine 1 GM/10ML Oral Solution	5
25023	Ortho Tri-Cyclen (28) 0.18/0.215/0.25 MG-35 MCG Oral Tablet	5
25306	Aciphex 20 MG Oral Tablet Delayed Release	5
30362	Xeloda 500 MG Oral Tablet	5
138346	Exelon 4.6 MG/24HR Transdermal Patch 24 Hour	5
130536	Byetta 5 MCG Pen 5 MCG/0.02ML Subcutaneous Solution	5
130736	CefTRIAXone Sodium 1 GM Injection Solution Reconstituted	5
123381	GlyBURIDE-MetFORMIN 5-500 MG Oral Tablet	5
24923	Provigil 200 MG Oral Tablet	5
135172	Januvia 100 MG Oral Tablet	5
97557	Doxazosin Mesylate 4 MG Oral Tablet	5
136267	Tekturna 150 MG Oral Tablet	5
28117	Citric Acid-Sodium Citrate 334-500 MG/5ML Oral Solution	5
137000	SEROquel XR 400 MG Oral Tablet Extended Release 24 Hour	5
24531	Maxalt 10 MG Oral Tablet	5
122809	GlyBURIDE-MetFORMIN 2.5-500 MG Oral Tablet	5
97564	Enalapril Maleate 5 MG Oral Tablet	5
134094	Chantix Continuing Month Pak 1 MG Oral Tablet	5
24078	SEROquel 200 MG Oral Tablet	5
98354	ZyPREXA 20 MG Oral Tablet	5
97579	Levothyroxine Sodium 137 MCG Oral Tablet	5
26403	GlipiZIDE 10 MG Oral Tablet	5
24285	Carbatrol 300 MG Oral Capsule Extended Release 12 Hour	5
134076	Simvastatin 10 MG Oral Tablet	5
26501	Warfarin Sodium 1 MG Oral Tablet	5
134058	Enbrel SureClick 50 MG/ML Subcutaneous Solution	5
123383	Boniva 150 MG Oral Tablet	5
23422	Butalbital-APAP-Caffeine 50-325-40 MG Oral Tablet	5
122986	FentaNYL 25 MCG/HR Transdermal Patch 72 Hour	5
24690	Bicillin L-A 1200000 UNIT/2ML Intramuscular Suspension	5
29744	Hydrocodone-Acetaminophen 10-650 MG Oral Tablet	5
25790	Evoxac 30 MG Oral Capsule	5
31564	Aggrenox 25-200 MG Oral Capsule Extended Release 12 Hour	5
29868	Warfarin Sodium 4 MG Oral Tablet	5
123197	Vytorin 10-20 MG Oral Tablet	5
22169	Synthroid 112 MCG Oral Tablet	5
122690	GuaiFENesin 400 MG Oral Tablet	5
137874	Auralgan SOLN	5
22333	Nystatin Powder (XX)	5
123024	MedroxyPROGESTERone Acetate 150 MG/ML Intramuscular Suspension	5
137726	Metoprolol Succinate 200 MG Oral Tablet Extended Release 24 Hour	5
137214	SEROquel XR 300 MG Oral Tablet Extended Release 24 Hour	5
136377	Tekturna 300 MG Oral Tablet	5
136095	Guaifenesin-Codeine 100-10 MG/5ML Oral Solution	5
131282	Glimepiride 4 MG Oral Tablet	5
128335	Tindamax 500 MG Oral Tablet	5
131367	Fexofenadine HCl 60 MG Oral Tablet	5
26297	Zovirax 5 % External Ointment	5
30781	HumaLOG Pen 100 UNIT/ML SOLN	5
15437	Isoniazid 300 MG Oral Tablet	5
140466	Numoisyn Mouth/Throat Lozenge	5
18828	Triamterene-HCTZ 37.5-25 MG Oral Tablet	5
143227	Patanase 0.6 % Nasal Solution	5
113974	Keppra 100 MG/ML Oral Solution	5
19139	Nystatin-Triamcinolone 100000-0.1 UNIT/GM-% External Cream	5
143223	Pristiq 50 MG Oral Tablet Extended Release 24 Hour	5
142717	Chloraseptic Gargle 1.4 % Mouth/Throat Liquid	5
100229	Testosterone Cypionate 200 MG/ML Intramuscular Oil	5
19377	Warfarin Sodium 7.5 MG Oral Tablet	5
15432	Isometheptene-APAP-Dichloral 65-325-100 MG Oral Capsule	5
107301	"Insulin Syringe 29G X 1/2\1 ML Miscellaneous"""	5
115409	Propranolol HCl CR 60 MG Oral Capsule Extended Release 24 Hour	5
152836	Creon 12000 UNIT Oral Capsule Delayed Release Particles	5
156743	EpiPen Jr 2-Pak 0.15 MG/0.3ML Injection Device	5
156744	Advair Diskus 500-50 MCG/DOSE Inhalation Aerosol Powder Breath Activated	5
13100	Benztropine Mesylate 2 MG Oral Tablet	5
100002	Diovan 80 MG Oral Tablet	5
115166	Prempro 0.3-1.5 MG Oral Tablet	5
15581	Klor-Con 10 10 MEQ Oral Tablet Extended Release	5
16636	Gemfibrozil 600 MG Oral Tablet	5
143249	Actonel 150 MG Oral Tablet	5
143251	Treximet 85-500 MG Oral Tablet	5
150159	Banzel 400 MG Oral Tablet	5
154854	Lansoprazole 15 MG Oral Capsule Delayed Release	5
14924	Depakote 250 MG Oral Tablet Delayed Release	5
115286	Mucinex 600 MG Oral Tablet Extended Release 12 Hour	5
14771	Cyanocobalamin 1000 MCG/ML Injection Solution	5
153842	Chantix Starting Month Pak 0.5 MG X 11 & 1 MG X 42 Oral Tablet	5
154656	Azelastine HCl 0.05 % Ophthalmic Solution	5
104255	Strattera 40 MG Oral Capsule	5
115332	Lexapro 5 MG Oral Tablet	5
146629	NexIUM 10 MG Oral Packet	5
15215	HydrALAZINE HCl 50 MG Oral Tablet	5
100257	Lisinopril-Hydrochlorothiazide 20-25 MG Oral Tablet	5
15226	Hydrocortisone 0.5 % External Cream	5
100261	Misoprostol 200 MCG Oral Tablet	5
18387	Metoprolol Tartrate 100 MG Oral Tablet	5
104198	Abilify 15 MG Oral Tablet	5
18436	Minocycline HCl 100 MG Oral Capsule	5
155413	Nizatidine 15 MG/ML Oral Solution	5
18713	TraZODone HCl 150 MG Oral Tablet	5
115358	Nifedical XL 30 MG Oral Tablet Extended Release 24 Hour	5
110139	OneTouch UltraSoft Lancets Miscellaneous	5
15005	Dexamethasone 0.5 MG Oral Tablet	5
122510	"BD Insulin Syringe Ultrafine 31G X 5/16\0.5 ML Miscellaneous"""	5
152122	Nuvigil 250 MG Oral Tablet	5
5097	Penicillin V Potassium 500 MG Oral Tablet	5
15758	Lithium Carbonate 300 MG Oral Capsule	5
3869	Synthroid 100 MCG Oral Tablet	5
99718	Klor-Con M20 20 MEQ Oral Tablet Extended Release	5
16569	NovoLIN R 100 UNIT/ML Injection Solution	5
3866	Synthroid 50 MCG Oral Tablet	5
111514	Neomycin-Polymyxin-HC 3.5-10000-1 Otic Solution	5
16517	Nitrofurantoin Macrocrystal 100 MG Oral Capsule	5
159655	Zolpidem Tartrate 6.25 MG Oral Tablet Extended Release	5
19665	Estradiol 1 MG Oral Tablet	5
111300	Ciprofloxacin HCl 750 MG Oral Tablet	5
12546	ALPRAZolam 2 MG Oral Tablet	5
20054	Proctofoam HC 1-1 % Rectal Foam	5
19746	Plaquenil 200 MG Oral Tablet	5
116151	BD Pen Needle Mini U/F 31G X 5 MM Miscellaneous	5
140136	BD Pen Needle Ultrafine 29G X 12.7MM Miscellaneous	5
20314	Ipratropium Bromide 0.02 % Inhalation Solution	5
3448	Propranolol HCl 40 MG Oral Tablet	5
19840	Spironolactone 100 MG Oral Tablet	5
12650	Amitriptyline HCl 50 MG Oral Tablet	5
100722	Concerta 27 MG Oral Tablet Extended Release	5
19830	Ranitidine HCl 150 MG Oral Tablet	5
158444	Venlafaxine HCl 37.5 MG Oral Capsule Extended Release 24 Hour	5
15718	Levothyroxine Sodium 200 MCG Oral Tablet	5
139709	Home Health	5
139282	Bystolic 10 MG Oral Tablet	5
15214	HydrALAZINE HCl 25 MG Oral Tablet	4
26805	Triamterene-HCTZ 37.5-25 MG Oral Capsule	4
16044	Estrace 0.1 MG/GM Vaginal Cream	4
26704	Estradiol 0.5 MG Oral Tablet	4
123299	Allegra-D 24 Hour 180-240 MG TB24	4
134074	Ranitidine HCl 150 MG/10ML Oral Syrup	4
15213	HydrALAZINE HCl 100 MG Oral Tablet	4
133919	Bethanechol Suspension	4
123440	Avalide 300-25 MG Oral Tablet	4
26366	ClonazePAM 2 MG Oral Tablet	4
104200	Abilify 30 MG Oral Tablet	4
16111	Methyldopa 500 MG Oral Tablet	4
128220	AndroGel Pump 1 % GEL	4
16113	Methylphenidate HCl 10 MG Oral Tablet	4
15091	GuaiFENesin 100 MG/5ML Oral Syrup	4
16125	MetroNIDAZOLE Powder	4
133704	Keppra 1000 MG Oral Tablet	4
133696	Pravastatin Sodium 10 MG Oral Tablet	4
16142	Ortho Micronor 0.35 MG Oral Tablet	4
154039	Intuniv 1 MG Oral Tablet Extended Release 24 Hour	4
104253	Strattera 10 MG Oral Capsule	4
15162	Digoxin 0.25 MG Oral Tablet	4
133948	Pen Needles 31G X 6 MM Miscellaneous	4
134102	Fenofibrate 160 MG Oral Tablet	4
26619	Meclizine HCl 12.5 MG Oral Tablet	4
114854	Terconazole 0.8 % Vaginal Cream	4
26408	GuanFACINE HCl 1 MG Oral Tablet	4
101353	Diovan 40 MG Oral Tablet	4
15700	Emcyt 140 MG Oral Capsule	4
26433	Methimazole 10 MG Oral Tablet	4
97639	Acetaminophen-Codeine 120-12 MG/5ML Oral Solution	4
26457	Permethrin 5 % External Cream	4
104254	Strattera 25 MG Oral Capsule	4
97605	Primidone 50 MG Oral Tablet	4
123391	Fluticasone Propionate 0.05 % External Cream	4
26404	GlipiZIDE 5 MG Oral Tablet	4
26481	Sucralfate 1 GM Oral Tablet	4
134019	Humira Pen 40 MG/0.8ML Subcutaneous Kit	4
114353	Crestor 40 MG Oral Tablet	4
26496	Polymyxin B-Trimethoprim 10000-0.1 UNIT/ML-% Ophthalmic Solution	4
101125	Amoxicillin-Pot Clavulanate 400-57 MG/5ML Oral Suspension Reconstituted	4
152225	CarBAMazepine 200 MG Oral Tablet Extended Release 12 Hour	4
134099	Clarithromycin 500 MG Oral Tablet Extended Release 24 Hour	4
103821	Promethazine HCl 25 MG Rectal Suppository	4
97581	Lovastatin 20 MG Oral Tablet	4
123439	Polyethylene Glycol 3350 Oral Packet	4
139074	HumaLOG Mix 75/25 KwikPen 75-25 % Subcutaneous Suspension	4
28340	Lupron Depot 22.5 MG Intramuscular Kit	4
27447	LaMICtal 25 MG Oral Tablet	4
14925	Depakote Sprinkles 125 MG Oral Capsule Sprinkle	4
108511	Betamethasone Powder	4
131087	Ambien CR 12.5 MG Oral Tablet Extended Release	4
108968	OneTouch FinePoint Lancets Miscellaneous	4
131072	Glimepiride 1 MG Oral Tablet	4
112608	Singulair 4 MG Oral Packet	4
156885	Losartan Potassium 100 MG Oral Tablet	4
112360	Zovirax 5 % External Cream	4
157818	ClonazePAM 0.25 MG Oral Tablet Dispersible	4
12774	Anucort-HC 25 MG Rectal Suppository	4
12712	Amitriptyline HCl 100 MG Oral Tablet	4
110948	"Insulin Syringe 30G X 5/16\0.3 ML Miscellaneous"""	4
30055	Aspir-81 81 MG Oral Tablet Delayed Release	4
12636	Amantadine HCl 100 MG Oral Capsule	4
111565	Accu-Chek Compact Test Drum In Vitro Strip	4
30195	Carbatrol 200 MG Oral Capsule Extended Release 12 Hour	4
130842	Leflunomide 20 MG Oral Tablet	4
111033	BD Lancet Ultrafine 33G Miscellaneous	4
5602	Hydrochlorothiazide 50 MG Oral Tablet	4
128646	NIFEdipine 60 MG Oral Tablet Extended Release 24 Hour	4
30304	Bicillin C-R 1200000 UNIT/2ML Intramuscular Suspension	4
111252	PARoxetine HCl 30 MG Oral Tablet	4
111297	Mirtazapine 45 MG Oral Tablet	4
130522	Byetta 10 MCG Pen 10 MCG/0.04ML Subcutaneous Solution	4
160094	OneTouch Delica Lancets Miscellaneous	4
31037	Glucagon Emergency 1 MG Injection Kit	4
128960	Truvada 200-300 MG Oral Tablet	4
160403	Zolpidem Tartrate 12.5 MG Oral Tablet Extended Release	4
129095	Cefpodoxime Proxetil 100 MG Oral Tablet	4
247	Atenolol 100 MG Oral Tablet	4
113669	Crestor 5 MG Oral Tablet	4
113672	Benicar HCT 40-25 MG Oral Tablet	4
156134	Imiquimod 5 % External Cream	4
114128	Metolazone 2.5 MG Oral Tablet	4
133579	Clindamycin Phosphate 2 % Vaginal Cream	4
154456	Amphetamine-Dextroamphetamine 10 MG Oral Tablet	4
14852	FluPHENAZine Decanoate 25 MG/ML Injection Solution	4
27782	Loestrin 1/20 (21) 1-20 MG-MCG Oral Tablet	4
133357	Levemir 100 UNIT/ML Subcutaneous Solution	4
14721	Flagyl 500 MG Oral Tablet	4
104256	Strattera 18 MG Oral Capsule	4
27951	Zithromax 1 GM Oral Packet	4
97559	Doxycycline Monohydrate 100 MG Oral Capsule	4
28077	Valtrex 500 MG Oral Tablet	4
154807	Bystolic 20 MG Oral Tablet	4
154813	CloNIDine HCl 0.3 MG/24HR Transdermal Patch Weekly	4
133253	Strattera 80 MG Oral Capsule	4
154880	TraMADol HCl 100 MG Oral Tablet Extended Release 24 Hour	4
13613	Botox 100 UNIT SOLR	4
154881	TraMADol HCl 200 MG Oral Tablet Extended Release 24 Hour	4
16205	Ferrous Sulfate 220 (44 Fe) MG/5ML Oral Elixir	4
155372	Victoza 18 MG/3ML Subcutaneous Solution	4
14120	Dexamethasone Sodium Phosphate 0.1 % Ophthalmic Solution	4
97551	Cephalexin 250 MG Oral Capsule	4
132896	Digoxin 0.05 MG/ML Oral Solution	4
114051	Potassium Chloride Crys CR 20 MEQ Oral Tablet Extended Release	4
155436	OXcarbazepine 300 MG/5ML Oral Suspension	4
113952	Benicar HCT 40-12.5 MG Oral Tablet	4
13728	Colchicine 0.6 MG TABS	4
28792	Claritin-D 12 Hour 5-120 MG Oral Tablet Extended Release 12 Hour	4
13649	CloNIDine HCl 0.2 MG Oral Tablet	4
13640	Clindamycin HCl 150 MG Oral Capsule	4
26323	Bromocriptine Mesylate 2.5 MG Oral Tablet	4
152092	Simponi 50 MG/0.5ML Subcutaneous Solution	4
100890	Actonel 35 MG Oral Tablet	4
100256	Lisinopril-Hydrochlorothiazide 20-12.5 MG Oral Tablet	4
18703	Transderm-Scop 1.5 MG Transdermal Patch 72 Hour	4
143351	Sinus Rinse Bottle Kit Nasal Packet	4
136865	Symbicort 80-4.5 MCG/ACT Inhalation Aerosol	4
136750	Janumet 50-1000 MG Oral Tablet	4
24251	Zomig 2.5 MG Oral Tablet	4
18333	Temazepam 15 MG Oral Capsule	4
115345	Ovidrel 250 MCG/0.5ML Subcutaneous Injectable	4
146860	Ocella 3-0.03 MG Oral Tablet	4
100275	MetFORMIN HCl 850 MG Oral Tablet	4
122880	Atrovent HFA 17 MCG/ACT Inhalation Aerosol Solution	4
147016	Cetirizine HCl 1 MG/ML Oral Syrup	4
147139	"BD Insulin Syringe Ultrafine 31G X 5/16\0.3 ML Miscellaneous"""	4
17783	Simethicone 80 MG Oral Tablet Chewable	4
148837	Ipratropium-Albuterol 0.5-2.5 (3) MG/3ML Inhalation Solution	4
122956	Vytorin 10-40 MG Oral Tablet	4
24533	Maxalt-MLT 10 MG Oral Tablet Dispersible	4
122970	Mometasone Furoate 0.1 % External Cream	4
149360	Galantamine Hydrobromide 16 MG Oral Capsule Extended Release 24 Hour	4
24654	Remicade 100 MG Intravenous Solution Reconstituted	4
17393	Indomethacin 50 MG Oral Capsule	4
17319	Ibuprofen 200 MG Oral Tablet	4
100321	Diltiazem HCl CR 120 MG Oral Capsule Extended Release 24 Hour	4
115249	Cialis 20 MG Oral Tablet	4
150031	Trilipix 135 MG Oral Capsule Delayed Release	4
150034	Claritin 10 MG Oral Capsule	4
24870	HumuLIN N Pen 100 UNIT/ML Subcutaneous Suspension	4
98109	Concerta 36 MG Oral Tablet Extended Release	4
18721	Naproxen Sodium 550 MG Oral Tablet	4
18818	Triamcinolone Acetonide 0.025 % External Cream	4
98108	Concerta 18 MG Oral Tablet Extended Release	4
115362	GlipiZIDE 10 MG Oral Tablet Extended Release 24 Hour	4
20211	Promethazine-Codeine 6.25-10 MG/5ML Oral Syrup	4
20113	Potassium Chloride CR 10 MEQ Oral Tablet Extended Release	4
138300	Exelon 9.5 MG/24HR Transdermal Patch 24 Hour	4
98655	Advair Diskus 250-50 MCG/DOSE MISC	4
99643	Diovan 320 MG Oral Tablet	4
19709	Levothyroxine Sodium 175 MCG Oral Tablet	4
19706	Labetalol HCl 300 MG Oral Tablet	4
19704	Labetalol HCl 100 MG Oral Tablet	4
138193	Isentress 400 MG Oral Tablet	4
139708	Occupational Therapy	4
122654	Pilocarpine HCl 5 MG Oral Tablet	4
138107	Famciclovir 500 MG Oral Tablet	4
99784	Toprol XL 50 MG Oral Tablet Extended Release 24 Hour	4
140389	Lancets 30G Miscellaneous	4
19651	PHENobarbital 20 MG/5ML Oral Elixir	4
137659	BD Ultra-Fine Needles 31 guage	4
99901	Adderall XR 20 MG Oral Capsule Extended Release 24 Hour	4
19590	Chlorhexidine Gluconate 0.12 % Mouth/Throat Solution	4
99902	Adderall XR 30 MG Oral Capsule Extended Release 24 Hour	4
22620	Hydrochlorothiazide Powder	4
137196	SEROquel XR 200 MG Oral Tablet Extended Release 24 Hour	4
137176	Vyvanse 30 MG Oral Capsule	4
142310	Vyvanse 40 MG Oral Capsule	4
137173	Pravastatin Sodium 80 MG Oral Tablet	4
137104	Reclast 5 MG/100ML Intravenous Solution	4
137077	Amlodipine Besy-Benazepril HCl 5-20 MG Oral Capsule	4
100240	Cefuroxime Axetil 500 MG Oral Tablet	4
17179	Hydrocortisone 1 % External Lotion	4
122864	PrednisoLONE Sodium Phosphate 15 MG/5ML Oral Solution	4
17166	HydrALAZINE HCl 10 MG Oral Tablet	4
135445	Oxybutynin Chloride 5 MG Oral Tablet Extended Release 24 Hour	4
135415	Budeprion XL 300 MG Oral Tablet Extended Release 24 Hour	4
135264	Januvia 50 MG Oral Tablet	4
135235	Metoclopramide HCl 5 MG/5ML Oral Solution	4
151078	Divalproex Sodium 125 MG Oral Capsule Sprinkle	4
115153	NIFEdipine CR Osmotic 60 MG Oral Tablet Extended Release 24 Hour	4
25734	Trileptal 300 MG Oral Tablet	4
16746	Oxymetazoline HCl 0.05 % Nasal Solution	4
135069	Ranitidine HCl 15 MG/ML Oral Syrup	4
100613	Ortho Evra 150-20 MCG/24HR Transdermal Patch Weekly	4
25799	Isosorbide Mononitrate CR 120 MG Oral Tablet Extended Release 24 Hour	4
16558	Norvasc 5 MG Oral Tablet	4
100745	Kariva 0.15-0.02/0.01 MG (21/5) Oral Tablet	4
16474	Nephron FA Oral Tablet	4
16394	FluPHENAZine HCl 5 MG Oral Tablet	4
97734	FLUoxetine HCl 10 MG Oral Tablet	4
100800	Benicar 20 MG Oral Tablet	4
134533	Glumetza 500 MG Oral Tablet Extended Release 24 Hour	4
151542	Liothyronine Sodium 5 MCG Oral Tablet	4
151605	Keppra XR 750 MG Oral Tablet Extended Release 24 Hour	4
114921	GuaiFENesin AC 100-10 MG/5ML Oral Syrup	4
16241	Fluocinonide 0.05 % External Ointment	4
16942	Guiatuss AC 100-10 MG/5ML Oral Syrup	4
111375	Humira 40 MG/0.8ML Subcutaneous Kit	4
135605	Ondansetron 8 MG Oral Tablet Dispersible	4
135619	Oxybutynin Chloride 10 MG Oral Tablet Extended Release 24 Hour	4
17152	HumuLIN 70/30 70-30 % Subcutaneous Suspension	4
17055	Piroxicam 20 MG Oral Capsule	4
17011	Haloperidol 5 MG Oral Tablet	4
123120	Lunesta 3 MG Oral Tablet	4
17154	HumuLIN R 100 UNIT/ML Injection Solution	4
97991	Keppra 750 MG Oral Tablet	4
122629	Quinapril HCl 20 MG Oral Tablet	3
100801	Benicar 40 MG Oral Tablet	3
98467	Protopic 0.1 % External Ointment	3
115577	Budeprion SR 100 MG Oral Tablet Extended Release 12 Hour	3
110952	"Insulin Syringe 31G X 5/16\0.5 ML Miscellaneous"""	3
115574	Benazepril-Hydrochlorothiazide 20-25 MG Oral Tablet	3
101121	Amoxicillin-Pot Clavulanate 400-57 MG Oral Tablet Chewable	3
114881	TriNessa (28) 0.18/0.215/0.25 MG-35 MCG Oral Tablet	3
115559	Benazepril HCl 40 MG Oral Tablet	3
101505	Saline 0.9 % Solution	3
97792	Nicotine 14 MG/24HR Transdermal Patch 24 Hour	3
111594	NovoLOG PenFill 100 UNIT/ML Subcutaneous Solution	3
99704	Accu-Chek Active In Vitro Strip	3
99827	Zomig ZMT 5 MG Oral Tablet Dispersible	3
110945	"Insulin Syringe 30G X 5/16\0.5 ML Miscellaneous"""	3
110942	"Insulin Syringe 29G X 1/2\0.3 ML Miscellaneous"""	3
112120	Microgestin 1/20 1-20 MG-MCG Oral Tablet	3
115498	Caduet 10-20 MG Oral Tablet	3
112189	NovoLOG Mix 70/30 FlexPen 70-30 % Subcutaneous Suspension	3
109939	FreeStyle System KIT	3
97793	Nicotine 21 MG/24HR Transdermal Patch 24 Hour	3
99900	Adderall XR 10 MG Oral Capsule Extended Release 24 Hour	3
97873	Vagifem 25 MCG TABS	3
104220	Depakote ER 250 MG Oral Tablet Extended Release 24 Hour	3
99715	Klor-Con M10 10 MEQ Oral Tablet Extended Release	3
98727	Zithromax Z-Pak 250 MG Oral Tablet	3
99703	Accu-Chek Compact In Vitro Strip	3
97652	Enalapril-Hydrochlorothiazide 5-12.5 MG Oral Tablet	3
129113	Foltx 2.5-25-2 MG Oral Tablet	3
98995	Aviane 0.1-20 MG-MCG Oral Tablet	3
111301	Amoxicillin 200 MG/5ML Oral Suspension Reconstituted	3
98695	Geodon 60 MG Oral Capsule	3
98694	Geodon 40 MG Oral Capsule	3
129019	Enbrel 50 MG/ML Subcutaneous Solution	3
30992	Necon 1/35 (28) 1-35 MG-MCG Oral Tablet	3
122534	Mirtazapine 7.5 MG Oral Tablet	3
31005	Avalide 150-12.5 MG Oral Tablet	3
128871	Micardis HCT 80-25 MG Oral Tablet	3
100972	Adderall XR 15 MG Oral Capsule Extended Release 24 Hour	3
104199	Abilify 20 MG Oral Tablet	3
122516	Quinapril HCl 40 MG Oral Tablet	3
128737	Butalbital-APAP-Caff-Cod 50-325-40-30 MG Oral Capsule	3
99562	Rapamune 1 MG Oral Tablet	3
111282	Amantadine HCl 100 MG Oral Tablet	3
122627	Quinapril HCl 10 MG Oral Tablet	3
101012	Nutropin AQ Pen 10 MG/2ML Subcutaneous Solution	3
115247	Procardia XL 30 MG Oral Tablet Extended Release 24 Hour	3
111270	Ipratropium Bromide 0.06 % Nasal Solution	3
111269	Ipratropium Bromide 0.03 % Nasal Solution	3
111399	Relpax 20 MG Oral Tablet	3
114875	Benazepril HCl 20 MG Oral Tablet	3
122702	Itraconazole 100 MG Oral Capsule	3
100319	Diltiazem HCl Coated Beads 240 MG Oral Capsule Extended Release 24 Hour	3
31659	Trileptal 150 MG Oral Tablet	3
114722	Cialis 10 MG Oral Tablet	3
122807	Lunesta 2 MG Oral Tablet	3
114099	Levitra 10 MG Oral Tablet	3
123177	Clarithromycin 250 MG Oral Tablet	3
97569	Famotidine 40 MG Oral Tablet	3
101409	Synthroid 137 MCG Oral Tablet	3
115300	Fosinopril Sodium 40 MG Oral Tablet	3
115246	"Pen Needles 1/2\29G X 12MM Miscellaneous"""	3
114124	Lidocaine-Prilocaine 2.5-2.5 % External Cream	3
97555	Doxazosin Mesylate 1 MG Oral Tablet	3
122814	RisperDAL Consta 25 MG Intramuscular Suspension Reconstituted	3
97989	Desmopressin Acetate Spray 0.01 % Nasal Solution	3
100262	Mometasone Furoate 0.1 % External Ointment	3
97565	Enalapril-Hydrochlorothiazide 10-25 MG Oral Tablet	3
123272	Tobramycin Powder	3
100297	Lisinopril 30 MG Oral Tablet	3
97558	Doxazosin Mesylate 8 MG Oral Tablet	3
97592	Nabumetone 750 MG Oral Tablet	3
98242	Glucophage XR 500 MG Oral Tablet Extended Release 24 Hour	3
100276	TiZANidine HCl 2 MG Oral Tablet	3
97591	Nabumetone 500 MG Oral Tablet	3
100378	Elidel 1 % External Cream	3
122936	Ciprofloxacin HCl 0.3 % Ophthalmic Solution	3
115326	Nifedical XL 60 MG Oral Tablet Extended Release 24 Hour	3
97583	Megestrol Acetate 40 MG/ML Oral Suspension	3
97561	Enalapril Maleate 10 MG Oral Tablet	3
106525	BD Ultra-Fine Lancets Miscellaneous	3
106628	Nebulizer Device	3
98143	Welchol 625 MG Oral Tablet	3
123076	Griseofulvin Microsize 125 MG/5ML Oral Suspension	3
100799	Benicar 5 MG Oral Tablet	3
129135	GlipiZIDE XL 10 MG Oral Tablet Extended Release 24 Hour	3
128493	Hectorol 0.5 MCG Oral Capsule	3
100009	Diovan 160 MG Oral Tablet	3
31710	Precision Xtra Blood Glucose In Vitro Strip	3
115463	GlipiZIDE 2.5 MG Oral Tablet Extended Release 24 Hour	3
128415	GlipiZIDE XL 5 MG Oral Tablet Extended Release 24 Hour	3
113646	Benicar HCT 20-12.5 MG Oral Tablet	3
113648	AndroGel 25 MG/2.5GM Transdermal Gel	3
108129	Accu-Chek Softclix Lancets Miscellaneous	3
97473	Iron 325 (65 Fe) MG Oral Tablet	3
100762	Diovan HCT 160-25 MG Oral Tablet	3
114262	Metolazone 5 MG Oral Tablet	3
100104	Frova 2.5 MG Oral Tablet	3
114346	Phenadoz 12.5 MG Rectal Suppository	3
100318	Diltiazem HCl Coated Beads 180 MG Oral Capsule Extended Release 24 Hour	3
100311	Chlorhexidine Gluconate 4 % External Liquid	3
98425	Concerta 54 MG Oral Tablet Extended Release	3
100228	SulfaSALAzine 500 MG Oral Tablet Delayed Release	3
114861	Riomet 500 MG/5ML Oral Solution	3
113844	Calcitriol 1 MCG/ML Oral Solution	3
97614	Sotalol HCl 80 MG Oral Tablet	3
106990	"Insulin Syringe 29G X 1/2\0.5 ML Miscellaneous"""	3
100246	Flecainide Acetate 100 MG Oral Tablet	3
113668	AndroGel 50 MG/5GM Transdermal Gel	3
24693	Atacand 32 MG Oral Tablet	3
16935	Gris-PEG 250 MG Oral Tablet	3
26304	Acetaminophen 80 MG/0.8ML Oral Suspension	3
111316	Diltiazem HCl ER Beads 360 MG Oral Capsule Extended Release 24 Hour	3
18830	Triamterene-HCTZ 75-50 MG Oral Tablet	3
136140	Guaifenesin-Codeine 300-10 MG/5ML Oral Liquid	3
136190	Coreg CR 40 MG Oral Capsule Extended Release 24 Hour	3
16114	Methylphenidate HCl 20 MG Oral Tablet	3
24532	Maxalt-MLT 5 MG Oral Tablet Dispersible	3
13810	CarBAMazepine 100 MG Oral Tablet Chewable	3
24478	Verapamil HCl CR 240 MG Oral Capsule Extended Release 24 Hour	3
143224	Pristiq 100 MG Oral Tablet Extended Release 24 Hour	3
13813	Carbamide Peroxide 6.5 % Otic Solution	3
16091	Felbatol 600 MG Oral Tablet	3
24398	Trivora (28) Oral Tablet	3
155441	Pramipexole Dihydrochloride 0.125 MG Oral Tablet	3
13913	Cyproheptadine HCl 4 MG Oral Tablet	3
24397	Viagra 25 MG Oral Tablet	3
136725	Janumet 50-500 MG Oral Tablet	3
24255	Zomig 5 MG Oral Tablet	3
13968	Dapsone 100 MG Oral Tablet	3
136728	Hydrocortisone 5 MG Oral Tablet	3
14069	Depakote 500 MG Oral Tablet Delayed Release	3
24025	Niaspan 750 MG Oral Tablet Extended Release	3
136088	Coreg CR 20 MG Oral Capsule Extended Release 24 Hour	3
136059	FentaNYL 12 MCG/HR Transdermal Patch 72 Hour	3
13650	CloNIDine HCl 0.3 MG Oral Tablet	3
156687	Dexilant 60 MG Oral Capsule Delayed Release	3
134552	Venlafaxine HCl 75 MG Oral Tablet	3
156878	Losartan Potassium-HCTZ 100-25 MG Oral Tablet	3
156866	Losartan Potassium-HCTZ 50-12.5 MG Oral Tablet	3
