medication_definition_id	medication	problem_definition_id	problem	patient_link_frequency	link_ratio	rxcui	ingredient_rxcui	ingredient_name	doid_code	doid_name
16159	Minoxidil 10 MG Oral Tablet	63470	Benign Essential Hypertension	2	0.333333	197986	6984	Minoxidil	DOID:10913	benign essential hypertension
16160	Minoxidil 2.5 MG Oral Tablet	63467	Hypertension	11	0.354839	197987	6984	Minoxidil	DOID:10763	hypertension
16160	Minoxidil 2.5 MG Oral Tablet	63468	Essential Hypertension	4	0.5	197987	6984	Minoxidil	DOID:10825	essential hypertension
16160	Minoxidil 2.5 MG Oral Tablet	63470	Benign Essential Hypertension	3	0.272727	197987	6984	Minoxidil	DOID:10913	benign essential hypertension
16205	Ferrous Sulfate 220 (44 Fe) MG/5ML Oral Elixir	77962	Anemia	17	0.53125	702249	24947	ferrous sulfate	DOID:2355	anemia
16241	Fluocinonide 0.05 % External Ointment	69710	Contact Dermatitis	2	0.666667	103457	4462	Fluocinonide	DOID:2773	contact dermatitis
16241	Fluocinonide 0.05 % External Ointment	70112	Atopic Dermatitis	2	0.5	103457	4462	Fluocinonide	DOID:3310	atopic dermatitis
16241	Fluocinonide 0.05 % External Ointment	278350	Eczema	11	0.916667	103457	4462	Fluocinonide	DOID:2723	eczema
16330	Nadolol 40 MG Oral Tablet	63467	Hypertension	3	0.5	198007	7226	Nadolol	DOID:10763	hypertension
16331	Nadolol 80 MG Oral Tablet	63467	Hypertension	3	0.428571	198008	7226	Nadolol	DOID:10763	hypertension
16333	Naftin 1 % External Cream	70455	Rheumatoid Arthritis	2	1	896112	31476	naftifine	DOID:7148	rheumatoid arthritis
16363	Naproxen 375 MG Oral Tablet	70146	Osteoarthritis	5	0.625	198012	7258	Naproxen	DOID:8398	osteoarthritis
16363	Naproxen 375 MG Oral Tablet	257996	Arthritis	4	0.4	198012	7258	Naproxen	DOID:848	arthritis
16392	FluPHENAZine HCl 10 MG Oral Tablet	76232	Paranoid Schizophrenia	2	1	859841	4496	Fluphenazine	DOID:1229	paranoid schizophrenia
16393	FluPHENAZine HCl 2.5 MG Oral Tablet	76272	Schizoaffective Disorder	2	1	865123	4496	Fluphenazine	DOID:5418	schizoaffective disorder
16394	FluPHENAZine HCl 5 MG Oral Tablet	76232	Paranoid Schizophrenia	5	1	860918	4496	Fluphenazine	DOID:1229	paranoid schizophrenia
16497	Niacin 250 MG Oral Tablet	291485	Dyslipidemia	2	0.666667	199143	7393	Niacin	DOID:3146	dyslipidemia
16517	Nitrofurantoin Macrocrystal 100 MG Oral Capsule	65752	Cystitis	3	0.5	311992	7454	Nitrofurantoin	DOID:1679	cystitis
16517	Nitrofurantoin Macrocrystal 100 MG Oral Capsule	65753	Acute Cystitis	4	0.8	311992	7454	Nitrofurantoin	DOID:13148	acute cystitis
16517	Nitrofurantoin Macrocrystal 100 MG Oral Capsule	65755	Chronic Cystitis	2	0.666667	311992	7454	Nitrofurantoin	DOID:1680	chronic cystitis
16517	Nitrofurantoin Macrocrystal 100 MG Oral Capsule	65762	Urinary Tract Infection	35	0.729167	311992	7454	Nitrofurantoin	DOID:13148	urinary tract infection
16518	Nitrofurantoin Macrocrystal 50 MG Oral Capsule	65755	Chronic Cystitis	2	0.666667	311995	7454	Nitrofurantoin	DOID:1680	chronic cystitis
16518	Nitrofurantoin Macrocrystal 50 MG Oral Capsule	65762	Urinary Tract Infection	12	0.571429	311995	7454	Nitrofurantoin	DOID:13148	urinary tract infection
16522	Nitroglycerin 0.4 MG SUBL	62975	Coronary Artery Disease	8	0.2	198039	4917	Nitroglycerin	DOID:3393	coronary artery disease
16556	Norvasc 10 MG Oral Tablet	63467	Hypertension	15	0.120968	212575	17767	Amlodipine	DOID:10763	hypertension
16556	Norvasc 10 MG Oral Tablet	63470	Benign Essential Hypertension	7	0.194444	212575	17767	Amlodipine	DOID:10913	benign essential hypertension
16556	Norvasc 10 MG Oral Tablet	70475	Scleroderma	2	1	212575	17767	Amlodipine	DOID:418	Scleroderma
16556	Norvasc 10 MG Oral Tablet	70475	Scleroderma	2	1	212575	17767	Amlodipine	DOID:419	scleroderma
16558	Norvasc 5 MG Oral Tablet	63468	Essential Hypertension	6	0.176471	212549	17767	Amlodipine	DOID:10825	essential hypertension
16558	Norvasc 5 MG Oral Tablet	63470	Benign Essential Hypertension	3	0.166667	212549	17767	Amlodipine	DOID:10913	benign essential hypertension
16558	Norvasc 5 MG Oral Tablet	63758	Raynaud's Disease	2	0.5	212549	17767	Amlodipine	DOID:10300	Raynaud's disease
16569	NovoLIN R 100 UNIT/ML Injection Solution	69380	Diabetes Mellitus	14	0.311111	311033	253182	Regular Insulin, Human	DOID:9351	diabetes mellitus
16569	NovoLIN R 100 UNIT/ML Injection Solution	69381	Type II Diabetes Mellitus	3	0.230769	311033	253182	Regular Insulin, Human	DOID:9352	type II diabetes mellitus
16598	Nystatin 100000 UNIT/GM External Ointment	70115	Dermatophytosis	2	1	884308	7597	Nystatin	DOID:8913	dermatophytosis
16598	Nystatin 100000 UNIT/GM External Ointment	70130	Diaper Rash	38	0.575758	884308	7597	Nystatin	DOID:2770	diaper rash
16598	Nystatin 100000 UNIT/GM External Ointment	77205	Candidiasis	22	0.52381	884308	7597	Nystatin	DOID:1508	candidiasis
16598	Nystatin 100000 UNIT/GM External Ointment	93705	Dermatitis	5	0.5	884308	7597	Nystatin	DOID:2723	dermatitis
16610	Furadantin 25 MG/5ML Oral Suspension	65745	Vesicoureteral Reflux	4	0.5	207790	7454	Nitrofurantoin	DOID:9620	vesicoureteral reflux
16610	Furadantin 25 MG/5ML Oral Suspension	65762	Urinary Tract Infection	7	0.388889	207790	7454	Nitrofurantoin	DOID:13148	urinary tract infection
16610	Furadantin 25 MG/5ML Oral Suspension	65769	Neurogenic Bladder	2	1	207790	7454	Nitrofurantoin	DOID:12143	neurogenic bladder
16612	Furosemide 10 MG/ML Oral Solution	63490	Congenital Heart Disease	8	0.296296	197730	4603	Furosemide	DOID:1682	congenital heart disease
16612	Furosemide 10 MG/ML Oral Solution	63496	Tetralogy Of Fallot	3	0.333333	197730	4603	Furosemide	DOID:6419	tetralogy of Fallot
16612	Furosemide 10 MG/ML Oral Solution	63499	Atrial Septal Defect	3	0.166667	197730	4603	Furosemide	DOID:1882	atrial septal defect
16612	Furosemide 10 MG/ML Oral Solution	63526	Hypoplastic Left Heart Syndrome	7	0.583333	197730	4603	Furosemide	DOID:9955	hypoplastic left heart syndrome
16612	Furosemide 10 MG/ML Oral Solution	63598	Ventricular Septal Defect	14	0.325581	197730	4603	Furosemide	DOID:1657	ventricular septal defect
16612	Furosemide 10 MG/ML Oral Solution	63629	Patent Ductus Arteriosus	3	0.2	197730	4603	Furosemide	DOID:13832	patent ductus arteriosus
16612	Furosemide 10 MG/ML Oral Solution	63634	Total Anomalous Pulmonary Venous Return	2	0.5	197730	4603	Furosemide	DOID:4297	total anomalous pulmonary venous return
16613	Furosemide 80 MG Oral Tablet	63217	Congestive Heart Failure	18	0.473684	197732	4603	Furosemide	DOID:6000	congestive heart failure
16613	Furosemide 80 MG Oral Tablet	63468	Essential Hypertension	3	0.130435	197732	4603	Furosemide	DOID:10825	essential hypertension
16636	Gemfibrozil 600 MG Oral Tablet	67969	Familial Combined Hyperlipidemia	3	0.428571	310459	4719	Gemfibrozil	DOID:13809	familial combined hyperlipidemia
16636	Gemfibrozil 600 MG Oral Tablet	291485	Dyslipidemia	13	0.65	310459	4719	Gemfibrozil	DOID:3146	dyslipidemia
16746	Oxymetazoline HCl 0.05 % Nasal Solution	62577	Sinusitis	2	0.5	1000987	7812	Oxymetazoline	DOID:0050127	sinusitis
16746	Oxymetazoline HCl 0.05 % Nasal Solution	62598	Allergic Rhinitis	10	0.588235	1000987	7812	Oxymetazoline	DOID:4481	allergic rhinitis
16794	Gentamicin Sulfate 0.3 % Ophthalmic Solution	61418	Acute Conjunctivitis	2	1	310467	142438	Gentamicin Sulfate (USP)	DOID:11184	acute conjunctivitis
16795	Gentian Violet 1 % External Solution	77205	Candidiasis	2	1	310481	4778	Gentian Violet	DOID:1508	candidiasis
16825	GlyBURIDE 5 MG Oral Tablet	69380	Diabetes Mellitus	37	0.362745	310537	4815	Glyburide	DOID:9351	diabetes mellitus
16825	GlyBURIDE 5 MG Oral Tablet	69381	Type II Diabetes Mellitus	20	0.384615	310537	4815	Glyburide	DOID:9352	type II diabetes mellitus
16825	GlyBURIDE 5 MG Oral Tablet	69395	Gestational Diabetes Mellitus	4	0.666667	310537	4815	Glyburide	DOID:11714	Gestational diabetes mellitus
16934	Gris-PEG 125 MG Oral Tablet	70116	Tinea Capitis	8	0.666667	205904	5021	Griseofulvin	DOID:4337	tinea capitis
16935	Gris-PEG 250 MG Oral Tablet	70115	Dermatophytosis	2	0.666667	205906	5021	Griseofulvin	DOID:8913	dermatophytosis
16935	Gris-PEG 250 MG Oral Tablet	70116	Tinea Capitis	12	0.571429	205906	5021	Griseofulvin	DOID:4337	tinea capitis
16935	Gris-PEG 250 MG Oral Tablet	70124	Tinea Corporis	2	0.285714	205906	5021	Griseofulvin	DOID:12179	tinea corporis
16936	Griseofulvin Ultramicrosize 250 MG Oral Tablet	70116	Tinea Capitis	20	0.625	239239	5021	Griseofulvin	DOID:4337	tinea capitis
16936	Griseofulvin Ultramicrosize 250 MG Oral Tablet	70124	Tinea Corporis	2	0.285714	239239	5021	Griseofulvin	DOID:12179	tinea corporis
16942	Guiatuss AC 100-10 MG/5ML Oral Syrup	64118	Acute Bronchitis	2	0.666667	213143	5032	Guaifenesin	DOID:6132	acute Bronchitis
16962	Haloperidol 1 MG Oral Tablet	75020	Alzheimer's Disease	2	0.666667	310671	5093	Haloperidol	DOID:10652	Alzheimer's disease
16963	Haloperidol 10 MG Oral Tablet	76232	Paranoid Schizophrenia	7	0.875	314035	5093	Haloperidol	DOID:1229	paranoid schizophrenia
16963	Haloperidol 10 MG Oral Tablet	76272	Schizoaffective Disorder	3	1	314035	5093	Haloperidol	DOID:5418	schizoaffective disorder
16964	Haloperidol 2 MG Oral Tablet	76272	Schizoaffective Disorder	4	1	314034	5093	Haloperidol	DOID:5418	schizoaffective disorder
17011	Haloperidol 5 MG Oral Tablet	76213	Schizophrenia	3	1	310672	5093	Haloperidol	DOID:5419	schizophrenia
17011	Haloperidol 5 MG Oral Tablet	76232	Paranoid Schizophrenia	5	0.714286	310672	5093	Haloperidol	DOID:1229	paranoid schizophrenia
17011	Haloperidol 5 MG Oral Tablet	76272	Schizoaffective Disorder	6	0.857143	310672	5093	Haloperidol	DOID:5418	schizoaffective disorder
17055	Piroxicam 20 MG Oral Capsule	70455	Rheumatoid Arthritis	4	1	198108	8356	Piroxicam	DOID:7148	rheumatoid arthritis
17055	Piroxicam 20 MG Oral Capsule	70706	Ankylosing Spondylitis	2	0.666667	198108	8356	Piroxicam	DOID:7147	ankylosing spondylitis
17055	Piroxicam 20 MG Oral Capsule	288977	Fibromyalgia	2	0.5	198108	8356	Piroxicam	DOID:631	fibromyalgia
17108	Potassium Chloride 20 MEQ Oral Packet	68089	Hypokalemia	4	0.444444	891453	8591	Potassium Chloride	DOID:4500	hypokalemia
17121	Prazosin HCl 1 MG Oral Capsule	275592	Post-traumatic Stress Disorder	4	0.8	312593	8629	Prazosin	DOID:2055	post-traumatic stress disorder
17134	PredniSONE 5 MG/5ML Oral Solution	64181	Asthma	3	0.375	315187	8640	Prednisone	DOID:2841	asthma
17134	PredniSONE 5 MG/5ML Oral Solution	69214	Hypopituitarism	3	1	315187	8640	Prednisone	DOID:9406	hypopituitarism
17134	PredniSONE 5 MG/5ML Oral Solution	69464	Congenital Adrenal Hyperplasia	5	0.833333	315187	8640	Prednisone	DOID:0050811	congenital adrenal hyperplasia
17141	Premarin 0.625 MG/GM Vaginal Cream	65753	Acute Cystitis	2	0.25	688242	4099	Estrogens, Conjugated (USP)	DOID:13148	acute cystitis
17141	Premarin 0.625 MG/GM Vaginal Cream	66218	Postmenopausal Atrophic Vaginitis	29	0.707317	688242	4099	Estrogens, Conjugated (USP)	DOID:11968	postmenopausal atrophic vaginitis
17153	HumuLIN N 100 UNIT/ML Subcutaneous Suspension	69380	Diabetes Mellitus	21	0.456522	311026	253181	NPH Insulin, Human	DOID:9351	diabetes mellitus
17153	HumuLIN N 100 UNIT/ML Subcutaneous Suspension	69381	Type II Diabetes Mellitus	4	0.181818	311026	253181	NPH Insulin, Human	DOID:9352	type II diabetes mellitus
17153	HumuLIN N 100 UNIT/ML Subcutaneous Suspension	69387	Type I Diabetes Mellitus	5	0.416667	311026	253181	NPH Insulin, Human	DOID:9744	type I diabetes mellitus
17153	HumuLIN N 100 UNIT/ML Subcutaneous Suspension	69395	Gestational Diabetes Mellitus	3	0.75	311026	253181	NPH Insulin, Human	DOID:11714	Gestational diabetes mellitus
17154	HumuLIN R 100 UNIT/ML Injection Solution	69380	Diabetes Mellitus	15	0.441176	311036	253182	Regular Insulin, Human	DOID:9351	diabetes mellitus
17154	HumuLIN R 100 UNIT/ML Injection Solution	69381	Type II Diabetes Mellitus	4	0.4	311036	253182	Regular Insulin, Human	DOID:9352	type II diabetes mellitus
17166	HydrALAZINE HCl 10 MG Oral Tablet	63217	Congestive Heart Failure	4	0.444444	905199	5470	Hydralazine	DOID:6000	congestive heart failure
17166	HydrALAZINE HCl 10 MG Oral Tablet	63467	Hypertension	10	0.37037	905199	5470	Hydralazine	DOID:10763	hypertension
17166	HydrALAZINE HCl 10 MG Oral Tablet	63468	Essential Hypertension	4	0.333333	905199	5470	Hydralazine	DOID:10825	essential hypertension
17166	HydrALAZINE HCl 10 MG Oral Tablet	63470	Benign Essential Hypertension	4	0.25	905199	5470	Hydralazine	DOID:10913	benign essential hypertension
17175	Hydrochlorothiazide 25 MG Oral Tablet	63467	Hypertension	548	0.4514	310798	5487	Hydrochlorothiazide	DOID:10763	hypertension
17175	Hydrochlorothiazide 25 MG Oral Tablet	63468	Essential Hypertension	308	0.562044	310798	5487	Hydrochlorothiazide	DOID:10825	essential hypertension
17175	Hydrochlorothiazide 25 MG Oral Tablet	63470	Benign Essential Hypertension	337	0.59646	310798	5487	Hydrochlorothiazide	DOID:10913	benign essential hypertension
17175	Hydrochlorothiazide 25 MG Oral Tablet	63471	Accelerated Essential Hypertension	6	0.333333	310798	5487	Hydrochlorothiazide	DOID:10823	Accelerated essential hypertension
17175	Hydrochlorothiazide 25 MG Oral Tablet	63919	Lymphedema	2	0.2	310798	5487	Hydrochlorothiazide	DOID:4977	lymphedema
17175	Hydrochlorothiazide 25 MG Oral Tablet	65662	Nephrolithiasis	4	0.133333	310798	5487	Hydrochlorothiazide	DOID:585	nephrolithiasis
17177	Hydrocortisone 1 % External Cream	69710	Contact Dermatitis	35	0.364583	1043690	5492	Hydrocortisone	DOID:2773	contact dermatitis
17177	Hydrocortisone 1 % External Cream	69816	Miliaria	11	0.423077	1043690	5492	Hydrocortisone	DOID:1382	miliaria
17177	Hydrocortisone 1 % External Cream	69885	Pityriasis Rosea	2	0.4	1043690	5492	Hydrocortisone	DOID:8892	pityriasis rosea
17177	Hydrocortisone 1 % External Cream	70112	Atopic Dermatitis	66	0.464789	1043690	5492	Hydrocortisone	DOID:3310	atopic dermatitis
17177	Hydrocortisone 1 % External Cream	70135	Seborrheic Dermatitis	8	0.228571	1043690	5492	Hydrocortisone	DOID:8741	seborrheic dermatitis
17177	Hydrocortisone 1 % External Cream	70472	Systemic Lupus Erythematosus	2	0.333333	1043690	5492	Hydrocortisone	DOID:9074	systemic lupus erythematosus
17177	Hydrocortisone 1 % External Cream	77704	Scabies	2	0.222222	1043690	5492	Hydrocortisone	DOID:8295	scabies
17177	Hydrocortisone 1 % External Cream	93705	Dermatitis	17	0.404762	1043690	5492	Hydrocortisone	DOID:2723	dermatitis
17177	Hydrocortisone 1 % External Cream	278350	Eczema	103	0.536458	1043690	5492	Hydrocortisone	DOID:2723	eczema
17178	Hydrocortisone 2.5 % External Cream	69710	Contact Dermatitis	5	0.555556	310891	5492	Hydrocortisone	DOID:2773	contact dermatitis
17178	Hydrocortisone 2.5 % External Cream	70027	Folliculitis	2	0.285714	310891	5492	Hydrocortisone	DOID:4409	folliculitis
17178	Hydrocortisone 2.5 % External Cream	70112	Atopic Dermatitis	19	0.678571	310891	5492	Hydrocortisone	DOID:3310	atopic dermatitis
17178	Hydrocortisone 2.5 % External Cream	70135	Seborrheic Dermatitis	3	0.428571	310891	5492	Hydrocortisone	DOID:8741	seborrheic dermatitis
17178	Hydrocortisone 2.5 % External Cream	77704	Scabies	2	0.5	310891	5492	Hydrocortisone	DOID:8295	scabies
17178	Hydrocortisone 2.5 % External Cream	93705	Dermatitis	9	0.5	310891	5492	Hydrocortisone	DOID:2723	dermatitis
17178	Hydrocortisone 2.5 % External Cream	278350	Eczema	18	0.545455	310891	5492	Hydrocortisone	DOID:2723	eczema
17179	Hydrocortisone 1 % External Lotion	69710	Contact Dermatitis	3	0.75	103403	5492	Hydrocortisone	DOID:2773	contact dermatitis
17179	Hydrocortisone 1 % External Lotion	70112	Atopic Dermatitis	2	0.666667	103403	5492	Hydrocortisone	DOID:3310	atopic dermatitis
17179	Hydrocortisone 1 % External Lotion	93705	Dermatitis	3	0.75	103403	5492	Hydrocortisone	DOID:2723	dermatitis
17180	Hydrocortisone 2.5 % External Lotion	278350	Eczema	6	0.857143	197785	5492	Hydrocortisone	DOID:2723	eczema
17181	Hydrocortisone 1 % External Ointment	62598	Allergic Rhinitis	6	0.105263	1440184	5492	Hydrocortisone	DOID:4481	allergic rhinitis
17181	Hydrocortisone 1 % External Ointment	69710	Contact Dermatitis	21	0.428571	1440184	5492	Hydrocortisone	DOID:2773	contact dermatitis
17181	Hydrocortisone 1 % External Ointment	70112	Atopic Dermatitis	24	0.375	1440184	5492	Hydrocortisone	DOID:3310	atopic dermatitis
17181	Hydrocortisone 1 % External Ointment	93705	Dermatitis	8	0.363636	1440184	5492	Hydrocortisone	DOID:2723	dermatitis
17181	Hydrocortisone 1 % External Ointment	278350	Eczema	95	0.708955	1440184	5492	Hydrocortisone	DOID:2723	eczema
17182	Hydrocortisone 2.5 % External Ointment	69710	Contact Dermatitis	3	0.375	103401	5492	Hydrocortisone	DOID:2773	contact dermatitis
17182	Hydrocortisone 2.5 % External Ointment	70112	Atopic Dermatitis	7	0.368421	103401	5492	Hydrocortisone	DOID:3310	atopic dermatitis
17182	Hydrocortisone 2.5 % External Ointment	278350	Eczema	23	0.71875	103401	5492	Hydrocortisone	DOID:2723	eczema
17208	Probenecid 500 MG Oral Tablet	70384	Gout	5	0.833333	198152	8698	Probenecid	DOID:13189	gout
17218	Prochlorperazine Maleate 10 MG Oral Tablet	278808	Breast Cancer	9	0.529412	198365	8704	Prochlorperazine	DOID:1612	breast cancer
17219	Procrit 10000 UNIT/ML Injection Solution	77962	Anemia	3	0.428571	205913	105694	Epoetin Alfa	DOID:2355	anemia
17229	Proglycem 50 MG/ML Oral Suspension	69456	Hypoglycemia	3	1	207634	3327	Diazoxide	DOID:9993	hypoglycemia
17241	Promethazine HCl 25 MG Oral Tablet	64579	Gastroenteritis	13	0.52	992447	8745	Promethazine	DOID:2326	gastroenteritis
17241	Promethazine HCl 25 MG Oral Tablet	64748	Gastroparesis	2	0.333333	992447	8745	Promethazine	DOID:11914	gastroparesis
17241	Promethazine HCl 25 MG Oral Tablet	76702	Viral Infection	2	0.666667	992447	8745	Promethazine	DOID:934	Viral Infection
17241	Promethazine HCl 25 MG Oral Tablet	80847	Renal Cell Carcinoma	3	0.5	992447	8745	Promethazine	DOID:4450	renal cell carcinoma
17241	Promethazine HCl 25 MG Oral Tablet	260217	Esophageal Cancer	2	0.4	992447	8745	Promethazine	DOID:5041	esophageal cancer
17241	Promethazine HCl 25 MG Oral Tablet	278812	Prostate Cancer	10	0.588235	992447	8745	Promethazine	DOID:10283	prostate cancer
17241	Promethazine HCl 25 MG Oral Tablet	282704	Acute Gastritis	3	0.375	992447	8745	Promethazine	DOID:4029	acute Gastritis
17253	Propranolol HCl 20 MG/5ML Oral Solution	63467	Hypertension	3	0.428571	856724	8787	Propranolol	DOID:10763	hypertension
17255	Propranolol HCl 10 MG Oral Tablet	63470	Benign Essential Hypertension	5	0.294118	856448	8787	Propranolol	DOID:10913	benign essential hypertension
17255	Propranolol HCl 10 MG Oral Tablet	64701	Esophageal Varices	2	0.285714	856448	8787	Propranolol	DOID:112	esophageal varices
17255	Propranolol HCl 10 MG Oral Tablet	65286	Cirrhosis	4	0.25	856448	8787	Propranolol	DOID:5082	Cirrhosis
17255	Propranolol HCl 10 MG Oral Tablet	65299	Portal Hypertension	2	0.4	856448	8787	Propranolol	DOID:10762	portal hypertension
17255	Propranolol HCl 10 MG Oral Tablet	69231	Hyperthyroidism	4	0.190476	856448	8787	Propranolol	DOID:7998	hyperthyroidism
17255	Propranolol HCl 10 MG Oral Tablet	69234	Graves' Disease	5	0.625	856448	8787	Propranolol	DOID:12361	Graves' disease
17255	Propranolol HCl 10 MG Oral Tablet	76232	Paranoid Schizophrenia	2	1	856448	8787	Propranolol	DOID:1229	paranoid schizophrenia
17255	Propranolol HCl 10 MG Oral Tablet	76536	Generalized Anxiety Disorder	2	1	856448	8787	Propranolol	DOID:14320	generalized anxiety disorder
17258	Propylthiouracil 50 MG Oral Tablet	69231	Hyperthyroidism	6	0.375	198175	8794	Propylthiouracil	DOID:7998	hyperthyroidism
17258	Propylthiouracil 50 MG Oral Tablet	69234	Graves' Disease	7	0.5	198175	8794	Propylthiouracil	DOID:12361	Graves' disease
17320	Ibuprofen 400 MG Oral Tablet	73564	Lateral Epicondylitis	2	0.666667	197805	5640	Ibuprofen	DOID:14087	Lateral epicondylitis
17335	Pyrazinamide 500 MG Oral Tablet	77275	Tuberculosis	2	0.4	198181	8987	Pyrazinamide	DOID:399	tuberculosis
17383	Imuran 50 MG Oral Tablet	70472	Systemic Lupus Erythematosus	2	0.666667	105611	1256	Azathioprine	DOID:9074	systemic lupus erythematosus
17393	Indomethacin 50 MG Oral Capsule	70384	Gout	19	0.655172	197818	5781	Indomethacin	DOID:13189	gout
17393	Indomethacin 50 MG Oral Capsule	70706	Ankylosing Spondylitis	2	0.666667	197818	5781	Indomethacin	DOID:7147	ankylosing spondylitis
17393	Indomethacin 50 MG Oral Capsule	257996	Arthritis	3	0.272727	197818	5781	Indomethacin	DOID:848	arthritis
17463	Isosorbide Dinitrate 10 MG Oral Tablet	62975	Coronary Artery Disease	4	0.5	381056	6058	Isosorbide Dinitrate	DOID:3393	coronary artery disease
17464	Isosorbide Dinitrate 20 MG Oral Tablet	62975	Coronary Artery Disease	4	0.363636	206842	6058	Isosorbide Dinitrate	DOID:3393	coronary artery disease
17464	Isosorbide Dinitrate 20 MG Oral Tablet	63470	Benign Essential Hypertension	2	0.4	206842	6058	Isosorbide Dinitrate	DOID:10913	benign essential hypertension
17465	Isosorbide Dinitrate 30 MG Oral Tablet	62975	Coronary Artery Disease	7	0.25	197839	6058	Isosorbide Dinitrate	DOID:3393	coronary artery disease
17465	Isosorbide Dinitrate 30 MG Oral Tablet	63467	Hypertension	5	0.15625	197839	6058	Isosorbide Dinitrate	DOID:10763	hypertension
17517	Kenalog 40 MG/ML Injection Suspension	278350	Eczema	3	0.375	1085756	10759	Triamcinolone	DOID:2723	eczema
17535	Klor-Con 20 MEQ Oral Packet	63467	Hypertension	4	0.137931	897139	8591	Potassium Chloride	DOID:10763	hypertension
17535	Klor-Con 20 MEQ Oral Packet	63470	Benign Essential Hypertension	2	0.285714	897139	8591	Potassium Chloride	DOID:10913	benign essential hypertension
17535	Klor-Con 20 MEQ Oral Packet	68089	Hypokalemia	2	1	897139	8591	Potassium Chloride	DOID:4500	hypokalemia
17560	Reglan 5 MG Oral Tablet	70475	Scleroderma	3	0.6	207265	6915	Metoclopramide	DOID:418	Scleroderma
17560	Reglan 5 MG Oral Tablet	70475	Scleroderma	3	0.6	207265	6915	Metoclopramide	DOID:419	scleroderma
17783	Simethicone 80 MG Oral Tablet Chewable	166777	Constipation	2	0.285714	314216	9796	Simethicone	DOID:2089	constipation
17833	Levothroid 25 MCG Oral Tablet	69258	Hypothyroidism	9	0.642857	966156	10582	levothyroxine	DOID:1459	hypothyroidism
17834	Levothroid 112 MCG Oral Tablet	69258	Hypothyroidism	9	0.6	966183	10582	levothyroxine	DOID:1459	hypothyroidism
17835	Levothroid 125 MCG Oral Tablet	69258	Hypothyroidism	6	0.461538	966284	10582	levothyroxine	DOID:1459	hypothyroidism
17835	Levothroid 125 MCG Oral Tablet	69266	Congenital Hypothyroidism	2	1	966284	10582	levothyroxine	DOID:0050328	congenital hypothyroidism
17836	Levothroid 175 MCG Oral Tablet	69258	Hypothyroidism	2	0.4	966203	10582	levothyroxine	DOID:1459	hypothyroidism
17839	Levothyroxine Sodium 25 MCG Oral Tablet	69258	Hypothyroidism	104	0.626506	966220	10582	levothyroxine	DOID:1459	hypothyroidism
17839	Levothyroxine Sodium 25 MCG Oral Tablet	69266	Congenital Hypothyroidism	12	0.545455	966220	10582	levothyroxine	DOID:0050328	congenital hypothyroidism
17839	Levothyroxine Sodium 25 MCG Oral Tablet	69283	Hashimoto's Thyroiditis	2	0.666667	966220	10582	levothyroxine	DOID:7188	Hashimoto's thyroiditis
17840	Levothyroxine Sodium 125 MCG Oral Tablet	69214	Hypopituitarism	6	0.666667	966224	10582	levothyroxine	DOID:9406	hypopituitarism
17840	Levothyroxine Sodium 125 MCG Oral Tablet	69231	Hyperthyroidism	4	0.16	966224	10582	levothyroxine	DOID:7998	hyperthyroidism
17840	Levothyroxine Sodium 125 MCG Oral Tablet	69234	Graves' Disease	3	0.166667	966224	10582	levothyroxine	DOID:12361	Graves' disease
17840	Levothyroxine Sodium 125 MCG Oral Tablet	69258	Hypothyroidism	183	0.720472	966224	10582	levothyroxine	DOID:1459	hypothyroidism
17840	Levothyroxine Sodium 125 MCG Oral Tablet	69266	Congenital Hypothyroidism	17	0.944444	966224	10582	levothyroxine	DOID:0050328	congenital hypothyroidism
17840	Levothyroxine Sodium 125 MCG Oral Tablet	69283	Hashimoto's Thyroiditis	2	0.4	966224	10582	levothyroxine	DOID:7188	Hashimoto's thyroiditis
17840	Levothyroxine Sodium 125 MCG Oral Tablet	69314	Papillary Carcinoma Of The Thyroid Gland	3	0.428571	966224	10582	levothyroxine	DOID:3969	Papillary carcinoma of the Thyroid gland
17840	Levothyroxine Sodium 125 MCG Oral Tablet	258928	Thyroid Cancer	2	0.333333	966224	10582	levothyroxine	DOID:1781	thyroid cancer
17862	Lidocaine Viscous 2 % Mouth/Throat Solution	62760	Acute Pharyngitis	5	0.833333	1010774	6387	Lidocaine	DOID:2275	acute pharyngitis
17877	Lithium Carbonate 150 MG Oral Capsule	76307	Bipolar Disorder	3	0.5	311355	42351	Lithium Carbonate	DOID:3312	bipolar disorder
17895	Loperamide HCl 2 MG Oral Capsule	64579	Gastroenteritis	2	0.5	978006	6468	Loperamide	DOID:2326	gastroenteritis
17896	Loperamide HCl 1 MG/5ML Oral Liquid	64978	Short Bowel Syndrome	2	1	977986	6468	Loperamide	DOID:10605	short bowel syndrome
17898	Loperamide HCl 2 MG Oral Tablet	65076	Irritable Bowel Syndrome	2	0.666667	978010	6468	Loperamide	DOID:9778	irritable bowel syndrome
17904	LORazepam 0.5 MG Oral Tablet	65076	Irritable Bowel Syndrome	2	0.25	197900	6470	Lorazepam	DOID:9778	irritable bowel syndrome
17904	LORazepam 0.5 MG Oral Tablet	75080	Parkinson's Disease	3	0.375	197900	6470	Lorazepam	DOID:14330	Parkinson's disease
17904	LORazepam 0.5 MG Oral Tablet	76272	Schizoaffective Disorder	2	0.5	197900	6470	Lorazepam	DOID:5418	schizoaffective disorder
