problem_definition_id	problem	indications	name_lower	doid	name	type
274534	Acute Sore Throat	7	acute sore throat	DOID:2275	acute sore throat	exact-synonym
274611	Nephritis Due To SLE	7	nephritis due to sle			
78008	Sickle Cell Hb-SC Disease	7	sickle cell hb-sc disease			
62403	Otitis Media Of The Left Ear	7	otitis media of the left ear			
79017	Hepatocellular Carcinoma Of The Liver	7	hepatocellular carcinoma of the liver			
155099	(Lower) Leg Localized Swelling	7	(lower) leg localized swelling			
116196	Abdomen Tenderness Direct Epigastric	7	abdomen tenderness direct epigastric			
81584	Burns	7	burns			
64126	Pneumonia	7	pneumonia	DOID:552	pneumonia	name
61070	Tingling (Paresthesia)	7	tingling (paresthesia)			
61103	Sleep Disturbances	7	sleep disturbances			
85752	Tobacco Use	7	tobacco use			
277914	Acute Bronchitis With Bronchospasm	7	acute bronchitis with bronchospasm			
87011	Drip Or Drainage Down Throat From Above	7	drip or drainage down throat from above			
87028	Nasal Passage Blockage (Stuffiness)	7	nasal passage blockage (stuffiness)			
62329	Acute Otitis Externa	7	acute otitis externa			
77403	Latent Tuberculosis	7	latent tuberculosis			
278781	Lung Cancer	7	lung cancer	DOID:1324	lung cancer	name
251261	Pelvic Pain	7	pelvic pain			
62987	Angina Pectoris	7	angina pectoris			
187795	Gynecologic Services Prescription Of Contraceptive Agents	7	gynecologic services prescription of contraceptive agents			
62590	Chronic Pansinusitis	7	chronic pansinusitis			
76702	Viral Infection	7	viral infection	DOID:934	Viral Infection	exact-synonym
258937	Renal Secondary Hyperparathyroidism	7	renal secondary hyperparathyroidism			
63490	Congenital Heart Disease	7	congenital heart disease	DOID:1682	congenital heart disease	name
62917	Paroxysmal Atrial Fibrillation	7	paroxysmal atrial fibrillation			
76783	Herpes Simplex Type II	7	herpes simplex type ii			
62984	Atypical Chest Pain	7	atypical chest pain			
250862	Chronic Combined Systolic And Diastolic Congestive Heart Failure	7	chronic combined systolic and diastolic congestive heart failure			
296447	Preventive Medicine Counseling About Travel	7	preventive medicine counseling about travel			
64182	Mild Intermittent Asthma	6	mild intermittent asthma			
75807	Phenylketonuria	6	phenylketonuria	DOID:9281	phenylketonuria	name
270715	ACP Staging Stage 2 Hypertension: Greater Than Or = 160/100	6	acp staging stage 2 hypertension: greater than or = 160/100			
74992	Generalized Convulsive Myoclonic Seizure With Intractable Seizure	6	generalized convulsive myoclonic seizure with intractable seizure			
92456	Joint Pain, Localized In More Than One Joint	6	joint pain, localized in more than one joint			
62350	Acute Serous Otitis Media	6	acute serous otitis media	DOID:11557	acute serous otitis media	name
278552	Furunculosis	6	furunculosis			
62914	Atrial Flutter	6	atrial flutter			
67803	Turner Syndrome	6	turner syndrome	DOID:3491	Turner syndrome	name
70599	Typical Polymyositis (Type I)	6	typical polymyositis (type i)			
277876	Lobar Pneumonia	6	lobar pneumonia			
252601	Vertigo	6	vertigo			
67978	Familial Hypercholesterolemia	6	familial hypercholesterolemia	DOID:13810	familial hypercholesterolemia	name
163751	Cognitive Functions Current Level Impaired	6	cognitive functions current level impaired			
252681	Fatigue	6	fatigue			
70638	Temporal Arteritis	6	temporal arteritis	DOID:13375	temporal arteritis	name
63232	Benign Hypertensive Heart Disease	6	benign hypertensive heart disease			
70703	Asymmetrical Polyarticular Inflammation	6	asymmetrical polyarticular inflammation			
275492	ADHD, Predominantly Hyperactive Impulsive	6	adhd, predominantly hyperactive impulsive			
64565	Upper Respiratory Tract Disorders	6	upper respiratory tract disorders			
73454	Lumbar Sprain	6	lumbar sprain			
63526	Hypoplastic Left Heart Syndrome	6	hypoplastic left heart syndrome	DOID:9955	hypoplastic left heart syndrome	name
69461	Prediabetes	6	prediabetes	DOID:11716	Prediabetes	exact-synonym
69461	Prediabetes	6	prediabetes	DOID:11716	Prediabetes	exact-synonym
282327	Prehypertension	6	prehypertension			
252547	Generalized Convulsive Clonic Seizure	6	generalized convulsive clonic seizure			
289114	Laryngopharyngeal Reflux	6	laryngopharyngeal reflux			
76339	Bipolar I Disorder, Most Recent Episode, Depressed	6	bipolar i disorder, most recent episode, depressed			
65141	External Hemorrhoids	6	external hemorrhoids			
289126	Eosinophilic Esophagitis	6	eosinophilic esophagitis	DOID:13922	eosinophilic esophagitis	name
60880	Appetite Lost (Anorexia)	6	appetite lost (anorexia)			
65286	Cirrhosis	6	cirrhosis	DOID:5082	Cirrhosis	exact-synonym
69941	Urticaria	6	urticaria	DOID:1555	urticaria	name
69942	Allergic Urticaria	6	allergic urticaria	DOID:10612	allergic urticaria	name
70122	Tinea Pedis	6	tinea pedis	DOID:12403	tinea pedis	name
70122	Tinea Pedis	6	tinea pedis	DOID:12403	Tinea pedis	exact-synonym
60844	Tooth Pain	6	tooth pain			
76389	Atypical Depressive Disorder	6	atypical depressive disorder	DOID:12294	atypical depressive disorder	name
292509	Multisystem Atrophy	6	multisystem atrophy			
66016	Oligomenorrhea	6	oligomenorrhea			
66015	Ovarian Disorders	6	ovarian disorders			
65662	Nephrolithiasis	6	nephrolithiasis	DOID:585	nephrolithiasis	name
77216	Genitourinary Candidiasis	6	genitourinary candidiasis			
76327	Bipolar I Disorder, Most Recent Episode, Mixed Severe With Psychotic Features	6	bipolar i disorder, most recent episode, mixed severe with psychotic features			
65655	Renal Tubular Acidosis	6	renal tubular acidosis	DOID:14219	renal tubular acidosis	name
76934	Chlamydial Infections	6	chlamydial infections			
64934	Small Bowel Bacterial Overgrowth	6	small bowel bacterial overgrowth			
66444	Pregnancy Complicated By Anemia	6	pregnancy complicated by anemia			
65831	Prostatitis	6	prostatitis	DOID:14654	prostatitis	name
70461	Juvenile Rheumatoid Arthritis	6	juvenile rheumatoid arthritis	DOID:676	juvenile rheumatoid arthritis	name
282676	Lymphadenopathy	6	lymphadenopathy			
64678	Esophagitis	6	esophagitis	DOID:11963	esophagitis	name
65764	Urinary Tract Infection, Geriatric Presentation	6	urinary tract infection, geriatric presentation			
288824	Convulsive Disorder	6	convulsive disorder			
76250	Residual Schizophrenia	6	residual schizophrenia			
70191	Localized Osteoarthritis Of The Hand	6	localized osteoarthritis of the hand			
69901	Psoriasis	6	psoriasis	DOID:8893	psoriasis	name
65752	Cystitis	6	cystitis	DOID:1679	cystitis	name
69913	Rosacea	6	rosacea	DOID:8881	rosacea	name
76325	Bipolar I Disorder, Most Recent Episode, Mixed - Moderate	6	bipolar i disorder, most recent episode, mixed - moderate			
293498	Chronic Common Migraine (Without Aura)	5	chronic common migraine (without aura)			
258942	Type II Diabetes Mellitus Uncomplicated, Controlled	5	type ii diabetes mellitus uncomplicated, controlled			
70029	Furuncle	5	furuncle			
296649	Diffuse Connective Tissue Disorder	5	diffuse connective tissue disorder			
257948	Vitamin B12 Deficiency	5	vitamin b12 deficiency	DOID:0050731	vitamin B12 deficiency	name
62733	Acute Tonsillitis	5	acute tonsillitis			
70094	Skin Abscess Of The Buttocks	5	skin abscess of the buttocks			
251627	Adjustment Disorder With Depressed Mood	5	adjustment disorder with depressed mood			
260319	Colon Cancer	5	colon cancer	DOID:219	colon cancer	name
69395	Gestational Diabetes Mellitus	5	gestational diabetes mellitus	DOID:11714	Gestational diabetes mellitus	exact-synonym
69395	Gestational Diabetes Mellitus	5	gestational diabetes mellitus	DOID:11714	Gestational diabetes mellitus	exact-synonym
69395	Gestational Diabetes Mellitus	5	gestational diabetes mellitus	DOID:11714	Gestational diabetes mellitus	exact-synonym
69964	Xerosis Cutis	5	xerosis cutis			
62543	Earache	5	earache			
274533	Sore Throat	5	sore throat			
282272	Anterior Wall Chest Pain With Respiration	5	anterior wall chest pain with respiration			
275500	Cognitive Disorder	5	cognitive disorder	DOID:1561	cognitive disorder	name
69542	Central Diabetes Insipidus	5	central diabetes insipidus	DOID:12388	central diabetes insipidus	exact-synonym
69546	Dysfunctional Uterine Bleeding	5	dysfunctional uterine bleeding			
277872	Asthmatic Bronchitis	5	asthmatic bronchitis			
70166	Localized Primary Osteoarthritis Of The Knee	5	localized primary osteoarthritis of the knee			
288761	Vaginal Discharge	5	vaginal discharge	DOID:3767	vaginal discharge	name
62365	Acute Nonsuppurative Otitis Media	5	acute nonsuppurative otitis media	DOID:3697	acute nonsuppurative otitis media	exact-synonym
70474	Mixed Connective Tissue Disease	5	mixed connective tissue disease	DOID:3492	mixed connective tissue disease	name
274717	Microalbuminuria	5	microalbuminuria			
74997	Partial Simple Seizure	5	partial simple seizure			
93473	Taking Female Hormones For Postmenopausal HRT	5	taking female hormones for postmenopausal hrt			
75356	Cerebral Embolism - With Cerebral Infarction	5	cerebral embolism - with cerebral infarction			
74585	Cerebrospinal Fluid Rhinorrhea	5	cerebrospinal fluid rhinorrhea			
76359	Major Depression, Recurrent With Melancholia	5	major depression, recurrent with melancholia			
168632	Tinea Cruris Of The Groin	5	tinea cruris of the groin			
77894	Venereal Disease Due To Chlamydia Trachomatis	5	venereal disease due to chlamydia trachomatis			
94386	Exposed To HIV Infection	5	exposed to hiv infection			
63738	Peripheral Vascular Disease	5	peripheral vascular disease	DOID:341	peripheral vascular disease	name
66394	Hyperemesis Gravidarum	5	hyperemesis gravidarum			
88042	Irregular Length Of Menstrual Periods	5	irregular length of menstrual periods			
87834	Red Blood In Bowel Movement (Hematochezia)	5	red blood in bowel movement (hematochezia)			
66386	Pregnancy Complicated By Hypertension - Antepartum Condition Or Prior Complicated Delivery	5	pregnancy complicated by hypertension - antepartum condition or prior complicated delivery			
81335	Multiple Nonvenomous Insect Bites	5	multiple nonvenomous insect bites			
163354	Demonstrated Behavior Psychomotor Agitation	5	demonstrated behavior psychomotor agitation			
85633	Pain In The Leg (Below The Knee)	5	pain in the leg (below the knee)			
64825	Peptic Ulcer	5	peptic ulcer			
64762	Dyspepsia	5	dyspepsia	DOID:2321	dyspepsia	name
91056	Upper Back Pain (Between Shoulder Blades)	5	upper back pain (between shoulder blades)			
77210	Cutaneous Candidiasis	5	cutaneous candidiasis			
201177	Quadriplegic Cerebral Palsy With Spasticity	5	quadriplegic cerebral palsy with spasticity			
65847	Urethritis	5	urethritis	DOID:1343	urethritis	name
69262	Post Radio-iodine Therapy Hypothyroidism	5	post radio-iodine therapy hypothyroidism			
250903	Varicose Veins With Pain	5	varicose veins with pain			
65848	Chlamydia Trachomatis Urethritis	5	chlamydia trachomatis urethritis			
76395	Primary Insomnia	5	primary insomnia			
65675	Nephrotic Syndrome Due To Minimal Change Glomerulonephritis	5	nephrotic syndrome due to minimal change glomerulonephritis			
201186	Ischemic Stroke	5	ischemic stroke			
191631	Gastrostomy Care	5	gastrostomy care			
75930	Mood Disorder Of Unknown (Axis III) Etiology	5	mood disorder of unknown (axis iii) etiology			
189833	Tracheostomy Care Requirement	5	tracheostomy care requirement			
187793	Gynecologic Services Contraceptive General Counseling	5	gynecologic services contraceptive general counseling			
87741	Abdominal Pain Around The Belly Button (Periumbilical)	4	abdominal pain around the belly button (periumbilical)			
283131	Benign Prostatic Hyperplasia Localized With Urinary Obstruction With Other Lower Urinary Tract Symptoms	4	benign prostatic hyperplasia localized with urinary obstruction with other lower urinary tract symptoms			
283255	Balanitis	4	balanitis	DOID:13033	balanitis	name
85707	Back Pain	4	back pain			
87543	Chronic Cough	4	chronic cough			
282672	Venous Insufficiency	4	venous insufficiency	DOID:10128	venous insufficiency	name
288609	Menometrorrhagia	4	menometrorrhagia			
78127	Anaphylaxis	4	anaphylaxis			
85673	Joint Pain, Localized In The Wrist	4	joint pain, localized in the wrist			
70121	Tinea Cruris	4	tinea cruris	DOID:11917	tinea cruris	name
76847	AIDS Polyneuropathy	4	aids polyneuropathy			
293641	Methicillin Resistant Staphylococcus Aureus Infection	4	methicillin resistant staphylococcus aureus infection			
293541	New Daily Persistent Headache	4	new daily persistent headache			
76409	Narcolepsy	4	narcolepsy	DOID:8986	narcolepsy	name
77275	Tuberculosis	4	tuberculosis	DOID:399	tuberculosis	name
77872	Pelvic Inflammatory Disease	4	pelvic inflammatory disease	DOID:1003	pelvic inflammatory disease	name
77898	Chlamydial Disease	4	chlamydial disease			
288764	Vulvodynia	4	vulvodynia			
78011	Sickle Cell Anemia	4	sickle cell anemia	DOID:10923	sickle cell anemia	name
80524	Adenocarcinoma Of The Breast	4	adenocarcinoma of the breast			
81092	Non-Hodgkin's Lymphoma	4	non-hodgkin's lymphoma			
289113	Acute Rhinitis	4	acute rhinitis	DOID:10459	acute rhinitis	exact-synonym
288944	Disturbance Of Gait	4	disturbance of gait			
85607	Fever (Symptom)	4	fever (symptom)			
87744	Abdominal Pain In Multiple Locations	4	abdominal pain in multiple locations			
252543	Encephalopathy	4	encephalopathy	DOID:936	encephalopathy	exact-synonym
87902	Urinary Frequency More Than Twice At Night (Nocturia)	4	urinary frequency more than twice at night (nocturia)			
278472	Pustular Folliculitis	4	pustular folliculitis			
71075	Fracture Of Facial Bones	4	fracture of facial bones			
73403	Neck Sprain	4	neck sprain			
73493	Ankle Sprain	4	ankle sprain			
166843	Nephrolithiasis Of The Right Kidney	4	nephrolithiasis of the right kidney			
173463	Insomnia Due To Stress	4	insomnia due to stress			
179542	Malignant Breast Neoplasm	4	malignant breast neoplasm			
274445	Chronic Otitis Externa	4	chronic otitis externa			
181267	Carcinoma Of The Prostate Gland	4	carcinoma of the prostate gland			
270712	ACP Staging Stage 1 Hypertension: 140-159 / 9099	4	acp staging stage 1 hypertension: 140-159 / 9099			
73551	Tendonitis	4	tendonitis			
73599	Trochanteric Bursitis	4	trochanteric bursitis			
265990	Earache (Symptom)	4	earache (symptom)			
259187	Internal Derangement Of Knee	4	internal derangement of knee			
258928	Thyroid Cancer	4	thyroid cancer	DOID:1781	thyroid cancer	name
247286	Thyroid Function Tests Nonspecific Abnormal Findings	4	thyroid function tests nonspecific abnormal findings			
252625	Diabetic Polyneuropathy	4	diabetic polyneuropathy	DOID:12785	diabetic polyneuropathy	name
252561	Motor Partial Seizure With Intractable Seizure	4	motor partial seizure with intractable seizure			
274711	End Stage Renal Disease	4	end stage renal disease	DOID:783	end stage renal disease	exact-synonym
274711	End Stage Renal Disease	4	end stage renal disease	DOID:783	End stage renal disease	exact-synonym
274711	End Stage Renal Disease	4	end stage renal disease	DOID:783	End stage renal disease	exact-synonym
166743	Community-acquired Pneumonia	4	community-acquired pneumonia			
275492	ADHD, Predominantly Hyperactive - Impulsive	4	adhd, predominantly hyperactive - impulsive			
275538	Moderate Single Episode Major Depression	4	moderate single episode major depression			
278396	Hirsutism	4	hirsutism			
87904	Feelings Of Urinary Urgency	4	feelings of urinary urgency			
278128	Chronic Lung Disease Of Newborn	4	chronic lung disease of newborn			
94408	Exposed To Venereal Disease	4	exposed to venereal disease			
275553	Bipolar I Disorder, Most Recent Episode	4	bipolar i disorder, most recent episode			
70607	Polymyositis In Scleroderma	4	polymyositis in scleroderma			
75594	Spinal Stenosis	4	spinal stenosis	DOID:6725	spinal stenosis	name
70637	Vasculitides	4	vasculitides			
75358	Cerebral Vasculitis	4	cerebral vasculitis			
75587	Lumbar Canal Stenosis	4	lumbar canal stenosis			
165548	Tremor	4	tremor			
70642	Microscopic Polyarteritis Nodosa	4	microscopic polyarteritis nodosa			
70648	Behcet's Syndrome	4	behcet's syndrome			
75487	Atypical Face Pain	4	atypical face pain			
166478	Acute Bacterial Conjunctivitis	4	acute bacterial conjunctivitis			
166549	Acute Streptococcal Tonsillitis	4	acute streptococcal tonsillitis			
28146	Chronic Renal Failure	4	chronic renal failure			
75674	Idiopathic Peripheral Neuropathy	4	idiopathic peripheral neuropathy			
62902	Supraventricular Tachycardia	4	supraventricular tachycardia			
63488	Secondary Pulmonary Hypertension	4	secondary pulmonary hypertension			
69556	Precocious Puberty	4	precocious puberty			
69465	21-hydroxylase Deficiency (Salt Losing)	4	21-hydroxylase deficiency (salt losing)			
69847	Papular Urticaria	4	papular urticaria			
65856	Urethral Stricture	4	urethral stricture	DOID:1829	urethral stricture	name
64186	Extrinsic Asthma	4	extrinsic asthma			
65855	Female Stress Incontinence	4	female stress incontinence	DOID:724	female stress incontinence	name
64621	Infectious Gastroenteritis	4	infectious gastroenteritis			
62719	Acute Tracheitis	4	acute tracheitis	DOID:9392	acute tracheitis	exact-synonym
65065	Diverticulitis Of Colon	4	diverticulitis of colon	DOID:13254	diverticulitis of colon	name
64610	Viral Gastroenteritis	4	viral gastroenteritis			
66254	Trichomonas Vulvovaginitis	4	trichomonas vulvovaginitis			
62745	Tonsillar Hypertrophy	4	tonsillar hypertrophy			
66249	Vulvovaginitis	4	vulvovaginitis	DOID:2273	vulvovaginitis	name
62352	Acute Serous Otitis Media Of The Right Ear	4	acute serous otitis media of the right ear			
69194	Endocrine Disorder	4	endocrine disorder			
66218	Postmenopausal Atrophic Vaginitis	4	postmenopausal atrophic vaginitis	DOID:11968	postmenopausal atrophic vaginitis	name
62985	Chest Pain	4	chest pain			
64207	Chronic Bronchitis With Acute Exacerbation	4	chronic bronchitis with acute exacerbation			
62947	Ventricular Tachycardia	4	ventricular tachycardia			
64210	Diffuse Obstructive Chronic Bronchitis	4	diffuse obstructive chronic bronchitis			
69731	Chronic Lupus Erythematosus	4	chronic lupus erythematosus			
65689	Nephrosclerosis With Benign Hypertension	4	nephrosclerosis with benign hypertension			
62345	Acute Suppurative Otitis Media With Spontaneous Rupture Of The Ear Drum	4	acute suppurative otitis media with spontaneous rupture of the ear drum			
65784	Hyperactivity Of The Bladder	4	hyperactivity of the bladder			
61433	Chronic Allergic Conjunctivitis	4	chronic allergic conjunctivitis			
69263	Secondary Hypothyroidism	4	secondary hypothyroidism			
66182	Cervicitis Chlamydia Trachomatis	4	cervicitis chlamydia trachomatis			
62066	Glaucoma	4	glaucoma	DOID:1686	glaucoma	name
66143	Metrorrhagia	4	metrorrhagia			
69447	Diabetic Foot Ulcer	4	diabetic foot ulcer			
69342	Postmenopausal Osteoporosis	4	postmenopausal osteoporosis			
65952	Organic Impotence	4	organic impotence			
62615	Hypertrophied Nasal Turbinate	4	hypertrophied nasal turbinate			
69386	Type II Diabetes Mellitus With Complication - Uncontrolled	4	type ii diabetes mellitus with complication - uncontrolled			
64826	Gastric Ulcer	4	gastric ulcer	DOID:10808	gastric ulcer	name
65712	Diabetic Nephropathy Type II - Uncontrolled	4	diabetic nephropathy type ii - uncontrolled			
67760	Connective Tissue Defect	4	connective tissue defect			
62589	Chronic Sphenoidal Sinusitis	4	chronic sphenoidal sinusitis	DOID:10793	chronic sphenoidal sinusitis	name
35314	Personality Change Due To Axis III Etiology	4	personality change due to axis iii etiology			
62596	Common Cold	4	common cold	DOID:10459	common cold	name
62404	Otitis Media In Both Ears	4	otitis media in both ears			
62606	Allergic Rhinitis Due To Dust Mite	4	allergic rhinitis due to dust mite			
62761	Group A Streptococcus: B Hemolytic Pharyngitis	4	group a streptococcus: b hemolytic pharyngitis			
65755	Chronic Cystitis	4	chronic cystitis	DOID:1680	chronic cystitis	name
66139	Amenorrhea	4	amenorrhea	DOID:13938	amenorrhea	name
66139	Amenorrhea	4	amenorrhea	DOID:13938	AMENORRHEA	exact-synonym
60886	Difficulty Swallowing (Dysphagia)	4	difficulty swallowing (dysphagia)			
69353	Secondary Hyperparathyroidism	4	secondary hyperparathyroidism	DOID:12466	secondary hyperparathyroidism	name
62616	Epistaxis	4	epistaxis			
64787	Chronic Antral H. Pylori Associated Gastritis	3	chronic antral h. pylori associated gastritis			
69343	Osteoporosis Senile	3	osteoporosis senile			
252552	Generalized Convulsive Tonicclonic Seizure With Intractable Seizure	3	generalized convulsive tonicclonic seizure with intractable seizure			
274471	Acute Otitis Externa Of The Right Ear	3	acute otitis externa of the right ear			
64041	Thromboembolic Disease	3	thromboembolic disease			
62557	Eustachian Tube Block	3	eustachian tube block			
74960	Tuberous Sclerosis (Bourneville's Disease)	3	tuberous sclerosis (bourneville's disease)			
62561	Eustachian Tube Dysfunction	3	eustachian tube dysfunction			
252553	Generalized Nonconvulsive Seizure	3	generalized nonconvulsive seizure			
62635	Salivary Secretion Disturbance: Xerostomia	3	salivary secretion disturbance: xerostomia			
64632	Giardiasis	3	giardiasis	DOID:10718	giardiasis	name
62759	Pharyngitis	3	pharyngitis	DOID:2275	pharyngitis	name
257887	Benign Prostatic Hyperplasia With Urinary Obstruction	3	benign prostatic hyperplasia with urinary obstruction			
260217	Esophageal Cancer	3	esophageal cancer	DOID:5041	esophageal cancer	name
85660	Joint Pain Fingers	3	joint pain fingers			
259138	Rib Fracture	3	rib fracture			
69346	Drug-induced Osteoporosis	3	drug-induced osteoporosis			
252568	Partial Complex Psychosensory Seizure With Intractable Seizure	3	partial complex psychosensory seizure with intractable seizure			
257944	Vitamin Deficiency	3	vitamin deficiency			
74315	Carpal Tunnel Syndrome	3	carpal tunnel syndrome	DOID:12169	carpal tunnel syndrome	name
74315	Carpal Tunnel Syndrome	3	carpal tunnel syndrome	DOID:12169	Carpal tunnel syndrome	exact-synonym
74315	Carpal Tunnel Syndrome	3	carpal tunnel syndrome	DOID:12169	Carpal tunnel syndrome	exact-synonym
64708	Barrett's Esophagus	3	barrett's esophagus	DOID:9206	Barrett's esophagus	name
62743	Chronic Tonsillitis	3	chronic tonsillitis	DOID:10456	chronic tonsillitis	exact-synonym
257896	Homocysteinemia	3	homocysteinemia			
76281	Chronic Schizophrenia	3	chronic schizophrenia			
69269	Iatrogenic Hypothyroidism	3	iatrogenic hypothyroidism			
166827	Hydronephrosis On The Right	3	hydronephrosis on the right			
173418	Radiculopathy	3	radiculopathy	DOID:4306	radiculopathy	name
172081	Shoulder Strain	3	shoulder strain			
168811	Traumatic Arthritis Of The Ankle	3	traumatic arthritis of the ankle			
67988	Familial Hypertriglyceridemia	3	familial hypertriglyceridemia	DOID:0050527	familial hypertriglyceridemia	name
168206	Subclinical Hypothyroidism	3	subclinical hypothyroidism			
167265	Dysmetabolic Syndrome X	3	dysmetabolic syndrome x	DOID:14221	dysmetabolic syndrome X	exact-synonym
167265	Dysmetabolic Syndrome X	3	dysmetabolic syndrome x	DOID:14221	Dysmetabolic syndrome X	exact-synonym
75933	Anxiety Disorder Due To General Medical Condition With Panic Attacks	3	anxiety disorder due to general medical condition with panic attacks			
166834	Renal Transplant Recipient Of The Right Kidney	3	renal transplant recipient of the right kidney			
166828	Hydronephrosis On The Left	3	hydronephrosis on the left			
75932	Anxiety Disorder Due To General Medical Condition With Generalized Anxiety	3	anxiety disorder due to general medical condition with generalized anxiety			
63598	Ventricular Septal Defect	3	ventricular septal defect	DOID:1657	ventricular septal defect	name
75765	Postherpetic Neuralgia	3	postherpetic neuralgia			
166767	Infectious Diarrhea	3	infectious diarrhea	DOID:12384	Infectious diarrhea	exact-synonym
75931	Anxiety Disorder Due To General Medical Condition	3	anxiety disorder due to general medical condition			
75820	ATTENTION-DEFICIT DISORDER WITH HYPERACTIVITY	3	attention-deficit disorder with hyperactivity			
116888	Vaginal Mucosa Atrophy	3	vaginal mucosa atrophy			
124553	Pustules	3	pustules			
75854	Oppositional Defiant Disorder Of Childhood	3	oppositional defiant disorder of childhood			
155856	Ankle Swelling (On Exam)	3	ankle swelling (on exam)			
138023	Alopecia	3	alopecia	DOID:987	alopecia	name
68084	Fluid Overload	3	fluid overload			
63516	Tricuspid Atresia	3	tricuspid atresia			
87901	Urinary Frequency Increased	3	urinary frequency increased			
247787	Endocrine Laboratory Tests Nonspecific Abnormal Findings	3	endocrine laboratory tests nonspecific abnormal findings			
252496	Female Pelvic Pain	3	female pelvic pain			
62891	Rhythm Disorder	3	rhythm disorder			
73578	Tendonitis Of The Achilles Tendon	3	tendonitis of the achilles tendon			
250864	Diastolic Congestive Heart Failure	3	diastolic congestive heart failure			
63175	Ischemic Cardiomyopathy	3	ischemic cardiomyopathy			
250613	Fever (On Exam)	3	fever (on exam)			
247966	Serum Total Cholesterol Was Elevated	3	serum total cholesterol was elevated			
68107	Hypocalcemia	3	hypocalcemia			
75127	Devic Disease	3	devic disease			
76237	Paranoid Schizophrenia In Remission	3	paranoid schizophrenia in remission			
76091	Nicotine Dependence - Continuous	3	nicotine dependence - continuous			
64199	Chronic Obstructive Asthma	3	chronic obstructive asthma	DOID:2841	chronic obstructive asthma	exact-synonym
63233	Benign Hypertensive Heart Disease With Congestive Heart Failure	3	benign hypertensive heart disease with congestive heart failure			
200624	Tuberculin PPD Induration Positive Interpretation	3	tuberculin ppd induration positive interpretation			
196605	Rapid Bacterial Antigen Ident Kit Streptococcus Group B	3	rapid bacterial antigen ident kit streptococcus group b			
64170	Bronchopneumonia	3	bronchopneumonia	DOID:12375	bronchopneumonia	name
63285	Mitral Regurgitation	3	mitral regurgitation	DOID:11502	mitral regurgitation	exact-synonym
63469	Systolic Hypertension	3	systolic hypertension			
63485	Primary Pulmonary Hypertension	3	primary pulmonary hypertension	DOID:14557	primary pulmonary hypertension	name
68087	Hyperkalemia	3	hyperkalemia			
274511	Travel Sickness	3	travel sickness	DOID:2951	Travel sickness	exact-synonym
274511	Travel Sickness	3	travel sickness	DOID:2951	Travel Sickness	exact-synonym
274511	Travel Sickness	3	travel sickness	DOID:2951	Travel sickness	exact-synonym
155100	(Lower) Leg Localized Swelling Bilateral	3	(lower) leg localized swelling bilateral			
73564	Lateral Epicondylitis	3	lateral epicondylitis	DOID:14087	Lateral epicondylitis	exact-synonym
70148	Localized Primary Osteoarthritis	3	localized primary osteoarthritis			
288804	Encephalitis	3	encephalitis	DOID:9588	encephalitis	name
70196	Generalized Osteoarthritis	3	generalized osteoarthritis			
288796	Premenstrual Syndromes	3	premenstrual syndromes			
61038	Dizziness	3	dizziness			
69834	Ingrowing Nail With Infection	3	ingrowing nail with infection			
69824	Morphea (Localized Scleroderma)	3	morphea (localized scleroderma)			
77896	Lower Genitourinary Venereal Disease Due To Chlamydia Trachomatis	3	lower genitourinary venereal disease due to chlamydia trachomatis			
77970	Iron Deficiency Anemia Secondary To Inadequate Dietary Iron Intake	3	iron deficiency anemia secondary to inadequate dietary iron intake			
287562	Acute Conjunctivitis Of Both Eyes	3	acute conjunctivitis of both eyes			
283277	Abnormal Weight Loss	3	abnormal weight loss			
65778	Urge And Stress Incontinence	3	urge and stress incontinence			
283136	Bladder Cancer	3	bladder cancer	DOID:11054	bladder cancer	exact-synonym
69785	Hidradenitis Suppurativa	3	hidradenitis suppurativa	DOID:2280	hidradenitis suppurativa	name
69785	Hidradenitis Suppurativa	3	hidradenitis suppurativa	DOID:2280	Hidradenitis suppurativa	exact-synonym
69785	Hidradenitis Suppurativa	3	hidradenitis suppurativa	DOID:2280	Hidradenitis suppurativa	exact-synonym
69785	Hidradenitis Suppurativa	3	hidradenitis suppurativa	DOID:2280	Hidradenitis suppurativa	exact-synonym
69785	Hidradenitis Suppurativa	3	hidradenitis suppurativa	DOID:2280	Hidradenitis suppurativa	exact-synonym
70460	Adult Still's Disease	3	adult still's disease			
78050	Antiphospholipid Syndrome	3	antiphospholipid syndrome	DOID:2988	antiphospholipid syndrome	name
78050	Antiphospholipid Syndrome	3	antiphospholipid syndrome	DOID:2988	Antiphospholipid syndrome	exact-synonym
78050	Antiphospholipid Syndrome	3	antiphospholipid syndrome	DOID:2988	Antiphospholipid syndrome	exact-synonym
283130	Benign Localized Prostatic Hyperplasia Without Urinary Obstruction With Other Lower Urinary Tract Symptoms	3	benign localized prostatic hyperplasia without urinary obstruction with other lower urinary tract symptoms			
283037	Hematuria	3	hematuria			
70476	CREST Syndrome	3	crest syndrome	DOID:0060218	CREST syndrome	name
61421	Acute Vernal Conjunctivitis	3	acute vernal conjunctivitis			
69663	Decubitus Ulcer	3	decubitus ulcer	DOID:8717	decubitus ulcer	name
69663	Decubitus Ulcer	3	decubitus ulcer	DOID:8717	Decubitus ulcer	exact-synonym
61463	Conjunctivitis In Both Eyes	3	conjunctivitis in both eyes			
61011	Inadequacy Of Lubrication Of Vaginal Mucosa	3	inadequacy of lubrication of vaginal mucosa			
