drug	disease	CSH	AJG	PK	CSH_notes	AJG_notes	PK_notes	drug_url	disease_url	tie
Prednisone	gout	SYM	DM					http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A13189	True
Prednisone	osteoarthritis	SYM	NOT					http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A8398	True
Prednisone	rheumatoid arthritis	SYM	DM					http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A7148	True
Prednisone	systemic lupus erythematosus	SYM	DM					http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A9074	True
Prednisone	ulcerative colitis	SYM	DM					http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A8577	True
Pregabalin	systemic lupus erythematosus	NOT	SYM					http://www.drugbank.ca/drugs/DB00230	http://www.disease-ontology.org/term/DOID%3A9074	True
Prochlorperazine	breast cancer	NOT	SYM					http://www.drugbank.ca/drugs/DB00433	http://www.disease-ontology.org/term/DOID%3A1612	True
Progesterone	uterine cancer	NOT	DM					http://www.drugbank.ca/drugs/DB00396	http://www.disease-ontology.org/term/DOID%3A363	True
Propantheline	pancreatitis	SYM	DM					http://www.drugbank.ca/drugs/DB00782	http://www.disease-ontology.org/term/DOID%3A4989	True
Propranolol	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB00571	http://www.disease-ontology.org/term/DOID%3A10763	True
Pseudoephedrine	allergic rhinitis	SYM	DM					http://www.drugbank.ca/drugs/DB00852	http://www.disease-ontology.org/term/DOID%3A4481	True
Quetiapine	Alzheimer's disease	SYM	NOT					http://www.drugbank.ca/drugs/DB01224	http://www.disease-ontology.org/term/DOID%3A10652	True
Quetiapine	Parkinson's disease	SYM	NOT					http://www.drugbank.ca/drugs/DB01224	http://www.disease-ontology.org/term/DOID%3A14330	True
Quinapril	hypertension	DM	SYM		Pilot classification: disease-modifying; Pilot notes:			http://www.drugbank.ca/drugs/DB00881	http://www.disease-ontology.org/term/DOID%3A10763	True
Quinidine	malaria	NOT	DM					http://www.drugbank.ca/drugs/DB00908	http://www.disease-ontology.org/term/DOID%3A12365	True
Quinidine barbiturate	epilepsy syndrome	SYM	NOT					http://www.drugbank.ca/drugs/DB01346	http://www.disease-ontology.org/term/DOID%3A1826	True
Quinidine barbiturate	malaria	NOT	DM					http://www.drugbank.ca/drugs/DB01346	http://www.disease-ontology.org/term/DOID%3A12365	True
Ramipril	coronary artery disease	NOT	DM					http://www.drugbank.ca/drugs/DB00178	http://www.disease-ontology.org/term/DOID%3A3393	True
Repaglinide	type 2 diabetes mellitus	DM	SYM					http://www.drugbank.ca/drugs/DB00912	http://www.disease-ontology.org/term/DOID%3A9352	True
Reserpine	hypertension	NOT	SYM		rarely used			http://www.drugbank.ca/drugs/DB00206	http://www.disease-ontology.org/term/DOID%3A10763	True
Rifabutin	acquired immunodeficiency syndrome	NOT	SYM			Complication of HIV infection		http://www.drugbank.ca/drugs/DB00615	http://www.disease-ontology.org/term/DOID%3A635	True
Riluzole	amyotrophic lateral sclerosis	SYM	DM		or DM?			http://www.drugbank.ca/drugs/DB00740	http://www.disease-ontology.org/term/DOID%3A332	True
Risedronate	breast cancer	NOT	SYM					http://www.drugbank.ca/drugs/DB00884	http://www.disease-ontology.org/term/DOID%3A1612	True
Ropinirole	Alzheimer's disease	SYM	NOT					http://www.drugbank.ca/drugs/DB00268	http://www.disease-ontology.org/term/DOID%3A10652	True
Ropinirole	multiple sclerosis	SYM	NOT					http://www.drugbank.ca/drugs/DB00268	http://www.disease-ontology.org/term/DOID%3A2377	True
Rosiglitazone	type 2 diabetes mellitus	NOT	DM					http://www.drugbank.ca/drugs/DB00412	http://www.disease-ontology.org/term/DOID%3A9352	True
Salicylate-sodium	psoriasis	DM	SYM					http://www.drugbank.ca/drugs/DB01398	http://www.disease-ontology.org/term/DOID%3A8893	True
Salmeterol	asthma	DM	SYM					http://www.drugbank.ca/drugs/DB00938	http://www.disease-ontology.org/term/DOID%3A2841	True
Selegiline	Alzheimer's disease	NOT	SYM					http://www.drugbank.ca/drugs/DB01037	http://www.disease-ontology.org/term/DOID%3A10652	True
Sildenafil	hypertension	DM	NOT		pulm htn	NOT FOR ESSENTIal HTN but DM for pulmonary arterial hypertension		http://www.drugbank.ca/drugs/DB00203	http://www.disease-ontology.org/term/DOID%3A10763	True
Sildenafil	type 1 diabetes mellitus	NOT	DM					http://www.drugbank.ca/drugs/DB00203	http://www.disease-ontology.org/term/DOID%3A9744	True
Sirolimus	prostate cancer	DM	NOT					http://www.drugbank.ca/drugs/DB00877	http://www.disease-ontology.org/term/DOID%3A10283	True
Solifenacin	multiple sclerosis	SYM	DM					http://www.drugbank.ca/drugs/DB01591	http://www.disease-ontology.org/term/DOID%3A2377	True
Spironolactone	dilated cardiomyopathy	SYM	DM		or DM? 			http://www.drugbank.ca/drugs/DB00421	http://www.disease-ontology.org/term/DOID%3A12930	True
Spironolactone	hypertension	NOT	SYM					http://www.drugbank.ca/drugs/DB00421	http://www.disease-ontology.org/term/DOID%3A10763	True
Streptozocin	hematologic cancer	NOT	DM					http://www.drugbank.ca/drugs/DB00428	http://www.disease-ontology.org/term/DOID%3A2531	True
Sulfadiazine	malaria	NOT	SYM		not used anymore	SUPPORTIVE FOR ANTMALARIAL		http://www.drugbank.ca/drugs/DB00359	http://www.disease-ontology.org/term/DOID%3A12365	True
Tadalafil	chronic obstructive pulmonary disease	NOT	DM					http://www.drugbank.ca/drugs/DB00820	http://www.disease-ontology.org/term/DOID%3A3083	True
Tadalafil	systemic scleroderma	NOT	SYM					http://www.drugbank.ca/drugs/DB00820	http://www.disease-ontology.org/term/DOID%3A418	True
Tamoxifen	pancreatic cancer	NOT	DM			Potnetially		http://www.drugbank.ca/drugs/DB00675	http://www.disease-ontology.org/term/DOID%3A1793	True
Temozolomide	melanoma	NOT	DM		in research	ONLY FOR BRAIN METS		http://www.drugbank.ca/drugs/DB00853	http://www.disease-ontology.org/term/DOID%3A1909	True
Terazosin	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB01162	http://www.disease-ontology.org/term/DOID%3A10763	True
Terbutaline	asthma	DM	SYM					http://www.drugbank.ca/drugs/DB00871	http://www.disease-ontology.org/term/DOID%3A2841	True
Testosterone	breast cancer	NOT	DM					http://www.drugbank.ca/drugs/DB00624	http://www.disease-ontology.org/term/DOID%3A1612	True
Testosterone Propionate	breast cancer	NOT	DM					http://www.drugbank.ca/drugs/DB01420	http://www.disease-ontology.org/term/DOID%3A1612	True
Thalidomide	leprosy	NOT	DM					http://www.drugbank.ca/drugs/DB01041	http://www.disease-ontology.org/term/DOID%3A1024	True
Theophylline	asthma	DM	SYM					http://www.drugbank.ca/drugs/DB00277	http://www.disease-ontology.org/term/DOID%3A2841	True
Thioridazine	schizophrenia	NOT	SYM		withdrawn due to card arrhy			http://www.drugbank.ca/drugs/DB00679	http://www.disease-ontology.org/term/DOID%3A5419	True
Tiagabine	bipolar disorder	SYM	NOT		Pilot classification: disease-modifying; Pilot notes:			http://www.drugbank.ca/drugs/DB00906	http://www.disease-ontology.org/term/DOID%3A3312	True
Tiludronate	breast cancer	NOT	SYM					http://www.drugbank.ca/drugs/DB01133	http://www.disease-ontology.org/term/DOID%3A1612	True
Timolol	coronary artery disease	NOT	SYM					http://www.drugbank.ca/drugs/DB00373	http://www.disease-ontology.org/term/DOID%3A3393	True
Timolol	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB00373	http://www.disease-ontology.org/term/DOID%3A10763	True
Tiotropium	asthma	DM	SYM					http://www.drugbank.ca/drugs/DB01409	http://www.disease-ontology.org/term/DOID%3A2841	True
Tiotropium	chronic obstructive pulmonary disease	DM	SYM					http://www.drugbank.ca/drugs/DB01409	http://www.disease-ontology.org/term/DOID%3A3083	True
Tizanidine	rheumatoid arthritis	SYM	NOT					http://www.drugbank.ca/drugs/DB00697	http://www.disease-ontology.org/term/DOID%3A7148	True
Tolazamide	type 2 diabetes mellitus	DM	SYM					http://www.drugbank.ca/drugs/DB00839	http://www.disease-ontology.org/term/DOID%3A9352	True
Tolazoline	hypertension	NOT	SYM			ACUTE		http://www.drugbank.ca/drugs/DB00797	http://www.disease-ontology.org/term/DOID%3A10763	True
Tolazoline	systemic scleroderma	SYM	NOT					http://www.drugbank.ca/drugs/DB00797	http://www.disease-ontology.org/term/DOID%3A418	True
Tolbutamide	type 2 diabetes mellitus	DM	SYM					http://www.drugbank.ca/drugs/DB01124	http://www.disease-ontology.org/term/DOID%3A9352	True
Tolmetin	ankylosing spondylitis	SYM	DM					http://www.drugbank.ca/drugs/DB00500	http://www.disease-ontology.org/term/DOID%3A7147	True
Tolmetin	osteoarthritis	SYM	DM					http://www.drugbank.ca/drugs/DB00500	http://www.disease-ontology.org/term/DOID%3A8398	True
Tolmetin	rheumatoid arthritis	SYM	DM					http://www.drugbank.ca/drugs/DB00500	http://www.disease-ontology.org/term/DOID%3A7148	True
Tolterodine	multiple sclerosis	SYM	NOT		urinary incon			http://www.drugbank.ca/drugs/DB01036	http://www.disease-ontology.org/term/DOID%3A2377	True
Torasemide	hypertension	NOT	SYM					http://www.drugbank.ca/drugs/DB00214	http://www.disease-ontology.org/term/DOID%3A10763	True
Trandolapril	coronary artery disease	NOT	DM					http://www.drugbank.ca/drugs/DB00519	http://www.disease-ontology.org/term/DOID%3A3393	True
Travoprost	glaucoma	DM	SYM					http://www.drugbank.ca/drugs/DB00287	http://www.disease-ontology.org/term/DOID%3A1686	True
Trazodone	schizophrenia	SYM	NOT					http://www.drugbank.ca/drugs/DB00656	http://www.disease-ontology.org/term/DOID%3A5419	True
Treprostinil	hypertension	DM	NOT		pulm htn			http://www.drugbank.ca/drugs/DB00374	http://www.disease-ontology.org/term/DOID%3A10763	True
Tretinoin	hematologic cancer	DM	NOT					http://www.drugbank.ca/drugs/DB00755	http://www.disease-ontology.org/term/DOID%3A2531	True
Triamcinolone	allergic rhinitis	DM	NOT					http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A4481	True
Triamcinolone	ankylosing spondylitis	DM	NOT					http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A7147	True
Triamcinolone	asthma	DM	SYM					http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A2841	True
Triamcinolone	brain cancer	SYM	NOT					http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A1319	True
Triamcinolone	psoriasis	DM	SYM					http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A8893	True
Triamcinolone	psoriatic arthritis	DM	SYM		Pilot classification: ? disease-modifying; Pilot notes:			http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A9008	True
Triamcinolone	rheumatoid arthritis	DM	SYM					http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A7148	True
Triamcinolone	systemic lupus erythematosus	DM	SYM					http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A9074	True
Triamcinolone	ulcerative colitis	DM	NOT					http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A8577	True
Triamterene	hypertension	DM	SYM		diuretic			http://www.drugbank.ca/drugs/DB00384	http://www.disease-ontology.org/term/DOID%3A10763	True
Valproic Acid	endogenous depression	SYM	NOT					http://www.drugbank.ca/drugs/DB00313	http://www.disease-ontology.org/term/DOID%3A1595	True
Valproic Acid	epilepsy syndrome	SYM	DM					http://www.drugbank.ca/drugs/DB00313	http://www.disease-ontology.org/term/DOID%3A1826	True
Valproic Acid	schizophrenia	SYM	NOT					http://www.drugbank.ca/drugs/DB00313	http://www.disease-ontology.org/term/DOID%3A5419	True
Varenicline	nicotine dependence	SYM	DM					http://www.drugbank.ca/drugs/DB01273	http://www.disease-ontology.org/term/DOID%3A0050742	True
Verapamil	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB00661	http://www.disease-ontology.org/term/DOID%3A10763	True
Vincristine	peripheral nervous system neoplasm	DM	NOT					http://www.drugbank.ca/drugs/DB00541	http://www.disease-ontology.org/term/DOID%3A1192	True
Vinorelbine	hematologic cancer	NOT	DM					http://www.drugbank.ca/drugs/DB00361	http://www.disease-ontology.org/term/DOID%3A2531	True
Vinorelbine	ovarian cancer	NOT	DM					http://www.drugbank.ca/drugs/DB00361	http://www.disease-ontology.org/term/DOID%3A2394	True
Vitamin C	anemia	DM	NOT					http://www.drugbank.ca/drugs/DB00126	http://www.disease-ontology.org/term/DOID%3A2355	True
Vitamin E	anemia	DM	NOT		vit E def asst hemolytic anemia			http://www.drugbank.ca/drugs/DB00163	http://www.disease-ontology.org/term/DOID%3A2355	True
WF10	asthma	NOT	DM		in research			http://www.drugbank.ca/drugs/DB05389	http://www.disease-ontology.org/term/DOID%3A2841	True
WF10	systemic scleroderma	NOT	DM		in research			http://www.drugbank.ca/drugs/DB05389	http://www.disease-ontology.org/term/DOID%3A418	True
Zileuton	asthma	DM	SYM		Pilot classification: disease-modifying; Pilot notes: oral, inhibitis leukotrienes			http://www.drugbank.ca/drugs/DB00744	http://www.disease-ontology.org/term/DOID%3A2841	True
Zoledronate	bone cancer	DM	SYM					http://www.drugbank.ca/drugs/DB00399	http://www.disease-ontology.org/term/DOID%3A184	True
Zoledronate	breast cancer	NOT	SYM			Helps with secondary effects of many cancers		http://www.drugbank.ca/drugs/DB00399	http://www.disease-ontology.org/term/DOID%3A1612	True
Zoledronate	hematologic cancer	NOT	SYM					http://www.drugbank.ca/drugs/DB00399	http://www.disease-ontology.org/term/DOID%3A2531	True
Zoledronate	kidney cancer	NOT	SYM					http://www.drugbank.ca/drugs/DB00399	http://www.disease-ontology.org/term/DOID%3A263	True
Zoledronate	prostate cancer	NOT	SYM					http://www.drugbank.ca/drugs/DB00399	http://www.disease-ontology.org/term/DOID%3A10283	True
Zolpidem	Parkinson's disease	SYM	NOT					http://www.drugbank.ca/drugs/DB00425	http://www.disease-ontology.org/term/DOID%3A14330	True
Zolpidem	multiple sclerosis	SYM	NOT					http://www.drugbank.ca/drugs/DB00425	http://www.disease-ontology.org/term/DOID%3A2377	True
Zopiclone	multiple sclerosis	SYM	NOT		insomnia			http://www.drugbank.ca/drugs/DB01198	http://www.disease-ontology.org/term/DOID%3A2377	True
Zopiclone	schizophrenia	SYM	NOT					http://www.drugbank.ca/drugs/DB01198	http://www.disease-ontology.org/term/DOID%3A5419	True
Abacavir	acquired immunodeficiency syndrome	DM	DM					http://www.drugbank.ca/drugs/DB01048	http://www.disease-ontology.org/term/DOID%3A635	False
Abiraterone	prostate cancer	DM	DM					http://www.drugbank.ca/drugs/DB05812	http://www.disease-ontology.org/term/DOID%3A10283	False
Acamprosate	alcohol dependence	DM	DM		(works as well as naltrexone)			http://www.drugbank.ca/drugs/DB00659	http://www.disease-ontology.org/term/DOID%3A0050741	False
Acetaminophen	migraine	SYM	SYM					http://www.drugbank.ca/drugs/DB00316	http://www.disease-ontology.org/term/DOID%3A6364	False
Acetaminophen	osteoarthritis	SYM	SYM					http://www.drugbank.ca/drugs/DB00316	http://www.disease-ontology.org/term/DOID%3A8398	False
Acetazolamide	glaucoma	DM	DM					http://www.drugbank.ca/drugs/DB00819	http://www.disease-ontology.org/term/DOID%3A1686	False
Acetophenazine	schizophrenia	SYM	SYM					http://www.drugbank.ca/drugs/DB01063	http://www.disease-ontology.org/term/DOID%3A5419	False
Acetylcysteine	chronic obstructive pulmonary disease	DM	DM					http://www.drugbank.ca/drugs/DB06151	http://www.disease-ontology.org/term/DOID%3A3083	False
Acetylsalicylic acid	Kawasaki disease	DM	DM					http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A13378	False
Acetylsalicylic acid	coronary artery disease	DM	DM					http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A3393	False
Acetylsalicylic acid	hypertension	NOT	NOT					http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A10763	False
Acetylsalicylic acid	migraine	SYM	SYM					http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A6364	False
Acetylsalicylic acid	rheumatoid arthritis	SYM	SYM					http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A7148	False
Acetylsalicylic acid	systemic lupus erythematosus	DM	DM		not really confident about this one. 			http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A9074	False
Adefovir Dipivoxil	hepatitis B	DM	DM					http://www.drugbank.ca/drugs/DB00718	http://www.disease-ontology.org/term/DOID%3A2043	False
Alendronate	Paget's disease of bone	DM	DM					http://www.drugbank.ca/drugs/DB00630	http://www.disease-ontology.org/term/DOID%3A5408	False
Alendronate	breast cancer	NOT	NOT		fosamax may lower risk of breast cancer but doesn’t treat it			http://www.drugbank.ca/drugs/DB00630	http://www.disease-ontology.org/term/DOID%3A1612	False
Alendronate	osteoporosis	DM	DM					http://www.drugbank.ca/drugs/DB00630	http://www.disease-ontology.org/term/DOID%3A11476	False
Allopurinol	gout	DM	DM					http://www.drugbank.ca/drugs/DB00437	http://www.disease-ontology.org/term/DOID%3A13189	False
Allopurinol	hematologic cancer	NOT	NOT					http://www.drugbank.ca/drugs/DB00437	http://www.disease-ontology.org/term/DOID%3A2531	False
Almotriptan	migraine	SYM	SYM					http://www.drugbank.ca/drugs/DB00918	http://www.disease-ontology.org/term/DOID%3A6364	False
Alprazolam	panic disorder	SYM	SYM					http://www.drugbank.ca/drugs/DB00404	http://www.disease-ontology.org/term/DOID%3A594	False
Alprazolam	systemic scleroderma	SYM	SYM		Pilot classification: symptomatic; Pilot notes:			http://www.drugbank.ca/drugs/DB00404	http://www.disease-ontology.org/term/DOID%3A418	False
Alprostadil	hypertension	NOT	NOT		can be used for ED			http://www.drugbank.ca/drugs/DB00770	http://www.disease-ontology.org/term/DOID%3A10763	False
Altretamine	ovarian cancer	DM	DM					http://www.drugbank.ca/drugs/DB00488	http://www.disease-ontology.org/term/DOID%3A2394	False
Amantadine	multiple sclerosis	SYM	SYM		fatigue in MS			http://www.drugbank.ca/drugs/DB00915	http://www.disease-ontology.org/term/DOID%3A2377	False
Aminocaproic Acid	anemia	NOT	NOT		give amicar in hemorrhage, not spec for anemia			http://www.drugbank.ca/drugs/DB00513	http://www.disease-ontology.org/term/DOID%3A2355	False
Aminocaproic Acid	prostate cancer	NOT	NOT		to prevent bleeding after TURP			http://www.drugbank.ca/drugs/DB00513	http://www.disease-ontology.org/term/DOID%3A10283	False
Aminophylline	asthma	SYM	SYM					http://www.drugbank.ca/drugs/DB01223	http://www.disease-ontology.org/term/DOID%3A2841	False
Aminophylline	chronic obstructive pulmonary disease	SYM	SYM					http://www.drugbank.ca/drugs/DB01223	http://www.disease-ontology.org/term/DOID%3A3083	False
Amitriptyline	endogenous depression	SYM	SYM					http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A1595	False
Amitriptyline	multiple sclerosis	SYM	SYM		SYM or NOT			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A2377	False
Amlodipine	hypertension	DM	DM					http://www.drugbank.ca/drugs/DB00381	http://www.disease-ontology.org/term/DOID%3A10763	False
Amobarbital	epilepsy syndrome	SYM	SYM					http://www.drugbank.ca/drugs/DB01351	http://www.disease-ontology.org/term/DOID%3A1826	False
Amphetamine	attention deficit hyperactivity disorder	SYM	SYM					http://www.drugbank.ca/drugs/DB00182	http://www.disease-ontology.org/term/DOID%3A1094	False
Amphetamine	narcolepsy	SYM	SYM					http://www.drugbank.ca/drugs/DB00182	http://www.disease-ontology.org/term/DOID%3A8986	False
Amprenavir	acquired immunodeficiency syndrome	DM	DM					http://www.drugbank.ca/drugs/DB00701	http://www.disease-ontology.org/term/DOID%3A635	False
Anagrelide	hematologic cancer	DM	DM					http://www.drugbank.ca/drugs/DB00261	http://www.disease-ontology.org/term/DOID%3A2531	False
Anastrozole	breast cancer	DM	DM					http://www.drugbank.ca/drugs/DB01217	http://www.disease-ontology.org/term/DOID%3A1612	False
Antipyrine	migraine	SYM	SYM					http://www.drugbank.ca/drugs/DB01435	http://www.disease-ontology.org/term/DOID%3A6364	False
Apomorphine	Parkinson's disease	SYM	SYM					http://www.drugbank.ca/drugs/DB00714	http://www.disease-ontology.org/term/DOID%3A14330	False
Apraclonidine	glaucoma	DM	DM					http://www.drugbank.ca/drugs/DB00964	http://www.disease-ontology.org/term/DOID%3A1686	False
Aprepitant	breast cancer	SYM	SYM					http://www.drugbank.ca/drugs/DB00673	http://www.disease-ontology.org/term/DOID%3A1612	False
Aprepitant	colon cancer	SYM	SYM					http://www.drugbank.ca/drugs/DB00673	http://www.disease-ontology.org/term/DOID%3A219	False
Aripiprazole	autistic disorder	SYM	SYM					http://www.drugbank.ca/drugs/DB01238	http://www.disease-ontology.org/term/DOID%3A12849	False
Aripiprazole	bipolar disorder	SYM	SYM					http://www.drugbank.ca/drugs/DB01238	http://www.disease-ontology.org/term/DOID%3A3312	False
Aripiprazole	endogenous depression	SYM	SYM					http://www.drugbank.ca/drugs/DB01238	http://www.disease-ontology.org/term/DOID%3A1595	False
Aripiprazole	schizophrenia	SYM	SYM					http://www.drugbank.ca/drugs/DB01238	http://www.disease-ontology.org/term/DOID%3A5419	False
Artemether	malaria	DM	DM					http://www.drugbank.ca/drugs/DB06697	http://www.disease-ontology.org/term/DOID%3A12365	False
Atomoxetine	attention deficit hyperactivity disorder	SYM	SYM					http://www.drugbank.ca/drugs/DB00289	http://www.disease-ontology.org/term/DOID%3A1094	False
Atomoxetine	autistic disorder	SYM	SYM					http://www.drugbank.ca/drugs/DB00289	http://www.disease-ontology.org/term/DOID%3A12849	False
Atorvastatin	coronary artery disease	DM	DM					http://www.drugbank.ca/drugs/DB01076	http://www.disease-ontology.org/term/DOID%3A3393	False
Atorvastatin	hypertension	DM	DM					http://www.drugbank.ca/drugs/DB01076	http://www.disease-ontology.org/term/DOID%3A10763	False
Atorvastatin	type 2 diabetes mellitus	NOT	NOT					http://www.drugbank.ca/drugs/DB01076	http://www.disease-ontology.org/term/DOID%3A9352	False
Atropine	pancreatitis	NOT	NOT					http://www.drugbank.ca/drugs/DB00572	http://www.disease-ontology.org/term/DOID%3A4989	False
Azathioprine	Crohn's disease	DM	DM					http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A8778	False
Azathioprine	multiple sclerosis	DM	DM					http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A2377	False
Azathioprine	rheumatoid arthritis	DM	DM					http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A7148	False
Azathioprine	systemic lupus erythematosus	DM	DM					http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A9074	False
Azathioprine	systemic scleroderma	DM	DM					http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A418	False
Azathioprine	ulcerative colitis	DM	DM					http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A8577	False
Baclofen	multiple sclerosis	SYM	SYM		Pilot classification: symptomatic; Pilot notes:			http://www.drugbank.ca/drugs/DB00181	http://www.disease-ontology.org/term/DOID%3A2377	False
Balsalazide	Crohn's disease	DM	DM					http://www.drugbank.ca/drugs/DB01014	http://www.disease-ontology.org/term/DOID%3A8778	False
Balsalazide	ulcerative colitis	DM	DM					http://www.drugbank.ca/drugs/DB01014	http://www.disease-ontology.org/term/DOID%3A8577	False
Beclomethasone	asthma	DM	DM					http://www.drugbank.ca/drugs/DB00394	http://www.disease-ontology.org/term/DOID%3A2841	False
Bendroflumethiazide	hypertension	DM	DM					http://www.drugbank.ca/drugs/DB00436	http://www.disease-ontology.org/term/DOID%3A10763	False
Benzatropine	Alzheimer's disease	SYM	SYM					http://www.drugbank.ca/drugs/DB00245	http://www.disease-ontology.org/term/DOID%3A10652	False
Benzatropine	Parkinson's disease	SYM	SYM					http://www.drugbank.ca/drugs/DB00245	http://www.disease-ontology.org/term/DOID%3A14330	False
Benzatropine	autistic disorder	SYM	SYM					http://www.drugbank.ca/drugs/DB00245	http://www.disease-ontology.org/term/DOID%3A12849	False
Benzatropine	schizophrenia	SYM	SYM					http://www.drugbank.ca/drugs/DB00245	http://www.disease-ontology.org/term/DOID%3A5419	False
Benzphetamine	obesity	DM	DM					http://www.drugbank.ca/drugs/DB00865	http://www.disease-ontology.org/term/DOID%3A9970	False
Betamethasone	allergic rhinitis	DM	DM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A4481	False
Betamethasone	anemia	NOT	NOT					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A2355	False
Betamethasone	atopic dermatitis	DM	DM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A3310	False
Betamethasone	brain cancer	SYM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A1319	False
Betamethasone	colon cancer	SYM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A219	False
Betamethasone	hypertension	NOT	NOT					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A10763	False
Betamethasone	kidney cancer	SYM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A263	False
Betamethasone	multiple sclerosis	SYM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A2377	False
Betamethasone	prostate cancer	SYM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A10283	False
Betamethasone	psoriasis	SYM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A8893	False
Betamethasone	psoriatic arthritis	SYM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A9008	False
Betamethasone	rheumatoid arthritis	SYM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A7148	False
Betamethasone	systemic lupus erythematosus	SYM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A9074	False
Betamethasone	ulcerative colitis	SYM	SYM					http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A8577	False
Bexarotene	hematologic cancer	DM	DM					http://www.drugbank.ca/drugs/DB00307	http://www.disease-ontology.org/term/DOID%3A2531	False
Bicalutamide	prostate cancer	DM	DM					http://www.drugbank.ca/drugs/DB01128	http://www.disease-ontology.org/term/DOID%3A10283	False
Biperiden	Parkinson's disease	SYM	SYM					http://www.drugbank.ca/drugs/DB00810	http://www.disease-ontology.org/term/DOID%3A14330	False
Bismuth Subsalicylate	psoriasis	NOT	NOT					http://www.drugbank.ca/drugs/DB01294	http://www.disease-ontology.org/term/DOID%3A8893	False
Bleomycin	germ cell cancer	DM	DM					http://www.drugbank.ca/drugs/DB00290	http://www.disease-ontology.org/term/DOID%3A2994	False
Bleomycin	hematologic cancer	DM	DM					http://www.drugbank.ca/drugs/DB00290	http://www.disease-ontology.org/term/DOID%3A2531	False
Bleomycin	lymphatic system cancer	DM	DM					http://www.drugbank.ca/drugs/DB00290	http://www.disease-ontology.org/term/DOID%3A0060073	False
Bleomycin	melanoma	DM	DM					http://www.drugbank.ca/drugs/DB00290	http://www.disease-ontology.org/term/DOID%3A1909	False
