drug	disease	CSH	AJG	PK	CSH_notes	AJG_notes	PK_notes	google	uptodate	drug_url	disease_url	tie	3-person consensus	pouya agreed with at least one person
Olopatadine	allergic rhinitis	DM	SYM	DM			see note on antihistamines and steroids in allergic rhinitis	https://www.google.com/webhp#q=Olopatadine	http://www.uptodate.com/contents/search?search=Olopatadine	http://www.drugbank.ca/drugs/DB00768	http://www.disease-ontology.org/term/DOID%3A4481	TRUE	FALSE	TRUE
Omeprazole	ankylosing spondylitis	NOT	SYM	NOT			should match esomeprazole	https://www.google.com/webhp#q=Omeprazole	http://www.uptodate.com/contents/search?search=Omeprazole	http://www.drugbank.ca/drugs/DB00338	http://www.disease-ontology.org/term/DOID%3A7147	TRUE	FALSE	TRUE
Ondansetron	alcohol dependence	SYM	NOT	SYM				https://www.google.com/webhp#q=Ondansetron	http://www.uptodate.com/contents/search?search=Ondansetron	http://www.drugbank.ca/drugs/DB00904	http://www.disease-ontology.org/term/DOID%3A0050741	TRUE	FALSE	TRUE
Orciprenaline	asthma	DM	SYM	DM			see notes on asthma	https://www.google.com/webhp#q=Orciprenaline	http://www.uptodate.com/contents/search?search=Orciprenaline	http://www.drugbank.ca/drugs/DB00816	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Orlistat	hypertension	NOT	DM	NOT			"This was a tough call. It is a treatment of obesity. I said it was DM for DM2, but I don't think it is DM for HTN. I think obesity and DM2 are very very clearly intertwined (very rare is a DM2 person who is not obese), but HTN and obesity can certainly be independent (though they do have a moderate degree of association)."	https://www.google.com/webhp#q=Orlistat	http://www.uptodate.com/contents/search?search=Orlistat	http://www.drugbank.ca/drugs/DB01083	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Orlistat	type 2 diabetes mellitus	NOT	DM	DM			"obesity is a biomarker of DM2 progression and controlling obesity will decrease ""downstream biology"" of DM2"	https://www.google.com/webhp#q=Orlistat	http://www.uptodate.com/contents/search?search=Orlistat	http://www.drugbank.ca/drugs/DB01083	http://www.disease-ontology.org/term/DOID%3A9352	TRUE	FALSE	TRUE
Oxandrolone	osteoporosis	SYM	DM	SYM	Pilot classification: symptomatic; Pilot notes: relieves bone pain		see CSH note	https://www.google.com/webhp#q=Oxandrolone	http://www.uptodate.com/contents/search?search=Oxandrolone	http://www.drugbank.ca/drugs/DB00621	http://www.disease-ontology.org/term/DOID%3A11476	TRUE	FALSE	TRUE
Oxaprozin	osteoarthritis	SYM	DM	SYM			"see notes on osteoarthritis, NSAIDs and steroids"	https://www.google.com/webhp#q=Oxaprozin	http://www.uptodate.com/contents/search?search=Oxaprozin	http://www.drugbank.ca/drugs/DB00991	http://www.disease-ontology.org/term/DOID%3A8398	TRUE	FALSE	TRUE
Oxymetazoline	allergic rhinitis	SYM	DM	SYM			only treats a symptom (vasoconstriction) but does not stop the allergic response	https://www.google.com/webhp#q=Oxymetazoline	http://www.uptodate.com/contents/search?search=Oxymetazoline	http://www.drugbank.ca/drugs/DB00935	http://www.disease-ontology.org/term/DOID%3A4481	TRUE	FALSE	TRUE
Pamidronate	breast cancer	NOT	SYM	NOT			see note on bisphosphonates in cancer	https://www.google.com/webhp#q=Pamidronate	http://www.uptodate.com/contents/search?search=Pamidronate	http://www.drugbank.ca/drugs/DB00282	http://www.disease-ontology.org/term/DOID%3A1612	TRUE	FALSE	TRUE
Pamidronate	hematologic cancer	NOT	SYM	NOT			see note on bisphosphonates in cancer	https://www.google.com/webhp#q=Pamidronate	http://www.uptodate.com/contents/search?search=Pamidronate	http://www.drugbank.ca/drugs/DB00282	http://www.disease-ontology.org/term/DOID%3A2531	TRUE	FALSE	TRUE
Paricalcitol	chronic kidney failure	NOT	SYM	SYM	parathy ass't with CKD		"made all of these ""SYM"" to be self-consistent, CSH and AJG usually agreed"	https://www.google.com/webhp#q=Paricalcitol	http://www.uptodate.com/contents/search?search=Paricalcitol	http://www.drugbank.ca/drugs/DB00910	http://www.disease-ontology.org/term/DOID%3A784	TRUE	FALSE	TRUE
Penbutolol	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Penbutolol	http://www.uptodate.com/contents/search?search=Penbutolol	http://www.drugbank.ca/drugs/DB01359	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Penicillamine	primary biliary cirrhosis	DM	NOT	NOT			"ineffective per uptodate ""Overview of the treatment of primary biliary cholangitis (primary biliary cirrhosis)"""	https://www.google.com/webhp#q=Penicillamine	http://www.uptodate.com/contents/search?search=Penicillamine	http://www.drugbank.ca/drugs/DB00859	http://www.disease-ontology.org/term/DOID%3A12236	TRUE	FALSE	TRUE
Penicillin V	periodontitis	NOT	DM	NOT			"only when suppurative, which is a tiny minority of disease"	https://www.google.com/webhp#q=Penicillin V	http://www.uptodate.com/contents/search?search=Penicillin V	http://www.drugbank.ca/drugs/DB00417	http://www.disease-ontology.org/term/DOID%3A824	TRUE	FALSE	TRUE
Pentoxifylline	malaria	NOT	DM	DM		Cerebral malaria	ok agree with AJG but very weak evidence	https://www.google.com/webhp#q=Pentoxifylline	http://www.uptodate.com/contents/search?search=Pentoxifylline	http://www.drugbank.ca/drugs/DB00806	http://www.disease-ontology.org/term/DOID%3A12365	TRUE	FALSE	TRUE
Pergolide	Gilles de la Tourette syndrome	NOT	SYM	SYM	w/d from market		re: CSH comment see ammendment 1	https://www.google.com/webhp#q=Pergolide	http://www.uptodate.com/contents/search?search=Pergolide	http://www.drugbank.ca/drugs/DB01186	http://www.disease-ontology.org/term/DOID%3A11119	TRUE	FALSE	TRUE
Pergolide	Parkinson's disease	NOT	SYM	SYM				https://www.google.com/webhp#q=Pergolide	http://www.uptodate.com/contents/search?search=Pergolide	http://www.drugbank.ca/drugs/DB01186	http://www.disease-ontology.org/term/DOID%3A14330	TRUE	FALSE	TRUE
Perindopril	coronary artery disease	NOT	DM	DM			see notes on coronary artery disease	https://www.google.com/webhp#q=Perindopril	http://www.uptodate.com/contents/search?search=Perindopril	http://www.drugbank.ca/drugs/DB00790	http://www.disease-ontology.org/term/DOID%3A3393	TRUE	FALSE	TRUE
Phenylpropanolamine	obesity	NOT	DM	DM	inc risk stroke in women		ammendment 1	https://www.google.com/webhp#q=Phenylpropanolamine	http://www.uptodate.com/contents/search?search=Phenylpropanolamine	http://www.drugbank.ca/drugs/DB00397	http://www.disease-ontology.org/term/DOID%3A9970	TRUE	FALSE	TRUE
Physostigmine	glaucoma	DM	SYM	DM			see notes on glaucoma	https://www.google.com/webhp#q=Physostigmine	http://www.uptodate.com/contents/search?search=Physostigmine	http://www.drugbank.ca/drugs/DB00981	http://www.disease-ontology.org/term/DOID%3A1686	TRUE	FALSE	TRUE
Pilocarpine	glaucoma	DM	SYM	DM			see notes on glaucoma	https://www.google.com/webhp#q=Pilocarpine	http://www.uptodate.com/contents/search?search=Pilocarpine	http://www.drugbank.ca/drugs/DB01085	http://www.disease-ontology.org/term/DOID%3A1686	TRUE	FALSE	TRUE
Pilocarpine	rheumatoid arthritis	NOT	SYM	NOT			consider RA as separate from sjogren's	https://www.google.com/webhp#q=Pilocarpine	http://www.uptodate.com/contents/search?search=Pilocarpine	http://www.drugbank.ca/drugs/DB01085	http://www.disease-ontology.org/term/DOID%3A7148	TRUE	FALSE	TRUE
Pindolol	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Pindolol	http://www.uptodate.com/contents/search?search=Pindolol	http://www.drugbank.ca/drugs/DB00960	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Pioglitazone	type 2 diabetes mellitus	NOT	DM	DM				https://www.google.com/webhp#q=Pioglitazone	http://www.uptodate.com/contents/search?search=Pioglitazone	http://www.drugbank.ca/drugs/DB01132	http://www.disease-ontology.org/term/DOID%3A9352	TRUE	FALSE	TRUE
Pirbuterol	asthma	DM	SYM	DM			see notes on asthma	https://www.google.com/webhp#q=Pirbuterol	http://www.uptodate.com/contents/search?search=Pirbuterol	http://www.drugbank.ca/drugs/DB01291	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Piroxicam	ankylosing spondylitis	SYM	DM	SYM			conflicting evidence whether it actually changes disease progression	https://www.google.com/webhp#q=Piroxicam	http://www.uptodate.com/contents/search?search=Piroxicam	http://www.drugbank.ca/drugs/DB00554	http://www.disease-ontology.org/term/DOID%3A7147	TRUE	FALSE	TRUE
Piroxicam	osteoarthritis	SYM	DM	SYM			"see notes on osteoarthritis, NSAIDs and steroids"	https://www.google.com/webhp#q=Piroxicam	http://www.uptodate.com/contents/search?search=Piroxicam	http://www.drugbank.ca/drugs/DB00554	http://www.disease-ontology.org/term/DOID%3A8398	TRUE	FALSE	TRUE
Piroxicam	rheumatoid arthritis	SYM	DM	SYM			see notes for rheumatoid arthritis steroids	https://www.google.com/webhp#q=Piroxicam	http://www.uptodate.com/contents/search?search=Piroxicam	http://www.drugbank.ca/drugs/DB00554	http://www.disease-ontology.org/term/DOID%3A7148	TRUE	FALSE	TRUE
Plerixafor	hematologic cancer	DM	NOT	NOT		Used after HSCT	used with procedures (apharesis and HSCT)	https://www.google.com/webhp#q=Plerixafor	http://www.uptodate.com/contents/search?search=Plerixafor	http://www.drugbank.ca/drugs/DB06809	http://www.disease-ontology.org/term/DOID%3A2531	TRUE	FALSE	TRUE
Pravastatin	prostate cancer	NOT	DM	NOT				https://www.google.com/webhp#q=Pravastatin	http://www.uptodate.com/contents/search?search=Pravastatin	http://www.drugbank.ca/drugs/DB00175	http://www.disease-ontology.org/term/DOID%3A10283	TRUE	FALSE	TRUE
Prazosin	hypertension	DM	SYM	DM	Pilot classification: disease-modifying; Pilot notes:			https://www.google.com/webhp#q=Prazosin	http://www.uptodate.com/contents/search?search=Prazosin	http://www.drugbank.ca/drugs/DB00457	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Prednisolone	allergic rhinitis	SYM	DM	DM			see note on antihistamines and steroids in allergic rhinitis	https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A4481	TRUE	FALSE	TRUE
Prednisolone	ankylosing spondylitis	SYM	DM	DM	Pilot classification: symptomatic; Pilot notes:			https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A7147	TRUE	FALSE	TRUE
Prednisolone	asthma	SYM	DM	DM			see notes on asthma	https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Prednisolone	atopic dermatitis	SYM	DM	DM			see notes on atopic dermatitis	https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A3310	TRUE	FALSE	TRUE
Prednisolone	chronic obstructive pulmonary disease	SYM	DM	DM	Pilot classification: ? Disease modifying; Pilot notes:		see notes for COPD	https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A3083	TRUE	FALSE	TRUE
Prednisolone	gout	SYM	DM	DM			"typically used for acute flares, but also rarely used for chronic disease (ammendment 3) and therefore by the same rationalization as allopurinol it should be DM"	https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A13189	TRUE	FALSE	TRUE
Prednisolone	rheumatoid arthritis	SYM	DM	DM			see notes for rheumatoid arthritis steroids	https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A7148	TRUE	FALSE	TRUE
Prednisolone	systemic lupus erythematosus	SYM	DM	DM			see notes for lupus	https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A9074	TRUE	FALSE	TRUE
Prednisone	Crohn's disease	SYM	DM	DM				https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A8778	TRUE	FALSE	TRUE
Prednisone	anemia	SYM	NOT	NOT				https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A2355	TRUE	FALSE	TRUE
Prednisone	asthma	SYM	DM	DM			see notes on asthma	https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Prednisone	atopic dermatitis	SYM	DM	DM	Pilot classification: symptomatic; Pilot notes:		see notes on atopic dermatitis	https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A3310	TRUE	FALSE	TRUE
Prednisone	chronic obstructive pulmonary disease	SYM	DM	DM			see notes for COPD	https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A3083	TRUE	FALSE	TRUE
Prednisone	gout	SYM	DM	DM			"typically used for acute flares, but also rarely used for chronic disease (ammendment 3) and therefore by the same rationalization as allopurinol it should be DM"	https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A13189	TRUE	FALSE	TRUE
Prednisone	osteoarthritis	SYM	NOT	SYM			"see notes on osteoarthritis, NSAIDs and steroids"	https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A8398	TRUE	FALSE	TRUE
Prednisone	rheumatoid arthritis	SYM	DM	DM			see notes for rheumatoid arthritis steroids	https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A7148	TRUE	FALSE	TRUE
Prednisone	systemic lupus erythematosus	SYM	DM	DM			see notes for lupus	https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A9074	TRUE	FALSE	TRUE
Prednisone	ulcerative colitis	SYM	DM	DM				https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A8577	TRUE	FALSE	TRUE
Pregabalin	systemic lupus erythematosus	NOT	SYM	SYM				https://www.google.com/webhp#q=Pregabalin	http://www.uptodate.com/contents/search?search=Pregabalin	http://www.drugbank.ca/drugs/DB00230	http://www.disease-ontology.org/term/DOID%3A9074	TRUE	FALSE	TRUE
Prochlorperazine	breast cancer	NOT	SYM	SYM				https://www.google.com/webhp#q=Prochlorperazine	http://www.uptodate.com/contents/search?search=Prochlorperazine	http://www.drugbank.ca/drugs/DB00433	http://www.disease-ontology.org/term/DOID%3A1612	TRUE	FALSE	TRUE
Progesterone	uterine cancer	NOT	DM	DM			see uptodate: Treatment of recurrent or metastatic endometrial cancer	https://www.google.com/webhp#q=Progesterone	http://www.uptodate.com/contents/search?search=Progesterone	http://www.drugbank.ca/drugs/DB00396	http://www.disease-ontology.org/term/DOID%3A363	TRUE	FALSE	TRUE
Propantheline	pancreatitis	SYM	DM	DM			I think it prevents pancreatitis from worsening (if it works as it is supposed to) therefore is DM	https://www.google.com/webhp#q=Propantheline	http://www.uptodate.com/contents/search?search=Propantheline	http://www.drugbank.ca/drugs/DB00782	http://www.disease-ontology.org/term/DOID%3A4989	TRUE	FALSE	TRUE
Propranolol	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Propranolol	http://www.uptodate.com/contents/search?search=Propranolol	http://www.drugbank.ca/drugs/DB00571	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Pseudoephedrine	allergic rhinitis	SYM	DM	SYM			same as oxymetazoline	https://www.google.com/webhp#q=Pseudoephedrine	http://www.uptodate.com/contents/search?search=Pseudoephedrine	http://www.drugbank.ca/drugs/DB00852	http://www.disease-ontology.org/term/DOID%3A4481	TRUE	FALSE	TRUE
Quetiapine	Alzheimer's disease	SYM	NOT	SYM				https://www.google.com/webhp#q=Quetiapine	http://www.uptodate.com/contents/search?search=Quetiapine	http://www.drugbank.ca/drugs/DB01224	http://www.disease-ontology.org/term/DOID%3A10652	TRUE	FALSE	TRUE
Quetiapine	Parkinson's disease	SYM	NOT	NOT			"treats side effects of other drugs, not parkinson symptoms"	https://www.google.com/webhp#q=Quetiapine	http://www.uptodate.com/contents/search?search=Quetiapine	http://www.drugbank.ca/drugs/DB01224	http://www.disease-ontology.org/term/DOID%3A14330	TRUE	FALSE	TRUE
Quinapril	hypertension	DM	SYM	DM	Pilot classification: disease-modifying; Pilot notes:			https://www.google.com/webhp#q=Quinapril	http://www.uptodate.com/contents/search?search=Quinapril	http://www.drugbank.ca/drugs/DB00881	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Quinidine	malaria	NOT	DM	DM				https://www.google.com/webhp#q=Quinidine	http://www.uptodate.com/contents/search?search=Quinidine	http://www.drugbank.ca/drugs/DB00908	http://www.disease-ontology.org/term/DOID%3A12365	TRUE	FALSE	TRUE
Quinidine barbiturate	epilepsy syndrome	SYM	NOT	NOT				https://www.google.com/webhp#q=Quinidine barbiturate	http://www.uptodate.com/contents/search?search=Quinidine barbiturate	http://www.drugbank.ca/drugs/DB01346	http://www.disease-ontology.org/term/DOID%3A1826	TRUE	FALSE	TRUE
Quinidine barbiturate	malaria	NOT	DM	DM				https://www.google.com/webhp#q=Quinidine barbiturate	http://www.uptodate.com/contents/search?search=Quinidine barbiturate	http://www.drugbank.ca/drugs/DB01346	http://www.disease-ontology.org/term/DOID%3A12365	TRUE	FALSE	TRUE
Ramipril	coronary artery disease	NOT	DM	DM			see notes on coronary artery disease	https://www.google.com/webhp#q=Ramipril	http://www.uptodate.com/contents/search?search=Ramipril	http://www.drugbank.ca/drugs/DB00178	http://www.disease-ontology.org/term/DOID%3A3393	TRUE	FALSE	TRUE
Repaglinide	type 2 diabetes mellitus	DM	SYM	DM				https://www.google.com/webhp#q=Repaglinide	http://www.uptodate.com/contents/search?search=Repaglinide	http://www.drugbank.ca/drugs/DB00912	http://www.disease-ontology.org/term/DOID%3A9352	TRUE	FALSE	TRUE
Reserpine	hypertension	NOT	SYM	DM	rarely used		by amendment 1	https://www.google.com/webhp#q=Reserpine	http://www.uptodate.com/contents/search?search=Reserpine	http://www.drugbank.ca/drugs/DB00206	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	FALSE
Rifabutin	acquired immunodeficiency syndrome	NOT	SYM	NOT		Complication of HIV infection	agree with AJG note	https://www.google.com/webhp#q=Rifabutin	http://www.uptodate.com/contents/search?search=Rifabutin	http://www.drugbank.ca/drugs/DB00615	http://www.disease-ontology.org/term/DOID%3A635	TRUE	FALSE	TRUE
Riluzole	amyotrophic lateral sclerosis	SYM	DM	DM	or DM?		"DM but barely efficacious, certainly not SYM"	https://www.google.com/webhp#q=Riluzole	http://www.uptodate.com/contents/search?search=Riluzole	http://www.drugbank.ca/drugs/DB00740	http://www.disease-ontology.org/term/DOID%3A332	TRUE	FALSE	TRUE
Risedronate	breast cancer	NOT	SYM	NOT			see note on bisphosphonates in cancer	https://www.google.com/webhp#q=Risedronate	http://www.uptodate.com/contents/search?search=Risedronate	http://www.drugbank.ca/drugs/DB00884	http://www.disease-ontology.org/term/DOID%3A1612	TRUE	FALSE	TRUE
Ropinirole	Alzheimer's disease	SYM	NOT	SYM				https://www.google.com/webhp#q=Ropinirole	http://www.uptodate.com/contents/search?search=Ropinirole	http://www.drugbank.ca/drugs/DB00268	http://www.disease-ontology.org/term/DOID%3A10652	TRUE	FALSE	TRUE
Ropinirole	multiple sclerosis	SYM	NOT	NOT				https://www.google.com/webhp#q=Ropinirole	http://www.uptodate.com/contents/search?search=Ropinirole	http://www.drugbank.ca/drugs/DB00268	http://www.disease-ontology.org/term/DOID%3A2377	TRUE	FALSE	TRUE
Rosiglitazone	type 2 diabetes mellitus	NOT	DM	DM			by ammendment 1	https://www.google.com/webhp#q=Rosiglitazone	http://www.uptodate.com/contents/search?search=Rosiglitazone	http://www.drugbank.ca/drugs/DB00412	http://www.disease-ontology.org/term/DOID%3A9352	TRUE	FALSE	TRUE
Salicylate-sodium	psoriasis	DM	SYM	SYM			"agree with CSH, see note for discussion"	https://www.google.com/webhp#q=Salicylate-sodium	http://www.uptodate.com/contents/search?search=Salicylate-sodium	http://www.drugbank.ca/drugs/DB01398	http://www.disease-ontology.org/term/DOID%3A8893	TRUE	FALSE	TRUE
Salmeterol	asthma	DM	SYM	DM			see notes on asthma	https://www.google.com/webhp#q=Salmeterol	http://www.uptodate.com/contents/search?search=Salmeterol	http://www.drugbank.ca/drugs/DB00938	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Selegiline	Alzheimer's disease	NOT	SYM	SYM				https://www.google.com/webhp#q=Selegiline	http://www.uptodate.com/contents/search?search=Selegiline	http://www.drugbank.ca/drugs/DB01037	http://www.disease-ontology.org/term/DOID%3A10652	TRUE	FALSE	TRUE
Sildenafil	hypertension	DM	NOT	NOT	pulm htn	NOT FOR ESSENTIAL HTN but DM for pulmonary arterial hypertension	see notes for pulmonary hypertension drugs in HTN	https://www.google.com/webhp#q=Sildenafil	http://www.uptodate.com/contents/search?search=Sildenafil	http://www.drugbank.ca/drugs/DB00203	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Sildenafil	type 1 diabetes mellitus	NOT	DM	SYM			may be DM for DM2 but not for DM1 (http://care.diabetesjournals.org/content/26/2/279.full)	https://www.google.com/webhp#q=Sildenafil	http://www.uptodate.com/contents/search?search=Sildenafil	http://www.drugbank.ca/drugs/DB00203	http://www.disease-ontology.org/term/DOID%3A9744	TRUE	FALSE	FALSE
Sirolimus	prostate cancer	DM	NOT	NOT			only transplant rejection as far as I found	https://www.google.com/webhp#q=Sirolimus	http://www.uptodate.com/contents/search?search=Sirolimus	http://www.drugbank.ca/drugs/DB00877	http://www.disease-ontology.org/term/DOID%3A10283	TRUE	FALSE	TRUE
Solifenacin	multiple sclerosis	SYM	DM	SYM				https://www.google.com/webhp#q=Solifenacin	http://www.uptodate.com/contents/search?search=Solifenacin	http://www.drugbank.ca/drugs/DB01591	http://www.disease-ontology.org/term/DOID%3A2377	TRUE	FALSE	TRUE
Spironolactone	dilated cardiomyopathy	SYM	DM	DM	or DM?		"agreed with AJG, CSH also thought about this"	https://www.google.com/webhp#q=Spironolactone	http://www.uptodate.com/contents/search?search=Spironolactone	http://www.drugbank.ca/drugs/DB00421	http://www.disease-ontology.org/term/DOID%3A12930	TRUE	FALSE	TRUE
Spironolactone	hypertension	NOT	SYM	DM			see notes for diuretics in HTN	https://www.google.com/webhp#q=Spironolactone	http://www.uptodate.com/contents/search?search=Spironolactone	http://www.drugbank.ca/drugs/DB00421	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	FALSE
Streptozocin	hematologic cancer	NOT	DM	NOT			"only for carcinomas per uptodate, mechanism of action does not appear to affect heme cells"	https://www.google.com/webhp#q=Streptozocin	http://www.uptodate.com/contents/search?search=Streptozocin	http://www.drugbank.ca/drugs/DB00428	http://www.disease-ontology.org/term/DOID%3A2531	TRUE	FALSE	TRUE
Sulfadiazine	malaria	NOT	SYM	DM	not used anymore	SUPPORTIVE FOR ANTMALARIAL	amendment 1	https://www.google.com/webhp#q=Sulfadiazine	http://www.uptodate.com/contents/search?search=Sulfadiazine	http://www.drugbank.ca/drugs/DB00359	http://www.disease-ontology.org/term/DOID%3A12365	TRUE	FALSE	FALSE
Tadalafil	chronic obstructive pulmonary disease	NOT	DM	NOT				https://www.google.com/webhp#q=Tadalafil	http://www.uptodate.com/contents/search?search=Tadalafil	http://www.drugbank.ca/drugs/DB00820	http://www.disease-ontology.org/term/DOID%3A3083	TRUE	FALSE	TRUE
Tadalafil	systemic scleroderma	NOT	SYM	SYM				https://www.google.com/webhp#q=Tadalafil	http://www.uptodate.com/contents/search?search=Tadalafil	http://www.drugbank.ca/drugs/DB00820	http://www.disease-ontology.org/term/DOID%3A418	TRUE	FALSE	TRUE
Tamoxifen	pancreatic cancer	NOT	DM	DM		Potnetially	"affects a subset of pancreatic cancers, see uptodate ""Chemotherapy for advanced exocrine pancreatic cancer"""	https://www.google.com/webhp#q=Tamoxifen	http://www.uptodate.com/contents/search?search=Tamoxifen	http://www.drugbank.ca/drugs/DB00675	http://www.disease-ontology.org/term/DOID%3A1793	TRUE	FALSE	TRUE
Temozolomide	melanoma	NOT	DM	DM	in research	ONLY FOR BRAIN METS		https://www.google.com/webhp#q=Temozolomide	http://www.uptodate.com/contents/search?search=Temozolomide	http://www.drugbank.ca/drugs/DB00853	http://www.disease-ontology.org/term/DOID%3A1909	TRUE	FALSE	TRUE
Terazosin	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Terazosin	http://www.uptodate.com/contents/search?search=Terazosin	http://www.drugbank.ca/drugs/DB01162	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Terbutaline	asthma	DM	SYM	DM			see notes on asthma	https://www.google.com/webhp#q=Terbutaline	http://www.uptodate.com/contents/search?search=Terbutaline	http://www.drugbank.ca/drugs/DB00871	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Testosterone	breast cancer	NOT	DM	SYM			in males it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	https://www.google.com/webhp#q=Testosterone	http://www.uptodate.com/contents/search?search=Testosterone	http://www.drugbank.ca/drugs/DB00624	http://www.disease-ontology.org/term/DOID%3A1612	TRUE	FALSE	FALSE
Testosterone Propionate	breast cancer	NOT	DM	SYM			in males it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	https://www.google.com/webhp#q=Testosterone Propionate	http://www.uptodate.com/contents/search?search=Testosterone Propionate	http://www.drugbank.ca/drugs/DB01420	http://www.disease-ontology.org/term/DOID%3A1612	TRUE	FALSE	FALSE
Thalidomide	leprosy	NOT	DM	DM				https://www.google.com/webhp#q=Thalidomide	http://www.uptodate.com/contents/search?search=Thalidomide	http://www.drugbank.ca/drugs/DB01041	http://www.disease-ontology.org/term/DOID%3A1024	TRUE	FALSE	TRUE
Theophylline	asthma	DM	SYM	DM			see notes on asthma	https://www.google.com/webhp#q=Theophylline	http://www.uptodate.com/contents/search?search=Theophylline	http://www.drugbank.ca/drugs/DB00277	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Thioridazine	schizophrenia	NOT	SYM	SYM	withdrawn due to card arrhy		ammendment 1	https://www.google.com/webhp#q=Thioridazine	http://www.uptodate.com/contents/search?search=Thioridazine	http://www.drugbank.ca/drugs/DB00679	http://www.disease-ontology.org/term/DOID%3A5419	TRUE	FALSE	TRUE
