RXCUI_IN,DRUG_DESC,ICD9,INDICATION_DESCRIPTION,POSSIBLE_LABEL_USE
2396,Chlorothiazide,276.69,Other fluid overload,1
2396,Chlorothiazide,276.9,Electrolyte and fluid disorders not elsewhere classified,1
2396,Chlorothiazide,401-405.99,,1
2396,Chlorothiazide,401.9,Hypertension NOS,1
2396,Chlorothiazide,428,Heart failure,1
2396,Chlorothiazide,428.0,Congestive heart failure (CHF) NOS,1
2396,Chlorothiazide,428.9,Heart failure unspecified,1
2396,Chlorothiazide,581,Nephrotic syndrome,1
2396,Chlorothiazide,581.9,Nephrotic syndrome with unspecified pathological lesion in kidney,1
2396,Chlorothiazide,782.3,Edema,1
2396,Chlorothiazide,997.91,Hypertension,1
2397,Chlorotrianisene,239.5,Neoplasm of unspecified nature of other genitourinary organs,0
2397,Chlorotrianisene,253.4,Other anterior pituitary disorders,0
2397,Chlorotrianisene,256.31,Premature menopause,0
2399,Chlorphenesin,338-338.99,,0
2399,Chlorphenesin,728.85,Spasm of muscle,0
2399,Chlorphenesin,728.9,Unspecified disorder of muscle; ligament; and fascia,0
2399,Chlorphenesin,729.1,Myalgia and myositis unspecified,0
2399,Chlorphenesin,729.82,Cramp of limb,0
2399,Chlorphenesin,780.96,Generalized pain,0
2399,Chlorphenesin,781.0,Abnormal involuntary movements,0
2400,Chlorpheniramine,460,Acute nasopharyngitis (common cold),0
2400,Chlorpheniramine,477.9,Allergic rhinitis NOS,0
2400,Chlorpheniramine,708,Urticaria,0
2400,Chlorpheniramine,708.9,Unspecified urticaria,0
2400,Chlorpheniramine,780-789.99,,0
2400,Chlorpheniramine,786.2,Cough,0
2400,Chlorpheniramine,995.3,Allergy unspecified not elsewhere classified,0
2403,Chlorpromazine,037,Tetanus,1
2403,Chlorpromazine,041.84,Other anaerobe infection in conditions classified elsewhere and of unspecified site,1
2403,Chlorpromazine,136.9,Unspecified infectious and parasitic diseases,0
2403,Chlorpromazine,277.1,Disorders of porphyrin metabolism,1
2403,Chlorpromazine,290-299.99,,1
2403,Chlorpromazine,295,Schizophrenic disorders,1
2403,Chlorpromazine,295.9,Unspecified schizophrenia,1
2403,Chlorpromazine,295.90,Unspecified schizophrenia; unspecified state,1
2403,Chlorpromazine,296.00,Manic disorder; single episode; unspecified degree,1
2403,Chlorpromazine,298.8,Other and unspecified reactive psychosis,1
2403,Chlorpromazine,298.9,Unspecified psychosis,1
2403,Chlorpromazine,300.00,Anxiety state unspecified,1
2403,Chlorpromazine,300.9,Unspecified nonpsychotic mental disorder,1
2403,Chlorpromazine,307.9,Other and unspecified special symptoms or syndromes; not elsewhere classified,1
2403,Chlorpromazine,308.2,Predominant psychomotor disturbance,1
2403,Chlorpromazine,311,Depressive disorder NEC,1
2403,Chlorpromazine,780-789.99,,0
2403,Chlorpromazine,786.8,Hiccough,1
2403,Chlorpromazine,787.02,Nausea alone,1
2403,Chlorpromazine,787.03,Vomiting alone,1
2403,Chlorpromazine,799.21,Nervousness (ADDED),1
2404,Chlorpropamide,250.00,type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type; not stated as uncontrolled; without mention of complication,1
2404,Chlorpropamide,251.2,Hypoglycemia NOS,0
2404,Chlorpropamide,790.6,Other abnormal blood chemistry,1
2406,Chlorprothixene,290-299.99,,0
2406,Chlorprothixene,295.3,Paranoid type schizophrenia,0
2406,Chlorprothixene,295.30,Paranoid type schizophrenia; unspecified state,0
2406,Chlorprothixene,298.9,Unspecified psychosis,0
2409,Chlorthalidone,276.6,Fluid overload,1
2409,Chlorthalidone,276.69,Other fluid overload,1
2409,Chlorthalidone,276.9,Electrolyte and fluid disorders not elsewhere classified,0
2409,Chlorthalidone,401-405.99,,1
2409,Chlorthalidone,401.9,Hypertension NOS,1
2409,Chlorthalidone,428,Heart failure,1
2409,Chlorthalidone,428.0,Congestive heart failure (CHF) NOS,1
2409,Chlorthalidone,428.9,Heart failure unspecified,1
2409,Chlorthalidone,458,Hypotension,0
2409,Chlorthalidone,458.9,Hypotension NOS,0
2409,Chlorthalidone,581,Nephrotic syndrome,1
2409,Chlorthalidone,581.9,Nephrotic syndrome with unspecified pathological lesion in kidney,1
2409,Chlorthalidone,585.6,End stage renal disease,1
2409,Chlorthalidone,585.9,Chronic kidney disease; unspecified,1
2409,Chlorthalidone,586,Renal failure unspecified,1
2409,Chlorthalidone,782.3,Edema,1
2409,Chlorthalidone,997.91,Hypertension,1
2410,Chlorzoxazone,338-338.99,,0
2410,Chlorzoxazone,728.85,Spasm of muscle,0
2410,Chlorzoxazone,728.9,Unspecified disorder of muscle; ligament; and fascia,0
2410,Chlorzoxazone,729.1,Myalgia and myositis unspecified,0
2410,Chlorzoxazone,729.82,Cramp of limb,0
2410,Chlorzoxazone,780.96,Generalized pain,0
2410,Chlorzoxazone,781.0,Abnormal involuntary movements,0
2410,Chlorzoxazone,781.99,Other symptoms involving nervous and musculoskeletal systems,1
2418,Cholecalciferol,239.1,Neoplasm of unspecified nature of respiratory system,0
2418,Cholecalciferol,239.2,Neoplasm of unspecified nature of bone; soft tissue; and skin,0
2418,Cholecalciferol,429.2,Cardiovascular disease [ASCVD],0
2418,Cholecalciferol,555.9,Regional enteritis of unspecified site,0
2418,Cholecalciferol,585.6,End stage renal disease,0
2418,Cholecalciferol,585.9,Chronic kidney disease; unspecified,0
2418,Cholecalciferol,586,Renal failure unspecified,0
2418,Cholecalciferol,696.1,Other psoriasis and similar disorders excluding psoriatic arthropathy,0
2418,Cholecalciferol,733.0,Osteoporosis,0
2418,Cholecalciferol,733.00,Osteoporosis NOS,0
2447,Cholestyramine Resin,008.45,Intestinal infection due to clostridium difficile,0
2447,Cholestyramine Resin,272.1,Pure hyperglyceridemia,1
2447,Cholestyramine Resin,272.4,Other and unspecified hyperlipidemia,1
2447,Cholestyramine Resin,410.90,Acute myocardial infarction; unspecified site; episode of care unspecified,1
2447,Cholestyramine Resin,429.9,Heart disease NOS,1
2447,Cholestyramine Resin,440,Atherosclerosis,1
2447,Cholestyramine Resin,447.9,Unspecified disorders of arteries and arterioles,1
2447,Cholestyramine Resin,698.9,Unspecified pruritic disorder,1
2447,Cholestyramine Resin,787.7,Abnormal feces,1
2447,Cholestyramine Resin,787.91,Diarrhea,1
2449,Choline,266.2,Other B-complex deficiencies,0
2449,Choline,338-338.99,,0
2449,Choline,390,Rheumatic fever without mention of heart involvement,0
2449,Choline,390-392.99,,0
2449,Choline,714.0,Rheumatoid arthritis,0
2449,Choline,715.00,Osteoarthrosis; generalized; involving unspecified site,0
2449,Choline,715.9,Osteoarthrosis; unspecified whether generalized or localized,0
2449,Choline,715.90,Osteoarthrosis; unspecified whether generalized or localized; involving unspecified site,0
2449,Choline,780.96,Generalized pain,0
2473,Chondroitin Sulfates,338-338.99,,0
2473,Chondroitin Sulfates,715.00,Osteoarthrosis; generalized; involving unspecified site,0
2473,Chondroitin Sulfates,715.9,Osteoarthrosis; unspecified whether generalized or localized,0
2473,Chondroitin Sulfates,715.90,Osteoarthrosis; unspecified whether generalized or localized; involving unspecified site,0
2473,Chondroitin Sulfates,733.90,Disorder of bone and cartilage; unspecified,0
2473,Chondroitin Sulfates,780.96,Generalized pain,0
2540,Cilastatin,041.9,Bacterial infection; unspecified; in conditions classified elsewhere and of unspecified site,0
2541,Cimetidine,251.5,Abnormality of secretion of gastrin,0
2541,Cimetidine,530.11,Reflux esophagitis,0
2541,Cimetidine,530.81,Esophageal reflux,1
2541,Cimetidine,531,Gastric ulcer,1
2541,Cimetidine,531.90,Gastric ulcer; unspecified as acute or chronic; without mention of hemorrhage or perforation; without mention of obstruction,1
2541,Cimetidine,532,Duodenal ulcer,1
2541,Cimetidine,532.90,Duodenal ulcer; unspecified as acute or chronic; without hemorrhage or perforation; without mention of obstruction,1
2541,Cimetidine,536.8,Dyspepsia and other specified disorders of function of stomach,0
2541,Cimetidine,578,Gastrointestinal hemorrhage,1
2541,Cimetidine,578.9,Hemorrhage of gastrointestinal tract NOS,1
2541,Cimetidine,707.9,Chronic ulcer of unspecified site,1
2541,Cimetidine,708,Urticaria,0
2541,Cimetidine,708.9,Unspecified urticaria,0
2541,Cimetidine,787.1,Heartburn,0
2550,Cinoxacin,599.0,Urinary tract infection; site not specified,1
2551,Ciprofloxacin,002.0,Typhoid fever,1
2551,Ciprofloxacin,008.43,Intestinal infection due to campylobacter,0
2551,Ciprofloxacin,009.0,Infectious colitis; enteritis; and gastroenteritis,1
2551,Ciprofloxacin,009.2,Infectious diarrhea,1
2551,Ciprofloxacin,022,Anthrax,1
2551,Ciprofloxacin,022.1,Pulmonary anthrax,1
2551,Ciprofloxacin,022.9,Anthrax NOS,1
2551,Ciprofloxacin,041.10,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,0
2551,Ciprofloxacin,041.49,Other and unspecified Escherichia coli [E. coli],0
2551,Ciprofloxacin,041.6,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,0
2551,Ciprofloxacin,041.7,Pseudomonas infection in conditions classified elsewhere and of unspecified site,1
2551,Ciprofloxacin,041.84,Other anaerobe infection in conditions classified elsewhere and of unspecified site,0
2551,Ciprofloxacin,041.85,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,0
2551,Ciprofloxacin,098,Gonococcal infections,1
2551,Ciprofloxacin,098.89,Gonococcal infection of other specified sites,1
2551,Ciprofloxacin,136.9,Unspecified infectious and parasitic diseases,1
2551,Ciprofloxacin,288.0,Agranulocytosis,1
2551,Ciprofloxacin,288.00,Neutropenia NOS,1
2551,Ciprofloxacin,370.0,Corneal ulcer,1
2551,Ciprofloxacin,370.00,Corneal ulcer NOS,1
2551,Ciprofloxacin,372.03,Other mucopurulent conjunctivitis,1
2551,Ciprofloxacin,372.30,Conjunctivitis NOS,1
2551,Ciprofloxacin,380.10,Infective otitis externa; unspecified,1
2551,Ciprofloxacin,382.9,Unspecified otitis media,1
2551,Ciprofloxacin,461.9,Acute sinusitis NOS,1
2551,Ciprofloxacin,484.5,Pneumonia in anthrax,1
2551,Ciprofloxacin,490,Bronchitis NOS,1
2551,Ciprofloxacin,491,Chronic bronchitis,1
2551,Ciprofloxacin,491.9,Chronic bronchitis NOS,1
2551,Ciprofloxacin,519.8,Other diseases of respiratory system; not elsewhere classified,1
2551,Ciprofloxacin,590.80,Pyelonephritis NOS,1
2551,Ciprofloxacin,595,Cystitis,1
2551,Ciprofloxacin,595.9,Cystitis NOS,1
2551,Ciprofloxacin,599.0,Urinary tract infection; site not specified,1
2551,Ciprofloxacin,601,Inflammatory diseases of prostate,1
2551,Ciprofloxacin,601.9,Prostatitis NOS,1
2551,Ciprofloxacin,686.8|041.9,,0
2551,Ciprofloxacin,716.9,Arthropathy; unspecified,1
2551,Ciprofloxacin,716.90,Arthropathy; unspecified; site unspecified,1
2551,Ciprofloxacin,719.9,Unspecified disorder of joint,1
2551,Ciprofloxacin,719.90,Unspecified disorder of joint site unspecified,1
2551,Ciprofloxacin,730.2,Unspecified osteomyelitis,0
2551,Ciprofloxacin,730.20,Unspecified osteomyelitis; site unspecified,0
2551,Ciprofloxacin,780.60,Fever; unspecified,1
2555,Cisplatin,150.9,Malignant neoplasm of esophagus; unspecified,1
2555,Cisplatin,162.9,Malignant neoplasm of bronchus and lung; unspecified,1
2555,Cisplatin,170.9,Malignant neoplasm of bone and articular cartilage; site unspecified,1
2555,Cisplatin,171.9,Malignant neoplasm of connective and other soft tissue; site unspecified,1
2555,Cisplatin,180.9,Malignant neoplasm of cervix uteri; unspecified,1
2555,Cisplatin,183.0,Malignant neoplasm of ovary,1
2555,Cisplatin,186,Malignant neoplasm of testis,1
2555,Cisplatin,186.9,Malignant neoplasm of other and unspecified testis,1
2555,Cisplatin,188,Malignant neoplasm of bladder,1
2555,Cisplatin,188.9,Malignant neoplasm of bladder; part unspecified,1
2555,Cisplatin,191.9,Malignant neoplasm of brain; unspecified,1
2555,Cisplatin,195.0,Malignant neoplasm of head; face; and neck,1
2555,Cisplatin,199,Malignant neoplasm without specification of site,1
2555,Cisplatin,199.1,Other malignant neoplasm of unspecified site,1
2555,Cisplatin,201,Hodgkin's disease,0
2555,Cisplatin,201.0,Hodgkin's paragranuloma,0
2555,Cisplatin,201.1,Hodgkin's granuloma,0
2555,Cisplatin,201.10,Hodgkin's granuloma; unspecified site; extranodal and solid organ sites,0
2555,Cisplatin,201.2,Hodgkin's sarcoma,0
2555,Cisplatin,201.20,Hodgkin's sarcoma; unspecified site; extranodal and solid organ sites,0
2555,Cisplatin,201.9,Hodgkin's disease; unspecified type,0
2555,Cisplatin,201.90,Hodgkin's disease; unspecified type; unspecified site; extranodal and solid organ sites,0
2555,Cisplatin,202.80,Other malignant lymphomas; unspecified site; extranodal and solid organ sites,1
2555,Cisplatin,203.0,Multiple myeloma,0
2555,Cisplatin,203.00,Multiple myeloma without mention of having achieved remission,0
2555,Cisplatin,209.20,Malignant carcinoid tumor of unknown primary site,0
2555,Cisplatin,239.0,Neoplasm of unspecified nature of digestive system,0
2555,Cisplatin,239.1,Neoplasm of unspecified nature of respiratory system,0
2555,Cisplatin,239.3,Neoplasm of unspecified nature of breast,0
2555,Cisplatin,239.4,Neoplasm of unspecified nature of bladder,0
2555,Cisplatin,239.5,Neoplasm of unspecified nature of other genitourinary organs,1
2556,Citalopram,250.6,Diabetes with neurological manifestations,0
2556,Citalopram,290,Dementias,0
2556,Citalopram,294.2,,0
2556,Citalopram,294.20,Dementia; unspecified; without behavioral disturbance,0
2556,Citalopram,296.20,Major depressive disorder; single episode; unspecified degree,1
2556,Citalopram,300.00,Anxiety state unspecified,0
2556,Citalopram,300.01,Panic disorder without agoraphobia,0
2556,Citalopram,300.3,Obsessive-compulsive disorders,0
2556,Citalopram,303,Alcohol dependence syndrome,0
2556,Citalopram,303.90,Other and unspecified alcohol dependence; unspecified drinking behavior,0
2556,Citalopram,305.01,Alcohol abuse; continuous drinking behavior,0
2556,Citalopram,305.1,Tobacco use disorder,0
2556,Citalopram,311,Depressive disorder NEC,1
2556,Citalopram,625.4,Premenstrual tension syndromes,1
2556,Citalopram,780-789.99,,0
2556,Citalopram,797,Senility without mention of psychosis,1
2557,Prilocaine Hydrochloride,338-338.99,,0
2557,Prilocaine Hydrochloride,525.9,Dental disorder NOS,0
2557,Prilocaine Hydrochloride,780.96,Generalized pain,0
2578,Clemastine,477.9,Allergic rhinitis NOS,1
2578,Clemastine,698.9,Unspecified pruritic disorder,1
2578,Clemastine,708,Urticaria,1
2578,Clemastine,708.9,Unspecified urticaria,1
2578,Clemastine,780.60,Fever; unspecified,0
2578,Clemastine,995.3,Allergy unspecified not elsewhere classified,0
2582,Clindamycin,041.00,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,0
2582,Clindamycin,041.10,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,0
2582,Clindamycin,041.84,Other anaerobe infection in conditions classified elsewhere and of unspecified site,0
2582,Clindamycin,041.9|421.0,,1
2582,Clindamycin,084,Malaria,0
2582,Clindamycin,084.2,Quartan malaria,0
2582,Clindamycin,084.6,Malaria NOS,0
2582,Clindamycin,130,Toxoplasmosis,0
2582,Clindamycin,130.9,Toxoplasmosis NOS,0
2582,Clindamycin,131,Trichomoniasis,1
2582,Clindamycin,131.9,Trichomoniasis NOS,1
2582,Clindamycin,136.3,Pneumocystosis,1
2582,Clindamycin,136.9,Unspecified infectious and parasitic diseases,1
2582,Clindamycin,424.90,Endocarditis valve unspecified cause,1
2582,Clindamycin,486,Pneumonia; organism unspecified,1
2582,Clindamycin,519.8,Other diseases of respiratory system; not elsewhere classified,1
2582,Clindamycin,567.9,Peritonitis NOS,1
2582,Clindamycin,616.10|041.9,,1
2582,Clindamycin,706.1,Other acne,1
2582,Clindamycin,730.2,Unspecified osteomyelitis,1
2582,Clindamycin,730.20,Unspecified osteomyelitis; site unspecified,1
2582,Clindamycin,E968.9,ASSAULT NOS,0
2590,Clobetasol,692.9,Contact dermatitis and other eczema; unspecified cause,1
2590,Clobetasol,696.1,Other psoriasis and similar disorders excluding psoriatic arthropathy,1
2590,Clobetasol,709.9,Unspecified disorder of skin and subcutaneous tissue,1
2592,Clofazimine,030,Leprosy,1
2592,Clofazimine,030.0,Lepromatous leprosy,1
2592,Clofazimine,030.3,Borderline leprosy,0
2592,Clofazimine,030.9,Leprosy NOS,1
2592,Clofazimine,031.8,Other specified mycobacterial diseases,0
2592,Clofazimine,686.01,Pyoderma gangrenosum,0
2592,Clofazimine,695.2,Erythema nodosum,1
2596,Clomiphene,256.1,Other ovarian hyperfunction,1
2596,Clomiphene,256.4,Polycystic ovaries,1
2596,Clomiphene,606,Infertility; male,1
2596,Clomiphene,606.9,Male infertility NOS,1
2596,Clomiphene,628,Infertility; female,0
2596,Clomiphene,628.9,Female infertility NOS,0
2597,Clomipramine,300.01,Panic disorder without agoraphobia,0
2597,Clomipramine,300.3,Obsessive-compulsive disorders,1
2597,Clomipramine,311,Depressive disorder NEC,0
2597,Clomipramine,338-338.99,,0
2597,Clomipramine,780.96,Generalized pain,0
2598,Clonazepam,295,Schizophrenic disorders,0
2598,Clonazepam,295.9,Unspecified schizophrenia,0
2598,Clonazepam,295.90,Unspecified schizophrenia; unspecified state,0
2598,Clonazepam,296.80,Bipolar disorder NOS,0
2598,Clonazepam,300.01,Panic disorder without agoraphobia,1
2598,Clonazepam,307.2,Tics,0
2598,Clonazepam,307.20,Tic disorder NOS,0
2598,Clonazepam,333.94,Restless legs syndrome (RLS),0
2598,Clonazepam,345.00,Generalized nonconvulsive epilepsy; without mention of intractable epilepsy,1
2598,Clonazepam,345.10,Generalized convulsive epilepsy; without mention of intractable epilepsy,1
2598,Clonazepam,345.9,Epilepsy; unspecified,1
2598,Clonazepam,345.90,Epilepsy; unspecified; without mention of intractable epilepsy,1
2598,Clonazepam,438.13,Late effects of cerebrovascular disease; dysarthria (ADDED),0
2598,Clonazepam,729.2,Neuralgia; neuritis; and radiculitis; unspecified,0
2598,Clonazepam,780.39,Other convulsions,1
2598,Clonazepam,780.99,Other general symptoms,1
2598,Clonazepam,781.0,Abnormal involuntary movements,1
2598,Clonazepam,781.99,Other symptoms involving nervous and musculoskeletal systems,1
2598,Clonazepam,784.51,Dysarthria (ADDED),0
2599,Clonidine,292.89,Other specified drug-induced mental disorders,0
2599,Clonidine,300.9,Unspecified nonpsychotic mental disorder,1
2599,Clonidine,307.23,Tourette's disorder,0
2599,Clonidine,314,Hyperkinetic syndrome of childhood,1
2599,Clonidine,314.01,Attention deficit disorder of childhood with hyperactivity,1
2599,Clonidine,314.9,Unspecified hyperkinetic syndrome of childhood,1
2599,Clonidine,338-338.99,,1
2599,Clonidine,365,Glaucoma,0
2599,Clonidine,365.9,Glaucoma NOS,0
2599,Clonidine,401-405.99,,1
2599,Clonidine,401.9,Hypertension NOS,1
2599,Clonidine,527.7,Disturbance of salivary secretion,0
2599,Clonidine,625.3,Dysmenorrhea,0
2599,Clonidine,627.2,Symptomatic menopausal or female climacteric states,0
2599,Clonidine,729.2,Neuralgia; neuritis; and radiculitis; unspecified,1
2599,Clonidine,780.96,Generalized pain,1
2599,Clonidine,781.0,Abnormal involuntary movements,0
2599,Clonidine,782.62,Flushing,0
2599,Clonidine,785.0,Tachycardia NOS,0
2599,Clonidine,787.7,Abnormal feces,0
2599,Clonidine,787.91,Diarrhea,0
2599,Clonidine,997.91,Hypertension,1
2607,Clorazepate Dipotassium,291.0,Alcohol withdrawal delirium,0
2607,Clorazepate Dipotassium,300.00,Anxiety state unspecified,0
2607,Clorazepate Dipotassium,345.50,Partial epilepsy without impairment of consciousness without intractable epilepsy,0
2607,Clorazepate Dipotassium,780.39,Other convulsions,0
2623,Clotrimazole,110.3,Dermatophytosis of groin and perianal area,1
2623,Clotrimazole,110.4,Dermatophytosis of foot,1
2623,Clotrimazole,110.5,Dermatophytosis of the body,1
2623,Clotrimazole,112.0,Candidiasis of mouth,0
2623,Clotrimazole,112.1,Candidiasis of vulva and vagina,0
2623,Clotrimazole,112.3,Candidiasis of skin and nails,0
2626,Clozapine,290-299.99,,0
2626,Clozapine,295,Schizophrenic disorders,1
2626,Clozapine,295.9,Unspecified schizophrenia,1
2626,Clozapine,295.90,Unspecified schizophrenia; unspecified state,1
2626,Clozapine,296.80,Bipolar disorder NOS,0
2626,Clozapine,298.9,Unspecified psychosis,0
2626,Clozapine,300.9,Unspecified nonpsychotic mental disorder,1
2635,Coal Tar,690.1,Seborrheic dermatitis,0
2635,Coal Tar,690.10,Seborheic dermatitis; unspecified,0
2635,Coal Tar,696.1,Other psoriasis and similar disorders excluding psoriatic arthropathy,0
2635,Coal Tar,696.5,Other and unspecified pityriasis,0
2635,Coal Tar,706.3,Seborrhea,0
2653,Cocaine,338-338.99,,0
2653,Cocaine,521.0,Dental caries,1
2653,Cocaine,521.00,Dental caries NOS,1
2653,Cocaine,780.96,Generalized pain,0
2653,Cocaine,786.2,Cough,0
2669,Cod Liver Oil,252.0,Hyperparathyroidism,0
2669,Cod Liver Oil,252.00,Hyperparathyroidism NOS,0
2669,Cod Liver Oil,264,Vitamin A deficiency,0
2669,Cod Liver Oil,264.9,Vitamin A deficiency NOS,0
2669,Cod Liver Oil,268,Vitamin D deficiency,0
2669,Cod Liver Oil,268.9,Vitamin d deficiency NOS,0
2669,Cod Liver Oil,275.41,Hypocalcemia,0
2669,Cod Liver Oil,368.6,Night blindness,0
2669,Cod Liver Oil,368.60,Night blindness NOS,0
2669,Cod Liver Oil,372.53,Conjunctival xerosis,0
2669,Cod Liver Oil,579,Intestinal malabsorption,0
2669,Cod Liver Oil,579.9,Unspecified intestinal malabsorption,0
2669,Cod Liver Oil,692.9,Contact dermatitis and other eczema; unspecified cause,0
2669,Cod Liver Oil,696.1,Other psoriasis and similar disorders excluding psoriatic arthropathy,0
2670,Codeine,338-338.99,,1
2670,Codeine,338.18,Other acute postoperative pain,0
2670,Codeine,780.96,Generalized pain,1
2670,Codeine,786.2,Cough,0
2670,Codeine,995.0,Other anaphylactic reaction,0
2672,Codeine Phosphate,338-338.99,,0
2672,Codeine Phosphate,338.18,Other acute postoperative pain,0
2672,Codeine Phosphate,780.96,Generalized pain,0
2672,Codeine Phosphate,786.2,Cough,0
2683,Colchicine,274,Gout,1
2683,Colchicine,274.9,Gout NOS,1
2683,Colchicine,277.3,Amyloidosis,0
2683,Colchicine,277.30,Amyloidosis NOS,0
2683,Colchicine,277.31,Familial Mediterranean fever,1
2683,Colchicine,338-338.99,,1
2683,Colchicine,571.6,Biliary cirrhosis,0
2683,Colchicine,780.60,Fever; unspecified,1
2683,Colchicine,780.96,Generalized pain,1
2685,Colestipol,008.45,Intestinal infection due to clostridium difficile,0
2685,Colestipol,272.1,Pure hyperglyceridemia,0
2685,Colestipol,272.4,Other and unspecified hyperlipidemia,1
2685,Colestipol,429.9,Heart disease NOS,1
2685,Colestipol,440,Atherosclerosis,1
2685,Colestipol,447.9,Unspecified disorders of arteries and arterioles,1
2685,Colestipol,787.7,Abnormal feces,0
2685,Colestipol,787.91,Diarrhea,0
2709,Colistin,041.49,Other and unspecified Escherichia coli [E. coli],0
2709,Colistin,041.7,Pseudomonas infection in conditions classified elsewhere and of unspecified site,0
2709,Colistin,136.9,Unspecified infectious and parasitic diseases,1
2709,Colistin,599.0,Urinary tract infection; site not specified,0
2878,Cortisone,255.41,Glucocorticoid deficiency,1
2878,Cortisone,472.0,Chronic rhinitis,1
2878,Cortisone,493,Asthma,1
2878,Cortisone,493.9,Asthma; unspecified,1
2878,Cortisone,493.90,Asthma; unspecified type; without mention of status asthmaticus,1
2878,Cortisone,716.90,Arthropathy; unspecified; site unspecified,1
2878,Cortisone,799.89,Other ill-defined conditions,1
2878,Cortisone,995.3,Allergy unspecified not elsewhere classified,1
2890,Cosyntropin,255.41,Glucocorticoid deficiency,1
2890,Cosyntropin,255.9,Unspecified disorder of adrenal glands,0
2968,Cyclacillin,041.10,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,0
2968,Cyclacillin,041.2,Pneumococcus infection in conditions classified elsewhere and of unspecified site,0
2968,Cyclacillin,041.85,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,0
2968,Cyclacillin,519.8,Other diseases of respiratory system; not elsewhere classified,0
2968,Cyclacillin,599.0,Urinary tract infection; site not specified,0
2970,Cyclandelate,443.9,Peripheral vascular disease; unspecified,0
2977,Cyclizine,787.02,Nausea alone,0
2977,Cyclizine,787.03,Vomiting alone,0
2977,Cyclizine,994.6,Motion sickness,0
3001,Cyclopentolate,367.51,Paresis of accommodation,1
3001,Cyclopentolate,379.43,Mydriasis (persistent); not due to mydriatics,1
3002,Cyclophosphamide,162.9,Malignant neoplasm of bronchus and lung; unspecified,1
3002,Cyclophosphamide,170.9,Malignant neoplasm of bone and articular cartilage; site unspecified,1
3002,Cyclophosphamide,171.9,Malignant neoplasm of connective and other soft tissue; site unspecified,1
3002,Cyclophosphamide,174.9,Malignant neoplasm of breast (female); unspecified,1
3002,Cyclophosphamide,190.5,Malignant neoplasm of retina,1
3002,Cyclophosphamide,191,Malignant neoplasm of brain,1
3002,Cyclophosphamide,191.9,Malignant neoplasm of brain; unspecified,1
3002,Cyclophosphamide,199,Malignant neoplasm without specification of site,1
3002,Cyclophosphamide,199.1,Other malignant neoplasm of unspecified site,1
3002,Cyclophosphamide,200.2,Burkitt's tumor or lymphoma,0
3002,Cyclophosphamide,200.20,Burkitt's tumor or lymphoma; unspecified site; extranodal and solid organ sites,0
3002,Cyclophosphamide,201,Hodgkin's disease,0
3002,Cyclophosphamide,201.0,Hodgkin's paragranuloma,0
3002,Cyclophosphamide,201.1,Hodgkin's granuloma,0
3002,Cyclophosphamide,201.10,Hodgkin's granuloma; unspecified site; extranodal and solid organ sites,0
3002,Cyclophosphamide,201.2,Hodgkin's sarcoma,0
3002,Cyclophosphamide,201.20,Hodgkin's sarcoma; unspecified site; extranodal and solid organ sites,0
3002,Cyclophosphamide,201.9,Hodgkin's disease; unspecified type,0
3002,Cyclophosphamide,201.90,Hodgkin's disease; unspecified type; unspecified site; extranodal and solid organ sites,0
3002,Cyclophosphamide,202.1,Mycosis fungoides,1
3002,Cyclophosphamide,202.10,Mycosis fungoides; unspecified site; extranodal and solid organ sites,1
3002,Cyclophosphamide,202.80,Other malignant lymphomas; unspecified site; extranodal and solid organ sites,1
3002,Cyclophosphamide,203.0,Multiple myeloma,1
3002,Cyclophosphamide,203.00,Multiple myeloma without mention of having achieved remission,1
3002,Cyclophosphamide,204.1,Lymphoid leukemia; chronic,1
3002,Cyclophosphamide,204.10,Chronic lymphoid leukemia without mention of having achieved remission,1
3002,Cyclophosphamide,205.0,Myeloid leukemia; acute,0
3002,Cyclophosphamide,205.00,Acute myeloid leukemia without mention of having achieved remission,0
3002,Cyclophosphamide,205.1,Myeloid leukemia; chronic,1
3002,Cyclophosphamide,205.10,Chronic myeloid leukemia without mention of having achieved remission,1
3002,Cyclophosphamide,208,Leukemia of unspecified cell type,1
3002,Cyclophosphamide,208.9,Unspecified leukemia,1
3002,Cyclophosphamide,208.90,Unspecified leukemia without mention of having achieved remission,1
3002,Cyclophosphamide,209.20,Malignant carcinoid tumor of unknown primary site,1
3002,Cyclophosphamide,239.1,Neoplasm of unspecified nature of respiratory system,0
3002,Cyclophosphamide,239.3,Neoplasm of unspecified nature of breast,0
3002,Cyclophosphamide,239.5,Neoplasm of unspecified nature of other genitourinary organs,0
3002,Cyclophosphamide,273.3,Macroglobulinemia,1
3002,Cyclophosphamide,275.09,Other disorders of iron metabolism,0
3002,Cyclophosphamide,283.0,Autoimmune hemolytic anemias,0
3002,Cyclophosphamide,284.81,Red cell aplasia (acquired) (adult) (with thymoma),0
