disease	drug	AJG	CSH	PK	AJG_notes	CSH_notes	PK_notes	doid_id	drugbank_id	majority
autistic disorder	Sertraline	SYM	SYM	SYM				DOID:12849	DB01104	SYM
azoospermia	Clomifene	DM	SYM	DM				DOID:14227	DB00882	DM
bipolar disorder	Aripiprazole	SYM	SYM	SYM				DOID:3312	DB01238	SYM
bipolar disorder	Carbamazepine	SYM	SYM	SYM				DOID:3312	DB00564	SYM
bipolar disorder	Chlorpromazine	SYM	SYM	SYM				DOID:3312	DB00477	SYM
bipolar disorder	Citalopram	SYM	SYM	SYM				DOID:3312	DB00215	SYM
bipolar disorder	Clonazepam	NOT	SYM	SYM				DOID:3312	DB01068	SYM
bipolar disorder	Clozapine	SYM	SYM	SYM				DOID:3312	DB00363	SYM
bipolar disorder	Duloxetine	SYM	SYM	SYM				DOID:3312	DB00476	SYM
bipolar disorder	Escitalopram	SYM	SYM	SYM				DOID:3312	DB01175	SYM
bipolar disorder	Gabapentin	SYM	SYM	SYM				DOID:3312	DB00996	SYM
bipolar disorder	Lamotrigine	SYM	SYM	SYM				DOID:3312	DB00555	SYM
bipolar disorder	Olanzapine	SYM	SYM	SYM				DOID:3312	DB00334	SYM
bipolar disorder	Oxcarbazepine	SYM	SYM	SYM				DOID:3312	DB00776	SYM
bipolar disorder	Paroxetine	SYM	SYM	SYM				DOID:3312	DB00715	SYM
bipolar disorder	Quetiapine	SYM	SYM	SYM				DOID:3312	DB01224	SYM
bipolar disorder	Risperidone	SYM	SYM	SYM				DOID:3312	DB00734	SYM
bipolar disorder	Tiagabine	NOT	SYM	SYM		Pilot classification: disease-modifying; Pilot notes:	though very little evidence	DOID:3312	DB00906	SYM
bipolar disorder	Topiramate	SYM	SYM	SYM				DOID:3312	DB00273	SYM
bipolar disorder	Trazodone	SYM	SYM	SYM				DOID:3312	DB00656	SYM
bipolar disorder	Valproic Acid	SYM	SYM	SYM				DOID:3312	DB00313	SYM
bipolar disorder	Ziprasidone	SYM	SYM	SYM				DOID:3312	DB00246	SYM
bone cancer	Carboplatin	DM	DM	DM				DOID:184	DB00958	DM
bone cancer	Cisplatin	DM	DM	DM				DOID:184	DB00515	DM
bone cancer	Doxorubicin	DM	DM	DM				DOID:184	DB00997	DM
bone cancer	Epirubicin	DM	DM	DM				DOID:184	DB00445	DM
bone cancer	Leucovorin	DM	SYM	NOT		an adjuvant med for chemo	treats symptoms of chemo, not symptoms of disease	DOID:184	DB00650	
bone cancer	Methotrexate	DM	DM	DM				DOID:184	DB00563	DM
bone cancer	Zoledronate	SYM	DM	NOT			see note on bisphosphonates in cancer	DOID:184	DB00399	
brain cancer	Betamethasone	SYM	SYM	SYM				DOID:1319	DB00443	SYM
brain cancer	Carboplatin	DM	DM	DM				DOID:1319	DB00958	DM
brain cancer	Carmustine	DM	DM	DM				DOID:1319	DB00262	DM
brain cancer	Dexamethasone	SYM	SYM	SYM				DOID:1319	DB01234	SYM
brain cancer	Etoposide	DM	DM	DM				DOID:1319	DB00773	DM
brain cancer	Hydroxyurea	DM	DM	DM				DOID:1319	DB01005	DM
brain cancer	Lomustine	DM	DM	DM				DOID:1319	DB01206	DM
brain cancer	Methylprednisolone	SYM	SYM	SYM				DOID:1319	DB00959	SYM
brain cancer	Mifepristone	NOT	NOT	NOT				DOID:1319	DB00834	NOT
brain cancer	Procarbazine	DM	DM	DM				DOID:1319	DB01168	DM
brain cancer	Temozolomide	DM	DM	DM				DOID:1319	DB00853	DM
brain cancer	Triamcinolone	NOT	SYM	SYM			see notes on steroids in cancers	DOID:1319	DB00620	SYM
breast cancer	Alendronate	NOT	NOT	NOT		fosamax may lower risk of breast cancer but doesn’t treat it	see note on bisphosphonates in cancer	DOID:1612	DB00630	NOT
breast cancer	Anastrozole	DM	DM	DM				DOID:1612	DB01217	DM
breast cancer	Aprepitant	SYM	SYM	SYM				DOID:1612	DB00673	SYM
breast cancer	Betamethasone	NOT	SYM	SYM	supportive		see notes on steroids in cancers	DOID:1612	DB00443	SYM
breast cancer	Capecitabine	DM	DM	DM				DOID:1612	DB01101	DM
breast cancer	Carboplatin	DM	DM	DM				DOID:1612	DB00958	DM
breast cancer	Chlorambucil	DM	DM	DM				DOID:1612	DB00291	DM
breast cancer	Conjugated Estrogens	DM	NOT	SYM			it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	DOID:1612	DB00286	
breast cancer	Dexamethasone	NOT	SYM	SYM	Helps with side effects of meds		see notes on steroids in cancers	DOID:1612	DB01234	SYM
breast cancer	Dexrazoxane	SYM	NOT	NOT			prevents side effect of med	DOID:1612	DB00380	NOT
breast cancer	Docetaxel	DM	DM	DM				DOID:1612	DB01248	DM
breast cancer	Doxorubicin	DM	DM	DM				DOID:1612	DB00997	DM
breast cancer	Epirubicin	DM	DM	DM				DOID:1612	DB00445	DM
breast cancer	Eribulin	DM	DM	DM				DOID:1612	DB08871	DM
breast cancer	Estradiol	NOT	DM	SYM	Worsens		it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	DOID:1612	DB00783	
breast cancer	Estradiol valerate/Dienogest	DM	DM	SYM			it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	DOID:1612	DB08866	DM
breast cancer	Estrone	DM	NOT	SYM			it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	DOID:1612	DB00655	
breast cancer	Ethinyl Estradiol	DM	DM	SYM		Pilot classification: disease-modifying; Pilot notes: estrogens can stimulate progression of ER+BrCa but high-dose estrogens may suppress their growth	it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	DOID:1612	DB00977	DM
breast cancer	Exemestane	DM	DM	DM				DOID:1612	DB00990	DM
breast cancer	Fluorouracil	DM	DM	DM				DOID:1612	DB00544	DM
breast cancer	Fluoxymesterone	NOT	DM	DM	Old therapy		noted AJG comment but see ammendment 1	DOID:1612	DB01185	DM
breast cancer	Fulvestrant	DM	DM	DM				DOID:1612	DB00947	DM
breast cancer	Gemcitabine	DM	DM	DM				DOID:1612	DB00441	DM
breast cancer	Goserelin	DM	DM	DM				DOID:1612	DB00014	DM
breast cancer	Idarubicin	DM	DM	DM				DOID:1612	DB01177	DM
breast cancer	Irinotecan	DM	DM	DM				DOID:1612	DB00762	DM
breast cancer	Ixabepilone	DM	DM	DM				DOID:1612	DB04845	DM
breast cancer	Lapatinib	DM	DM	DM				DOID:1612	DB01259	DM
breast cancer	Letrozole	DM	DM	DM				DOID:1612	DB01006	DM
breast cancer	Medroxyprogesterone Acetate	NOT	NOT	SYM			it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	DOID:1612	DB00603	NOT
breast cancer	Megestrol acetate	DM	DM	SYM			it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	DOID:1612	DB00351	DM
breast cancer	Melphalan	DM	NOT	DM				DOID:1612	DB01042	DM
breast cancer	Methotrexate	DM	DM	DM				DOID:1612	DB00563	DM
breast cancer	Methyltestosterone	NOT	DM	SYM	Risk		it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	DOID:1612	DB06710	
breast cancer	Mitoxantrone	NOT	DM	DM			used in advanced disease	DOID:1612	DB01204	DM
breast cancer	Paclitaxel	DM	DM	DM				DOID:1612	DB01229	DM
breast cancer	Pamidronate	SYM	NOT	NOT			see note on bisphosphonates in cancer	DOID:1612	DB00282	NOT
breast cancer	Potassium Chloride	NOT	NOT	NOT				DOID:1612	DB00761	NOT
breast cancer	Prochlorperazine	SYM	NOT	SYM				DOID:1612	DB00433	SYM
breast cancer	Raloxifene	DM	DM	DM	with ER+ postive tumor			DOID:1612	DB00481	DM
breast cancer	Risedronate	SYM	NOT	NOT			see note on bisphosphonates in cancer	DOID:1612	DB00884	NOT
breast cancer	Tamoxifen	DM	DM	DM				DOID:1612	DB00675	DM
breast cancer	Testosterone	DM	NOT	SYM			in males it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	DOID:1612	DB00624	
breast cancer	Testosterone Propionate	DM	NOT	SYM			in males it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	DOID:1612	DB01420	
breast cancer	Thiotepa	DM	DM	DM				DOID:1612	DB04572	DM
breast cancer	Tiludronate	SYM	NOT	NOT			see note on bisphosphonates in cancer	DOID:1612	DB01133	NOT
breast cancer	Toremifene	DM	DM	DM				DOID:1612	DB00539	DM
breast cancer	Vinblastine	DM	DM	DM				DOID:1612	DB00570	DM
breast cancer	Vinorelbine	DM	DM	DM				DOID:1612	DB00361	DM
breast cancer	Zoledronate	SYM	NOT	NOT	Helps with secondary effects of many cancers		see note on bisphosphonates in cancer	DOID:1612	DB00399	NOT
cervical cancer	Topotecan	DM	DM	DM				DOID:4362	DB01030	DM
chronic kidney failure	Bumetanide	SYM	SYM	SYM				DOID:784	DB00887	SYM
chronic kidney failure	Calcitriol	SYM	SYM	SYM			"made all of these ""SYM"" to be self-consistent, CSH and AJG usually agreed"	DOID:784	DB00136	SYM
chronic kidney failure	Calcium Acetate	NOT	SYM	SYM	Treats side effect		"made all of these ""SYM"" to be self-consistent, CSH and AJG usually agreed"	DOID:784	DB00258	SYM
chronic kidney failure	Cephalexin	NOT	NOT	NOT	Used to treat complication of chronic dialysis			DOID:784	DB00567	NOT
chronic kidney failure	Cholecalciferol	NOT	SYM	SYM	This is downstream biology intended to help with Vit D metabolism in patients's with renal failure		"made all of these ""SYM"" to be self-consistent, CSH and AJG usually agreed"	DOID:784	DB00169	SYM
chronic kidney failure	Cinacalcet	NOT	SYM	SYM	This is to treat hypoparathyroidism associated with renal disease		"made all of these ""SYM"" to be self-consistent, CSH and AJG usually agreed"	DOID:784	DB01012	SYM
chronic kidney failure	Deferoxamine	NOT	SYM	SYM	Used to treat side effect		"made all of these ""SYM"" to be self-consistent, CSH and AJG usually agreed"	DOID:784	DB00746	SYM
chronic kidney failure	Ethacrynic acid	SYM	SYM	SYM				DOID:784	DB00903	SYM
chronic kidney failure	Furosemide	SYM	SYM	SYM				DOID:784	DB00695	SYM
chronic kidney failure	Paricalcitol	SYM	NOT	SYM		parathy ass't with CKD	"made all of these ""SYM"" to be self-consistent, CSH and AJG usually agreed"	DOID:784	DB00910	SYM
chronic kidney failure	Torasemide	SYM	SYM	SYM				DOID:784	DB00214	SYM
chronic obstructive pulmonary disease	Acetylcysteine	DM	DM	SYM			mucolytic, does not affect disease biology	DOID:3083	DB06151	DM
chronic obstructive pulmonary disease	Aminophylline	SYM	SYM	DM			see notes for COPD	DOID:3083	DB01223	SYM
chronic obstructive pulmonary disease	Arformoterol	SYM	DM	DM			see notes for COPD	DOID:3083	DB01274	DM
chronic obstructive pulmonary disease	Ciprofloxacin	NOT	SYM	SYM			see notes for COPD	DOID:3083	DB00537	SYM
chronic obstructive pulmonary disease	Doxycycline	NOT	SYM	SYM		tough decision	agree with CSH note	DOID:3083	DB00254	SYM
chronic obstructive pulmonary disease	Formoterol	SYM	DM	DM			see notes for COPD	DOID:3083	DB00983	DM
chronic obstructive pulmonary disease	Levofloxacin	NOT	NOT	SYM			see notes for COPD	DOID:3083	DB01137	NOT
chronic obstructive pulmonary disease	Montelukast	DM	DM	DM			see notes for COPD	DOID:3083	DB00471	DM
chronic obstructive pulmonary disease	Moxifloxacin	SYM	NOT	SYM			similar to doxycycline	DOID:3083	DB00218	SYM
chronic obstructive pulmonary disease	Nicotine	NOT	NOT	NOT				DOID:3083	DB00184	NOT
chronic obstructive pulmonary disease	Ofloxacin	NOT	NOT	SYM	USED TO TREAT COMPLICATION OR PREVENT INFECTION		similar to doxycycline	DOID:3083	DB01165	NOT
chronic obstructive pulmonary disease	Prednisolone	DM	SYM	DM		Pilot classification: ? Disease modifying; Pilot notes:	see notes for COPD	DOID:3083	DB00860	DM
chronic obstructive pulmonary disease	Prednisone	DM	SYM	DM			see notes for COPD	DOID:3083	DB00635	DM
chronic obstructive pulmonary disease	Roflumilast	DM	DM	DM			see notes for COPD	DOID:3083	DB01656	DM
chronic obstructive pulmonary disease	Salbutamol	SYM	SYM	DM			see notes for COPD	DOID:3083	DB01001	SYM
chronic obstructive pulmonary disease	Tadalafil	DM	NOT	NOT				DOID:3083	DB00820	NOT
chronic obstructive pulmonary disease	Tiotropium	SYM	DM	DM			see notes for COPD	DOID:3083	DB01409	DM
chronic obstructive pulmonary disease	WF10	NOT	NOT	NOT		in research	though it may actually be DM!	DOID:3083	DB05389	NOT
chronic obstructive pulmonary disease	Zolpidem	NOT	NOT	NOT				DOID:3083	DB00425	NOT
colon cancer	Aprepitant	SYM	SYM	SYM				DOID:219	DB00673	SYM
colon cancer	Betamethasone	SYM	SYM	SYM				DOID:219	DB00443	SYM
colon cancer	Busulfan	DM	NOT	NOT			only for heme-cancers	DOID:219	DB01008	NOT
colon cancer	Capecitabine	DM	DM	DM				DOID:219	DB01101	DM
colon cancer	Celecoxib	NOT	SYM	SYM				DOID:219	DB00482	SYM
colon cancer	Cytarabine	DM	NOT	NOT			only for heme-cancers as far as I know	DOID:219	DB00987	NOT
colon cancer	Dexamethasone	NOT	SYM	SYM			see notes on steroids in cancers	DOID:219	DB01234	SYM
colon cancer	Fluorouracil	DM	DM	DM				DOID:219	DB00544	DM
colon cancer	Gabapentin	NOT	NOT	NOT				DOID:219	DB00996	NOT
colon cancer	Irinotecan	DM	DM	DM				DOID:219	DB00762	DM
colon cancer	Leucovorin	DM	SYM	NOT				DOID:219	DB00650	
colon cancer	Methotrexate	DM	DM	DM				DOID:219	DB00563	DM
colon cancer	Vincristine	DM	DM	DM				DOID:219	DB00541	DM
conduct disorder	Chlorpromazine	SYM	SYM	SYM				DOID:12995	DB00477	SYM
conduct disorder	Haloperidol	SYM	SYM	SYM				DOID:12995	DB00502	SYM
conduct disorder	Risperidone	SYM	SYM	SYM				DOID:12995	DB00734	SYM
coronary artery disease	Acetylsalicylic acid	DM	DM	DM			see notes on coronary artery disease	DOID:3393	DB00945	DM
coronary artery disease	Amiodarone	SYM	NOT	NOT		treats arrthymias		DOID:3393	DB01118	NOT
coronary artery disease	Amlodipine	SYM	DM	SYM			see notes on coronary artery disease	DOID:3393	DB00381	SYM
coronary artery disease	Atorvastatin	DM	DM	DM				DOID:3393	DB01076	DM
coronary artery disease	Captopril	DM	DM	DM			** I agree with this call by CSF and AJG, why didn't CSH and AJG put all the ACEi as DM?** see notes on coronary artery disease	DOID:3393	DB01197	DM
coronary artery disease	Clopidogrel	DM	DM	DM		Pilot classification: disease-modifying; Pilot notes: helps to prevent disease worsening		DOID:3393	DB00758	DM
coronary artery disease	Dextrothyroxine	NOT	NOT	NOT		Pilot classification: disease-modifying; Pilot notes: cholesterol lowering agent; pulled due to cardiac side effects		DOID:3393	DB00509	NOT
coronary artery disease	Digoxin	NOT	NOT	SYM			per assumption 2	DOID:3393	DB00390	NOT
coronary artery disease	Diltiazem	SYM	NOT	SYM			see notes on coronary artery disease	DOID:3393	DB00343	SYM
coronary artery disease	Dipyridamole	SYM	SYM	SYM			technically SYM could be correct, but I don't think it is used in practice. It's used during stress tests as a diagnostic tool, and used as anti-coag in valve replacement	DOID:3393	DB00975	SYM
coronary artery disease	Dopamine	NOT	NOT	NOT				DOID:3393	DB00988	NOT
coronary artery disease	Enalapril	DM	SYM	DM			see notes on coronary artery disease	DOID:3393	DB00584	DM
coronary artery disease	Eplerenone	DM	DM	DM		DM in pts with CHF to prevent MI		DOID:3393	DB00700	DM
coronary artery disease	Estradiol	DM	NOT	NOT	worsening		the American Heart Association recommends against using postmenopausal hormone therapy to reduce the risk of coronary heart disease or stroke because some studies have shown it appears to not reduce the risk.	DOID:3393	DB00783	NOT
coronary artery disease	Ezetimibe	DM	DM	DM				DOID:3393	DB00973	DM
coronary artery disease	Fenofibrate	DM	DM	DM				DOID:3393	DB01039	DM
coronary artery disease	Furosemide	NOT	SYM	DM			see notes on coronary artery disease	DOID:3393	DB00695	
coronary artery disease	Gemfibrozil	DM	DM	DM				DOID:3393	DB01241	DM
coronary artery disease	Isosorbide Dinitrate	SYM	SYM	SYM				DOID:3393	DB00883	SYM
coronary artery disease	Isosorbide Mononitrate	SYM	SYM	SYM				DOID:3393	DB01020	SYM
coronary artery disease	Levothyroxine	NOT	NOT	NOT				DOID:3393	DB00451	NOT
coronary artery disease	Lidocaine	SYM	SYM	SYM				DOID:3393	DB00281	SYM
coronary artery disease	Liotrix	NOT	NOT	NOT	Treats side effect of treatment			DOID:3393	DB01583	NOT
coronary artery disease	Lisinopril	DM	DM	DM				DOID:3393	DB00722	DM
coronary artery disease	Losartan	DM	DM	DM				DOID:3393	DB00678	DM
coronary artery disease	Lovastatin	DM	DM	DM				DOID:3393	DB00227	DM
coronary artery disease	Morphine	SYM	SYM	SYM		Pilot classification: symptomatic; Pilot notes:		DOID:3393	DB00295	SYM
coronary artery disease	Niacin	SYM	DM	DM			http://www.ncbi.nlm.nih.gov/pubmed/20208032	DOID:3393	DB00627	DM
coronary artery disease	Nifedipine	SYM	DM	SYM		prinzmetals	I put this and all other CCBs (calcium channel blockers) as SYM. To classify prinzmetal's as coronary artery disease (CAD) is a very loose definition of CAD, I think (nearly all CAD is not prinzmetal's and the pathophysiology and treatment of most types of CAD differs quite dramatically from prinzmetal's). Also, CSH and AJG have put all the other CCBs as SYM for CAD.	DOID:3393	DB01115	SYM
coronary artery disease	Nitroglycerin	SYM	SYM	SYM				DOID:3393	DB00727	SYM
coronary artery disease	Olmesartan	DM	NOT	DM			see notes on coronary artery disease	DOID:3393	DB00275	DM
coronary artery disease	Penbutolol	NOT	NOT	DM			it's a beta blocker, it is not the first line beta-blocker, but all beta-blockers are likely to be DM	DOID:3393	DB01359	NOT
coronary artery disease	Perindopril	DM	NOT	DM			see notes on coronary artery disease	DOID:3393	DB00790	DM
coronary artery disease	Pitavastatin	DM	DM	DM				DOID:3393	DB08860	DM
coronary artery disease	Potassium Chloride	NOT	NOT	NOT				DOID:3393	DB00761	NOT
coronary artery disease	Pravastatin	DM	DM	DM				DOID:3393	DB00175	DM
coronary artery disease	Ramipril	DM	NOT	DM			see notes on coronary artery disease	DOID:3393	DB00178	DM
coronary artery disease	Rosuvastatin	DM	DM	DM				DOID:3393	DB01098	DM
coronary artery disease	Simvastatin	DM	DM	DM				DOID:3393	DB00641	DM
coronary artery disease	Telmisartan	DM	DM	DM				DOID:3393	DB00966	DM
coronary artery disease	Ticagrelor	DM	DM	DM	ACUTE CORONARY SYNDROME			DOID:3393	DB08816	DM
coronary artery disease	Timolol	SYM	NOT	DM			per uptodate	DOID:3393	DB00373	
coronary artery disease	Tirofiban	DM	DM	DM		Pilot classification: disease-modifying; Pilot notes:		DOID:3393	DB00775	DM
coronary artery disease	Trandolapril	DM	NOT	DM			see notes on coronary artery disease	DOID:3393	DB00519	DM
coronary artery disease	Valsartan	DM	DM	DM				DOID:3393	DB00177	DM
dental caries	Cocaine	NOT	NOT	NOT	worsens disease	Pilot classification: symptomatic; Pilot notes:		DOID:216	DB00907	NOT
dilated cardiomyopathy	Amrinone	DM	SYM	SYM			probably worsens downstream biology (except in very advanced cases)	DOID:12930	DB01427	SYM
dilated cardiomyopathy	Digoxin	NOT	DM	SYM			see uptodate: Overview of the therapy of heart failure with reduced ejection fraction	DOID:12930	DB00390	
dilated cardiomyopathy	Furosemide	SYM	DM	DM			same rationale as coronary arter dz	DOID:12930	DB00695	DM
dilated cardiomyopathy	Lisinopril	DM	DM	DM				DOID:12930	DB00722	DM
dilated cardiomyopathy	Spironolactone	DM	SYM	DM		or DM?	agreed with AJG, CSH also thought about this	DOID:12930	DB00421	DM
endogenous depression	Amitriptyline	SYM	SYM	SYM				DOID:1595	DB00321	SYM
endogenous depression	Aripiprazole	SYM	SYM	SYM				DOID:1595	DB01238	SYM
endogenous depression	Citalopram	SYM	SYM	SYM				DOID:1595	DB00215	SYM
endogenous depression	Duloxetine	SYM	SYM	SYM				DOID:1595	DB00476	SYM
endogenous depression	Escitalopram	SYM	SYM	SYM				DOID:1595	DB01175	SYM
endogenous depression	Fluvoxamine	SYM	SYM	SYM				DOID:1595	DB00176	SYM
endogenous depression	Imipramine	SYM	SYM	SYM				DOID:1595	DB00458	SYM
endogenous depression	Nefazodone	SYM	SYM	SYM				DOID:1595	DB01149	SYM
endogenous depression	Nortriptyline	SYM	SYM	SYM				DOID:1595	DB00540	SYM
endogenous depression	Paroxetine	SYM	SYM	SYM				DOID:1595	DB00715	SYM
endogenous depression	Selegiline	SYM	SYM	SYM				DOID:1595	DB01037	SYM
endogenous depression	Sertraline	SYM	SYM	SYM				DOID:1595	DB01104	SYM
endogenous depression	Trazodone	SYM	SYM	SYM				DOID:1595	DB00656	SYM
endogenous depression	Valproic Acid	NOT	SYM	SYM				DOID:1595	DB00313	SYM
endogenous depression	Vilazodone	SYM	SYM	SYM				DOID:1595	DB06684	SYM
epilepsy syndrome	Acetazolamide	SYM	NOT	DM		hm. Can be used for seizures but not great drug	amendment 2	DOID:1826	DB00819	
epilepsy syndrome	Amobarbital	SYM	SYM	DM				DOID:1826	DB01351	SYM
epilepsy syndrome	Buspirone	NOT	NOT	NOT				DOID:1826	DB00490	NOT
epilepsy syndrome	Carbamazepine	SYM	SYM	DM				DOID:1826	DB00564	SYM
epilepsy syndrome	Clobazam	SYM	SYM	DM				DOID:1826	DB00349	SYM
epilepsy syndrome	Clonazepam	SYM	SYM	DM				DOID:1826	DB01068	SYM
epilepsy syndrome	Diazepam	SYM	SYM	DM				DOID:1826	DB00829	SYM
epilepsy syndrome	Etomidate	NOT	SYM	NOT	WORSENS		worsens seizures, used to detect seizure foci	DOID:1826	DB00292	NOT
epilepsy syndrome	Felbamate	DM	SYM	DM			ammendment 3	DOID:1826	DB00949	DM
epilepsy syndrome	Finasteride	NOT	NOT	NOT	side effect			DOID:1826	DB01216	NOT
epilepsy syndrome	Folic Acid	NOT	NOT	NOT	Used to overcome side effect of medicine			DOID:1826	DB00158	NOT
epilepsy syndrome	Fosphenytoin	SYM	SYM	DM				DOID:1826	DB01320	SYM
epilepsy syndrome	Gabapentin	SYM	SYM	DM				DOID:1826	DB00996	SYM
epilepsy syndrome	Lacosamide	SYM	SYM	DM				DOID:1826	DB06218	SYM
epilepsy syndrome	Lamotrigine	SYM	SYM	DM				DOID:1826	DB00555	SYM
epilepsy syndrome	Levetiracetam	SYM	SYM	DM				DOID:1826	DB01202	SYM
epilepsy syndrome	Midazolam	SYM	SYM	DM				DOID:1826	DB00683	SYM
epilepsy syndrome	Minoxidil	NOT	NOT	NOT				DOID:1826	DB00350	NOT
epilepsy syndrome	Oxcarbazepine	SYM	SYM	DM				DOID:1826	DB00776	SYM
epilepsy syndrome	Phenobarbital	SYM	SYM	DM			amendment 1	DOID:1826	DB01174	SYM
epilepsy syndrome	Phenytoin	SYM	SYM	DM			amendment 1	DOID:1826	DB00252	SYM
epilepsy syndrome	Pregabalin	SYM	SYM	DM				DOID:1826	DB00230	SYM
epilepsy syndrome	Primidone	SYM	SYM	DM				DOID:1826	DB00794	SYM
epilepsy syndrome	Propofol	SYM	SYM	DM		Pilot classification: symptomatic; Pilot notes:		DOID:1826	DB00818	SYM
epilepsy syndrome	Quinidine barbiturate	NOT	SYM	NOT				DOID:1826	DB01346	NOT
epilepsy syndrome	Rufinamide	SYM	SYM	DM				DOID:1826	DB06201	SYM
epilepsy syndrome	Spironolactone	NOT	NOT	NOT				DOID:1826	DB00421	NOT
epilepsy syndrome	Sulfasalazine	NOT	NOT	NOT				DOID:1826	DB00795	NOT
epilepsy syndrome	Tiagabine	NOT	NOT	NOT		can induce sz		DOID:1826	DB00906	NOT
epilepsy syndrome	Topiramate	SYM	SYM	DM				DOID:1826	DB00273	SYM
epilepsy syndrome	Triamcinolone	NOT	NOT	NOT				DOID:1826	DB00620	NOT
epilepsy syndrome	Trimethadione	SYM	SYM	DM				DOID:1826	DB00347	SYM
epilepsy syndrome	Valproic Acid	DM	SYM	DM			ammendment 3	DOID:1826	DB00313	DM
epilepsy syndrome	Vigabatrin	SYM	SYM	DM				DOID:1826	DB01080	SYM
epilepsy syndrome	Zonisamide	SYM	SYM	DM				DOID:1826	DB00909	SYM
esophageal cancer	Capecitabine	DM	DM	DM				DOID:5041	DB01101	DM
esophageal cancer	Carboplatin	DM	DM	DM				DOID:5041	DB00958	DM
esophageal cancer	Cisplatin	DM	DM	DM				DOID:5041	DB00515	DM
esophageal cancer	Esomeprazole	SYM	SYM	SYM				DOID:5041	DB00736	SYM
esophageal cancer	Methotrexate	DM	DM	DM				DOID:5041	DB00563	DM
esophageal cancer	Omeprazole	NOT	NOT	SYM	Prevents		should match esomeprazole, agree with AJG note too	DOID:5041	DB00338	NOT
esophageal cancer	Porfimer	SYM	SYM	SYM	Used for late stage disease	palliative	almost wanted DM, but will agree with others	DOID:5041	DB00707	SYM
focal segmental glomerulosclerosis	Cyclosporine	DM	DM	DM				DOID:1312	DB00091	DM
germ cell cancer	Bleomycin	DM	DM	DM				DOID:2994	DB00290	DM
germ cell cancer	Cisplatin	DM	DM	DM				DOID:2994	DB00515	DM
germ cell cancer	Dactinomycin	DM	DM	DM				DOID:2994	DB00970	DM
germ cell cancer	Dinoprostone	NOT	NOT	NOT				DOID:2994	DB00917	NOT
germ cell cancer	Etoposide	DM	DM	DM				DOID:2994	DB00773	DM
germ cell cancer	Ifosfamide	DM	DM	DM				DOID:2994	DB01181	DM
germ cell cancer	Methotrexate	DM	DM	DM				DOID:2994	DB00563	DM
germ cell cancer	Vinblastine	DM	DM	DM				DOID:2994	DB00570	DM
gestational diabetes	Glyburide	DM	DM	DM				DOID:11714	DB01016	DM
glaucoma	Acetazolamide	DM	DM	DM				DOID:1686	DB00819	DM
glaucoma	Apraclonidine	DM	DM	DM				DOID:1686	DB00964	DM
glaucoma	Betaxolol	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB00195	DM
glaucoma	Bimatoprost	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB00905	DM
glaucoma	Brimonidine	DM	DM	DM				DOID:1686	DB00484	DM
glaucoma	Brinzolamide	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB01194	DM
glaucoma	Carbachol	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB00411	DM
glaucoma	Carteolol	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB00521	DM
glaucoma	Clonidine	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB00575	DM
glaucoma	Diclofenamide	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB01144	DM
glaucoma	Dipivefrin	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB00449	DM
glaucoma	Dorzolamide	DM	DM	DM				DOID:1686	DB00869	DM
glaucoma	Echothiophate	SYM	DM	DM		glaucoma is tough too.	see notes on glaucoma	DOID:1686	DB01057	DM
glaucoma	Epinephrine	NOT	SYM	SYM			see notes on glaucoma	DOID:1686	DB00668	SYM
glaucoma	Latanoprost	DM	DM	DM				DOID:1686	DB00654	DM
glaucoma	Levobunolol	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB01210	DM
glaucoma	Mannitol	NOT	SYM	SYM		acutely	see notes on glaucoma	DOID:1686	DB00742	SYM
glaucoma	Methazolamide	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB00703	DM
glaucoma	Metipranolol	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB01214	DM
glaucoma	Mitomycin	DM	NOT	NOT	Post sirgically	used in glaucoma surg	surgical only	DOID:1686	DB00305	NOT
glaucoma	Phenylephrine	NOT	NOT	NOT	WORSENS NARROW ANGLE			DOID:1686	DB00388	NOT
glaucoma	Physostigmine	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB00981	DM
glaucoma	Pilocarpine	SYM	DM	DM			see notes on glaucoma	DOID:1686	DB01085	DM
